Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,7.34%,14.80%,(3.86%),(9.49%),0.13%
Total Revenues,7.34%,14.80%,(3.86%),(9.49%),0.13%
Cost Of Revenues,6.34%,15.51%,(2.04%),(6.81%),2.33%
Gross Profit,9.30%,13.44%,(7.40%),(15.00%),(4.48%)
Selling General & Admin Expenses,9.44%,0.89%,(6.41%),(7.52%),(1.18%)
R&D Expenses,1.33%,11.29%,(5.29%),(4.81%),(0.94%)
Other Operating Expense/(Income),(95.24%),,,,
Total Operating Expenses,6.00%,3.20%,(5.58%),(6.70%),(0.96%)
Operating Income,13.17%,24.67%,(9.05%),(22.82%),(7.87%)
Interest Expense,(2.36%),-17.69%,-36.45%,-29.41%,(8.16%)
Interest And Investment Income,(5.88%),(6.25%),26.67%,(21.05%),(28.57%)
Net Interest Expenses,(3.64%),-19.30%,-46.74%,-32.65%,(35.71%)
Other Non Operating Income (Expenses),,-75.00%,,,
"EBT, Excl. Unusual Items",12.10%,27.78%,(7.48%),(22.77%),(9.54%)
"EBT, Incl. Unusual Items",68.46%,30.23%,(13.79%),(72.86%),49.50%
Income Tax Expense,,,-95.64%,,50.82%
Earnings From Continuing Operations,(16.62%),67.79%,(24.69%),,48.94%
Earnings Of Discontinued Operations,(11.73%),,(436.84%),,
Net Income to Company,(16.23%),52.41%,(28.11%),,53.93%
Net Income,(16.23%),52.41%,(28.11%),,53.93%
NI to Common Incl Extra Items,(16.23%),52.41%,(28.11%),,53.93%
NI to Common Excl. Extra Items,(16.62%),67.79%,(24.69%),,48.94%
Revenue Per Share,10.65%,16.45%,(0.46%),(7.86%),1.49%
Basic EPS,(13.65%),54.61%,(25.57%),,56.03%
Basic EPS - Continuing Ops,(14.10%),70.11%,(21.99%),,50.96%
Basic Weighted Average Shares Outst.,(3.01%),(1.41%),(3.43%),(1.78%),(1.34%)
Diluted EPS,(13.77%),54.60%,(25.45%),,55.30%
Diluted EPS - Continuing Ops,(14.17%),70.23%,(21.86%),,50.25%
Diluted Weighted Average Shares Outst.,(2.98%),(1.40%),(3.68%),(2.35%),(1.34%)
Normalized Basic EPS,15.64%,29.44%,(4.17%),(21.34%),(8.31%)
Normalized Diluted EPS,15.48%,29.51%,(4.06%),(20.95%),(8.31%)
Dividend Per Share,10.00%,9.09%,7.14%,4.44%,4.35%
Payout Ratio,28.03%,(29.33%),43.86%,,(32.93%)
EBITDA,12.19%,21.04%,(6.41%),(16.77%),(4.74%)
EBITA,13.19%,23.25%,(8.44%),(21.06%),(7.00%)
EBIT,13.17%,24.67%,(9.05%),(22.82%),(7.87%)
EBITDAR,11.92%,19.69%,(5.49%),(16.06%),
Effective Tax Rate,,,,,0.88%
Normalized Net Income,12.10%,27.78%,(7.48%),(22.77%),(9.54%)
R&D Expense From Footnotes,1.33%,11.29%,(5.29%),(4.81%),(0.94%)
Foreign Sales,9.51%,14.63%,(2.98%),(8.86%),
