Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,48158.0,11672.0,22594.0,21512.0,20397.0,20397.0
Total Revenues,48158.0,11672.0,22594.0,21512.0,20397.0,20397.0
Cost Of Revenues,37668.0,7985.0,13674.0,13803.0,13522.0,13522.0
Gross Profit,10490.0,3687.0,8920.0,7709.0,6875.0,6875.0
Selling General & Admin Expenses,2919.0,1580.0,2932.0,2589.0,2203.0,2203.0
R&D Expenses,1593.0,657.0,1070.0,955.0,860.0,860.0
Total Operating Expenses,5056.0,2742.0,5046.0,4594.0,5182.0,5182.0
Operating Income,5434.0,945.0,3874.0,3115.0,1693.0,1693.0
Interest Expense,(838.0),,(55.0),(668.0),(767.0),(767.0)
Interest And Investment Income,107.0,6.0,39.0,55.0,10.0,10.0
Net Interest Expenses,(731.0),6.0,(16.0),(613.0),(757.0),(757.0)
Currency Exchange Gains (Loss),(126.0),(54.0),(93.0),(110.0),(56.0),(56.0)
Other Non Operating Income (Expenses),105.0,14.0,,99.0,47.0,47.0
"EBT, Excl. Unusual Items",5124.0,1278.0,4212.0,2575.0,1118.0,1118.0
"EBT, Incl. Unusual Items",4413.0,"(1,525.0)",600.0,(474.0),"(2,897.0)","(2,897.0)"
Income Tax Expense,9.0,"(1,758.0)",195.0,140.0,(23.0),(23.0)
Earnings From Continuing Operations,4404.0,233.0,405.0,(614.0),"(2,874.0)","(2,874.0)"
Earnings Of Discontinued Operations,,1058.0,3595.0,1214.0,(49.0),(49.0)
Net Income to Company,4404.0,1291.0,4000.0,600.0,"(2,923.0)","(2,923.0)"
Minority Interest,(86.0),(132.0),(155.0),(102.0),(28.0),(28.0)
Net Income,4318.0,1159.0,3845.0,498.0,"(2,951.0)","(2,951.0)"
Preferred Dividend and Other Adjustments,362.0,13.0,17.0,1.0,,
NI to Common Incl Extra Items,3956.0,1146.0,3828.0,497.0,"(2,951.0)","(2,951.0)"
NI to Common Excl. Extra Items,3956.0,88.0,233.0,(717.0),"(2,902.0)","(2,902.0)"
Revenue Per Share,$130.38,$22.16,$29.46,$28.82,$27.73,$27.73
Basic EPS,$10.71,$2.18,$4.99,$0.67,($4.01),($4.01)
Basic EPS - Continuing Ops,$10.71,$0.17,$0.30,($0.96),($3.95),($3.95)
Basic Weighted Average Shares Outst.,369.4,526.6,767.0,746.3,735.5,735.5
Diluted EPS,$10.56,$2.15,$4.96,$0.67,($4.02),($4.02)
Diluted EPS - Continuing Ops,$10.56,$0.16,$0.30,($0.96),($3.95),($3.95)
Diluted Weighted Average Shares Outst.,374.4,532.7,771.8,746.3,735.5,735.5
Normalized Basic EPS,$8.44,$1.27,$3.23,$2.02,$0.91,$0.91
Normalized Diluted EPS,$8.32,$1.25,$3.21,$2.02,$0.91,$0.91
Dividend Per Share,$5.52,$5.28,$4.56,$2.16,$1.20,$1.20
Payout Ratio,57.02%,292.84%,90.79%,323.49%,NM,NM
EBITDA,8223.0,2005.0,6044.0,5181.0,4787.0,4787.0
EBITA,5978.0,1450.0,4918.0,4165.0,3812.0,3812.0
EBIT,5434.0,945.0,3874.0,3115.0,1693.0,1693.0
EBITDAR,8884.0,2074.0,6186.0,5367.0,5012.0,5012.0
Effective Tax Rate,0.2%,NM,32.5%,NM,NM,NM
Normalized Net Income,3116.5,666.8,2477.5,1507.4,670.8,670.8
Interest Capitalized,243.0,,,,,
R&D Expense From Footnotes,1593.0,657.0,1070.0,955.0,860.0,860.0
Foreign Sales,31477.0,8187.0,15830.0,14824.0,14324.0,14324.0
