Income Statement,Jan 2017,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,6910.0,9714.0,11716.0,10918.0,16675.0,16675.0
Total Revenues,6910.0,9714.0,11716.0,10918.0,16675.0,16675.0
Cost Of Revenues,2847.0,3892.0,4545.0,4150.0,6118.0,6118.0
Gross Profit,4063.0,5822.0,7171.0,6768.0,10557.0,10557.0
Selling General & Admin Expenses,663.0,815.0,991.0,1093.0,1912.0,1912.0
R&D Expenses,1463.0,1797.0,2376.0,2829.0,3924.0,3924.0
Total Operating Expenses,2126.0,2612.0,3367.0,3922.0,5836.0,5836.0
Operating Income,1937.0,3210.0,3804.0,2846.0,4721.0,4721.0
Interest Expense,(58.0),(61.0),(58.0),(52.0),(184.0),(184.0)
Interest And Investment Income,54.0,69.0,136.0,178.0,57.0,57.0
Net Interest Expenses,(4.0),8.0,78.0,126.0,(127.0),(127.0)
Other Non Operating Income (Expenses),(4.0),(22.0),14.0,(2.0),4.0,4.0
"EBT, Excl. Unusual Items",1929.0,3196.0,3896.0,2970.0,4598.0,4598.0
"EBT, Incl. Unusual Items",1905.0,3196.0,3896.0,2970.0,4409.0,4409.0
Income Tax Expense,239.0,149.0,(245.0),174.0,77.0,77.0
Earnings From Continuing Operations,1666.0,3047.0,4141.0,2796.0,4332.0,4332.0
Net Income to Company,1666.0,3047.0,4141.0,2796.0,4332.0,4332.0
Net Income,1666.0,3047.0,4141.0,2796.0,4332.0,4332.0
NI to Common Incl Extra Items,1666.0,3047.0,4141.0,2796.0,4332.0,4332.0
NI to Common Excl. Extra Items,1666.0,3047.0,4141.0,2796.0,4332.0,4332.0
Revenue Per Share,$12.77,$16.22,$19.27,$17.93,$27.03,$27.03
Basic EPS,$3.08,$5.09,$6.81,$4.59,$7.02,$7.02
Basic EPS - Continuing Ops,$3.08,$5.09,$6.81,$4.59,$7.02,$7.02
Basic Weighted Average Shares Outst.,541.0,599.0,608.0,609.0,617.0,617.0
Diluted EPS,$2.57,$4.82,$6.63,$4.52,$6.90,$6.90
Diluted EPS - Continuing Ops,$2.57,$4.82,$6.63,$4.52,$6.90,$6.90
Diluted Weighted Average Shares Outst.,649.0,632.0,625.0,618.0,628.0,628.0
Normalized Basic EPS,$2.23,$3.33,$4.00,$3.05,$4.66,$4.66
Normalized Diluted EPS,$1.86,$3.16,$3.90,$3.00,$4.58,$4.58
Dividend Per Share,$0.49,$0.57,$0.61,$0.64,$0.64,$0.64
Payout Ratio,15.67%,11.19%,8.96%,13.95%,9.12%,9.12%
EBITDA,2124.0,3409.0,4066.0,3227.0,5819.0,5819.0
EBITA,2005.0,3265.0,3833.0,2871.0,5333.0,5333.0
EBIT,1937.0,3210.0,3804.0,2846.0,4721.0,4721.0
EBITDAR,2170.0,3463.0,4146.0,3341.0,5964.0,5964.0
Effective Tax Rate,12.5%,4.7%,NM,5.9%,1.7%,1.7%
Normalized Net Income,1205.6,1997.5,2435.0,1856.3,2873.8,2873.8
R&D Expense From Footnotes,1463.0,1797.0,2376.0,2829.0,3924.0,3924.0
Foreign Sales,6006.0,8440.0,10210.0,10032.0,13461.0,13461.0
