Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,7414.0,8238.0,9580.0,10525.0,8927.0,
Total Interest Income,9652.0,10814.0,12582.0,13762.0,11307.0,
Interest On Deposits,430.0,623.0,1229.0,1986.0,643.0,
Total Interest On Borrowings,831.0,1083.0,1632.0,1811.0,718.0,
Total Interest Expense,1261.0,1706.0,2861.0,3797.0,1361.0,
Net Interest Income,8391.0,9108.0,9721.0,9965.0,9946.0,9783.0
Service Charges On Deposits,667.0,695.0,714.0,702.0,500.0,451.0
Trust Income,1521.0,1942.0,883.0,862.0,836.0,861.0
Total Mortgage Banking Activities,567.0,350.0,316.0,368.0,604.0,499.0
Gain (Loss) on Sale of Invest. & Securities,140.0,6.0,,48.0,305.0,305.0
Total Other Non Interest Income,3876.0,4228.0,4556.0,4894.0,4710.0,4886.0
Total Non Interest Income,6771.0,7221.0,6469.0,6874.0,6955.0,7002.0
Revenue Before Loan Losses,15162.0,16329.0,16190.0,16839.0,16901.0,16785.0
Provision For Loan Losses,433.0,441.0,408.0,773.0,3175.0,1710.0
Total Revenues,14729.0,15888.0,15782.0,16066.0,13726.0,15075.0
Salaries And Other Employee Benefits,4873.0,5268.0,5471.0,5647.0,5673.0,5781.0
Total Selling General & Admin Expenses,2082.0,2177.0,2206.0,2345.0,2238.0,2231.0
Total Other Non Interest Expense,2521.0,2953.0,2619.0,2582.0,2386.0,2308.0
Total Non Interest Expense,9476.0,10398.0,10296.0,10574.0,10297.0,10328.0
"EBT, Excl. Unusual Items",5253.0,5490.0,5486.0,5492.0,3429.0,4747.0
"EBT, Incl. Unusual Items",5253.0,5490.0,5486.0,5492.0,3429.0,4747.0
Income Tax Expense,1268.0,102.0,928.0,901.0,426.0,677.0
Earnings From Continuing Operations,3985.0,5388.0,4558.0,4591.0,3003.0,4070.0
Earnings Of Discontinued Operations,,,788.0,827.0,4555.0,4399.0
Net Income to Company,3985.0,5388.0,5346.0,5418.0,7558.0,8469.0
Minority Interest,(82.0),(50.0),(45.0),(49.0),(41.0),(44.0)
Net Income,3903.0,5338.0,5301.0,5369.0,7517.0,8425.0
Preferred Dividend and Other Adjustments,241.0,285.0,261.0,261.0,268.0,262.0
Net Income to Common Incl Extra Items,3662.0,5053.0,5040.0,5108.0,7249.0,8163.0
Net Income to Common Excl. Extra Items,3662.0,5053.0,4252.0,4281.0,2694.0,3764.0
Revenue Per Share,$29.82,$33.03,$33.79,$35.94,$32.15,$35.36
Basic EPS,$7.41,$10.51,$10.79,$11.43,$16.98,$19.15
Basic EPS - Continuing Ops,$7.41,$10.51,$9.10,$9.58,$6.31,$8.83
Basic Weighted Average Shares Outst.,494.0,481.0,467.0,447.0,427.0,426.3
Diluted EPS,$7.30,$10.36,$10.70,$11.38,$16.97,$19.14
Diluted EPS - Continuing Ops,$7.30,$10.36,$9.03,$9.53,$6.30,$8.82
Diluted Weighted Average Shares Outst.,500.0,486.0,470.0,448.0,427.0,426.3
Normalized Basic EPS,$6.48,$7.03,$7.25,$7.57,$4.92,$6.86
Normalized Diluted EPS,$6.40,$6.96,$7.20,$7.55,$4.92,$6.86
Dividend Per Share,$2.12,$2.60,$3.40,$4.20,$4.60,$4.60
Payout Ratio,32.54%,28.14%,34.65%,39.69%,29.39%,
Effective Tax Rate,24.1%,1.9%,16.9%,16.4%,12.4%,14.3%
Normalized Net Income,3201.1,3381.3,3383.8,3383.5,2102.1,2922.9
Interest on Long-Term Debt,771.0,1000.0,1520.0,1652.0,643.0,
