Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3776.4,3975.2,3366.4,4911.9,7423.6,7423.6
Total Revenues,3776.4,3975.2,3366.4,4911.9,7423.6,7423.6
Cost Of Revenues,1876.4,1928.0,1095.0,2017.1,3542.3,3542.3
Gross Profit,1899.9,2047.1,2271.4,2894.8,3881.2,3881.2
Selling General & Admin Expenses,1335.0,1488.3,1478.2,1847.8,2667.8,2667.8
Total Operating Expenses,1335.0,1488.3,1478.2,1847.8,2667.8,2667.8
Operating Income,564.9,558.9,793.2,1047.0,1213.5,1213.5
Interest Expense,(186.2),(174.3),(195.5),(301.2),(326.8),(326.8)
Interest And Investment Income,5.5,8.7,20.7,31.4,15.9,15.9
Net Interest Expenses,(180.6),(165.6),(174.8),(269.8),(310.9),(310.9)
Other Non Operating Income (Expenses),(0.7),(0.5),(0.1),(3.7),(16.7),(16.7)
"EBT, Excl. Unusual Items",383.6,392.7,618.3,787.1,974.1,974.1
"EBT, Incl. Unusual Items",297.2,392.7,562.2,531.5,682.3,682.3
Income Tax Expense,61.1,(101.4),77.5,62.2,77.2,77.2
Earnings From Continuing Operations,236.0,494.1,484.7,469.3,605.1,605.1
Net Income to Company,236.0,494.1,484.7,469.3,605.1,605.1
Minority Interest,(21.9),(25.6),(32.6),(38.7),(20.6),(20.6)
Net Income,214.2,468.4,452.1,430.6,584.5,584.5
NI to Common Incl Extra Items,214.2,468.4,452.1,430.6,584.5,584.5
NI to Common Excl. Extra Items,214.2,468.4,452.1,430.6,584.5,584.5
Revenue Per Share,$24.63,$25.70,$21.22,$24.77,$24.81,$24.81
Basic EPS,$1.40,$3.03,$2.85,$2.17,$1.95,$1.95
Basic EPS - Continuing Ops,$1.40,$3.03,$2.85,$2.17,$1.95,$1.95
Basic Weighted Average Shares Outst.,153.3,154.7,158.7,198.3,299.2,299.2
Diluted EPS,$1.39,$3.01,$2.84,$2.16,$1.95,$1.95
Diluted EPS - Continuing Ops,$1.39,$3.01,$2.84,$2.16,$1.95,$1.95
Diluted Weighted Average Shares Outst.,154.2,155.5,159.3,199.1,300.5,300.5
Normalized Basic EPS,$1.42,$1.42,$2.23,$2.29,$1.97,$1.97
Normalized Diluted EPS,$1.41,$1.41,$2.22,$2.28,$1.96,$1.96
Dividend Per Share,,$0.04,$0.04,$0.41,$0.78,$0.78
Payout Ratio,2.46%,1.44%,1.40%,14.75%,39.90%,39.90%
EBITDA,989.4,1010.0,1316.0,1925.4,2827.9,2827.9
EBITA,898.1,896.7,1170.8,1714.2,2470.4,2470.4
EBIT,564.9,558.9,793.2,1047.0,1213.5,1213.5
EBITDAR,,1054.7,1363.1,2011.3,2974.9,2974.9
Effective Tax Rate,20.6%,NM,13.8%,11.7%,11.3%,11.3%
Normalized Net Income,217.9,219.8,353.8,453.3,588.2,588.2
Interest on Long-Term Debt,,174.3,195.5,301.2,326.8,326.8
R&D Expense From Footnotes,,,,31.1,,
Foreign Sales,,1351.6,1110.9,1375.3,1633.2,1633.2
