Income Statement,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,190884.0,198533.0,208357.0,214319.0,231051.0,237621.0
Total Revenues,190884.0,198533.0,208357.0,214319.0,231051.0,237621.0
Cost Of Revenues,179442.0,187262.0,197173.0,202565.0,219028.0,225434.0
Gross Profit,11442.0,11271.0,11184.0,11754.0,12023.0,12187.0
Selling General & Admin Expenses,7379.0,7447.0,8138.0,8403.0,9086.0,8932.0
R&D Expenses,392.0,341.0,125.0,71.0,96.0,96.0
Other Operating Expense/(Income),,,14.0,21.0,,
Total Operating Expenses,7771.0,7788.0,8277.0,8495.0,9182.0,9028.0
Operating Income,3671.0,3483.0,2907.0,3259.0,2841.0,3159.0
Interest Expense,(353.0),(308.0),(283.0),(264.0),(249.0),(230.0)
Interest And Investment Income,18.0,29.0,48.0,39.0,49.0,49.0
Net Interest Expenses,(335.0),(279.0),(235.0),(225.0),(200.0),(181.0)
Currency Exchange Gains (Loss),,,,,(10.0),(34.0)
Other Non Operating Income (Expenses),29.0,28.0,7.0,44.0,64.0,44.0
"EBT, Excl. Unusual Items",3380.0,3262.0,2463.0,2927.0,1623.0,3394.0
"EBT, Incl. Unusual Items",3250.0,6891.0,239.0,610.0,1144.0,"(4,862.0)"
Income Tax Expense,908.0,1614.0,(53.0),356.0,18.0,(882.0)
Earnings From Continuing Operations,2342.0,5277.0,292.0,254.0,1126.0,"(3,980.0)"
Earnings Of Discontinued Operations,(32.0),(124.0),5.0,1.0,(6.0),5.0
Net Income to Company,2310.0,5153.0,297.0,255.0,1120.0,"(3,975.0)"
Minority Interest,(52.0),(83.0),(230.0),(221.0),(220.0),(209.0)
Net Income,2258.0,5070.0,67.0,34.0,900.0,"(4,184.0)"
NI to Common Incl Extra Items,2258.0,5070.0,67.0,34.0,900.0,"(4,184.0)"
NI to Common Excl. Extra Items,2290.0,5194.0,62.0,33.0,906.0,"(4,189.0)"
Revenue Per Share,$829.93,$898.34,"$1,001.72","$1,093.46","$1,276.52","$1,443.85"
Basic EPS,$9.82,$22.94,$0.32,$0.17,$4.97,($25.42)
Basic EPS - Continuing Ops,$9.96,$23.50,$0.30,$0.17,$5.01,($25.45)
Basic Weighted Average Shares Outst.,230.0,221.0,208.0,196.0,181.0,164.6
Diluted EPS,$9.70,$22.72,$0.32,$0.17,$4.96,($25.42)
Diluted EPS - Continuing Ops,$9.84,$23.28,$0.30,$0.17,$4.99,($25.45)
Diluted Weighted Average Shares Outst.,233.0,223.0,209.0,197.0,182.0,164.6
Normalized Basic EPS,$8.96,$8.85,$6.30,$8.21,$4.39,$11.62
Normalized Diluted EPS,$8.84,$8.77,$6.26,$8.16,$4.36,$11.62
Dividend Per Share,$1.08,$1.12,$1.30,$1.51,$1.62,$1.66
Payout Ratio,10.81%,4.99%,391.04%,858.82%,32.67%,NM
EBITDA,4556.0,4393.0,3858.0,4208.0,3763.0,4056.0
EBITA,4275.0,4069.0,3555.0,3891.0,3442.0,3737.0
EBIT,3671.0,3483.0,2907.0,3259.0,2841.0,3159.0
EBITDAR,4989.0,4867.0,4426.0,4784.0,4343.0,
Effective Tax Rate,27.9%,23.4%,NM,58.4%,1.6%,NM
Normalized Net Income,2060.5,1955.8,1309.4,1608.4,794.4,1912.3
Interest Capitalized,1.0,,,,,
Interest on Long-Term Debt,,308.0,283.0,264.0,249.0,
R&D Expense From Footnotes,392.0,341.0,125.0,71.0,96.0,96.0
Foreign Sales,32629.0,34105.0,38414.0,38023.0,38342.0,
