Income Statement,Dec 2017,Dec 2018,Jan 2020,Jan 2021,TTM
Revenues,44.40%,0.24%,8.83%,10.84%,0.00%
Total Revenues,44.40%,0.24%,8.83%,10.84%,0.00%
Cost Of Revenues,43.18%,(0.55%),9.85%,10.62%,0.00%
Gross Profit,52.34%,5.03%,2.93%,12.21%,0.00%
Selling General & Admin Expenses,74.64%,(1.09%),(5.49%),11.76%,0.00%
Total Operating Expenses,75.76%,(2.41%),(10.97%),8.17%,0.00%
Operating Income,33.01%,13.14%,16.00%,15.13%,0.00%
Interest Expense,(54.17%),-2.03%,(1.38%),(23.81%),0.00%
Interest And Investment Income,(20.00%),(12.50%),100.00%,(78.57%),0.00%
Net Interest Expenses,(62.79%),-1.43%,-3.62%,(34.59%),0.00%
Currency Exchange Gains (Loss),,(60.00%),,(300.00%),0.00%
Other Non Operating Income (Expenses),(71.43%),,,,0.00%
"EBT, Excl. Unusual Items",32.01%,15.93%,19.54%,10.86%,0.00%
"EBT, Incl. Unusual Items",23.58%,55.22%,41.97%,(9.82%),0.00%
Income Tax Expense,(59.72%),(3.45%),600.00%,(22.45%),0.00%
Earnings From Continuing Operations,47.97%,59.89%,15.12%,(6.12%),0.00%
Net Income to Company,47.97%,59.89%,15.12%,(6.12%),0.00%
Minority Interest,,,(200.00%),-66.67%,0.00%
Net Income,50.00%,58.74%,14.80%,(5.85%),0.00%
NI to Common Incl Extra Items,50.00%,58.74%,14.80%,(5.85%),0.00%
NI to Common Excl. Extra Items,50.00%,58.74%,14.80%,(5.85%),0.00%
Revenue Per Share,(3.10%),0.90%,14.92%,11.62%,0.00%
Basic EPS,0.75%,59.65%,21.15%,(5.10%),0.00%
Basic EPS - Continuing Ops,0.75%,59.65%,21.15%,(5.10%),0.00%
Basic Weighted Average Shares Outst.,49.02%,(0.66%),(5.30%),(0.70%),0.00%
Diluted EPS,1.28%,59.66%,21.05%,(5.22%),0.00%
Diluted EPS - Continuing Ops,1.28%,59.66%,21.05%,(5.22%),0.00%
Diluted Weighted Average Shares Outst.,48.08%,(0.65%),(5.23%),(0.69%),0.00%
Normalized Basic EPS,(10.14%),15.58%,25.97%,12.16%,0.00%
Normalized Diluted EPS,(9.57%),15.55%,25.63%,12.25%,0.00%
Dividend Per Share,0.00%,0.00%,3.13%,3.03%,0.00%
Payout Ratio,(7.05%),(37.01%),(12.90%),5.12%,0.00%
EBITDA,60.28%,1.08%,9.79%,16.24%,0.00%
EBITA,61.27%,1.04%,9.84%,15.02%,0.00%
EBIT,33.01%,13.14%,16.00%,15.13%,0.00%
EBITDAR,61.59%,(0.42%),5.53%,14.37%,
Effective Tax Rate,(67.41%),(37.80%),393.09%,(14.00%),0.00%
Normalized Net Income,33.76%,14.99%,19.10%,11.33%,0.00%
Interest on Long-Term Debt,46.53%,(2.03%),1.38%,23.81%,
R&D Expense From Footnotes,(4.55%),9.52%,6.52%,48.98%,0.00%
Foreign Sales,,,(5.71%),14.50%,
