Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,61610.0,66585.0,71861.0,74094.0,84628.0,89501.0
Total Revenues,61610.0,66585.0,71861.0,74094.0,84628.0,89501.0
Cost Of Revenues,49902.0,52719.0,58731.0,60457.0,73138.0,72756.0
Gross Profit,11708.0,13866.0,13130.0,13637.0,11490.0,16745.0
Depreciation & Amortization,2224.0,2282.0,2207.0,2357.0,2698.0,2772.0
Other Operating Expense/(Income),4619.0,5055.0,5465.0,5744.0,7382.0,7594.0
Total Operating Expenses,6843.0,7337.0,7672.0,8101.0,10080.0,10366.0
Operating Income,4865.0,6529.0,5458.0,5536.0,1410.0,6379.0
Interest Expense,(381.0),(453.0),(605.0),(653.0),(701.0),(711.0)
Interest And Investment Income,632.0,1060.0,1451.0,1121.0,1558.0,1553.0
Net Interest Expenses,251.0,607.0,846.0,468.0,857.0,842.0
Currency Exchange Gains (Loss),5.0,3.0,(19.0),(6.0),9.0,9.0
"EBT, Excl. Unusual Items",5121.0,7139.0,6285.0,5998.0,2276.0,7230.0
"EBT, Incl. Unusual Items",5121.0,7137.0,6019.0,5652.0,1844.0,6798.0
Income Tax Expense,1699.0,2232.0,1228.0,1212.0,501.0,1628.0
Earnings From Continuing Operations,3422.0,4905.0,4791.0,4440.0,1343.0,5170.0
Net Income to Company,3422.0,4905.0,4791.0,4440.0,1343.0,5170.0
Net Income,3422.0,4905.0,4791.0,4440.0,1343.0,5170.0
NI to Common Incl Extra Items,3422.0,4905.0,4791.0,4440.0,1343.0,5170.0
NI to Common Excl. Extra Items,3422.0,4905.0,4791.0,4440.0,1343.0,5170.0
Revenue Per Share,$69.77,$76.45,$82.98,$85.76,$97.61,$102.99
Basic EPS,$3.88,$5.63,$5.53,$5.14,$1.55,$5.95
Basic EPS - Continuing Ops,$3.88,$5.63,$5.53,$5.14,$1.55,$5.95
Basic Weighted Average Shares Outst.,883.0,871.0,866.0,864.0,867.0,869.0
Diluted EPS,$3.86,$5.61,$5.51,$5.11,$1.54,$5.92
Diluted EPS - Continuing Ops,$3.86,$5.61,$5.51,$5.11,$1.54,$5.92
Diluted Weighted Average Shares Outst.,887.0,875.0,870.0,869.0,871.0,872.8
Normalized Basic EPS,$3.62,$5.12,$4.54,$4.34,$1.64,$5.20
Normalized Diluted EPS,$3.61,$5.10,$4.52,$4.31,$1.63,$5.18
Dividend Per Share,$3.12,$3.32,$3.64,$3.84,$4.04,$4.05
Payout Ratio,77.24%,56.49%,62.85%,71.94%,251.23%,65.61%
EBITDA,7089.0,8811.0,7665.0,7893.0,4108.0,9151.0
EBITA,5186.0,6816.0,5797.0,5913.0,1826.0,6795.0
EBIT,4865.0,6529.0,5458.0,5536.0,1410.0,6379.0
EBITDAR,7775.0,9615.0,8624.0,9864.0,6365.0,
Effective Tax Rate,33.2%,31.3%,20.4%,21.4%,27.2%,23.9%
Normalized Net Income,3200.6,4461.9,3928.1,3748.8,1422.5,4518.8
Interest Capitalized,14.0,,,91.0,87.0,
Interest on Long-Term Debt,,,,110.0,105.0,
Foreign Sales,13176.0,14505.0,15746.0,15395.0,18048.0,
