Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,12.75%,23.13%,5.42%,13.78%,0.00%
Total Revenues,12.75%,23.13%,5.42%,13.78%,0.00%
Cost Of Revenues,12.73%,29.49%,4.76%,14.50%,0.00%
Gross Profit,12.80%,9.03%,7.15%,11.92%,0.00%
Selling General & Admin Expenses,9.73%,8.08%,2.37%,6.78%,0.00%
Total Operating Expenses,9.73%,8.08%,2.37%,6.78%,0.00%
Operating Income,14.93%,9.65%,10.26%,15.02%,0.00%
Interest Expense,(11.33%),(19.43%),(3.06%),(14.15%),0.00%
Interest And Investment Income,113.43%,128.04%,21.42%,(59.14%),0.00%
Net Interest Expenses,(10.69%),(18.11%),(2.63%),(16.18%),0.00%
"EBT, Excl. Unusual Items",16.28%,7.09%,12.81%,14.66%,0.00%
"EBT, Incl. Unusual Items",16.10%,7.13%,12.59%,15.02%,0.00%
Income Tax Expense,(5.95%),(45.43%),22.82%,(22.09%),0.00%
Earnings From Continuing Operations,29.45%,30.25%,10.70%,22.61%,0.00%
Net Income to Company,29.45%,30.25%,10.70%,22.61%,0.00%
Net Income,29.45%,30.25%,10.70%,22.61%,0.00%
NI to Common Incl Extra Items,29.45%,30.25%,10.70%,22.61%,0.00%
NI to Common Excl. Extra Items,29.45%,30.25%,10.70%,22.61%,0.00%
Revenue Per Share,19.35%,35.18%,8.23%,19.01%,0.00%
Basic EPS,37.13%,42.94%,13.63%,28.24%,0.00%
Basic EPS - Continuing Ops,37.13%,42.94%,13.63%,28.24%,0.00%
Basic Weighted Average Shares Outst.,(5.53%),(8.92%),(2.60%),(4.40%),0.00%
Diluted EPS,35.58%,43.22%,14.49%,29.60%,0.00%
Diluted EPS - Continuing Ops,35.58%,43.22%,14.49%,29.60%,0.00%
Diluted Weighted Average Shares Outst.,(4.50%),(9.12%),(3.25%),(5.44%),0.00%
Normalized Basic EPS,23.03%,17.59%,15.79%,19.98%,0.00%
Normalized Diluted EPS,21.89%,17.91%,16.60%,21.23%,0.00%
Dividend Per Share,21.05%,19.57%,18.18%,20.00%,0.00%
Payout Ratio,(11.92%),(16.05%),3.62%,(5.92%),0.00%
EBITDA,14.55%,10.11%,10.03%,14.92%,0.00%
EBITA,14.93%,9.65%,10.26%,15.02%,0.00%
EBIT,14.93%,9.65%,10.26%,15.02%,0.00%
EBITDAR,15.46%,,,14.27%,
Effective Tax Rate,(18.99%),(49.06%),9.09%,(32.28%),0.00%
Normalized Net Income,16.28%,7.09%,12.81%,14.66%,0.00%
Interest on Long-Term Debt,11.33%,19.43%,3.06%,14.15%,
