Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,24.88%,31.20%,7.69%,(34.26%),(38.12%)
Total Interest Income,24.88%,31.20%,7.69%,(34.26%),(38.12%)
Interest On Deposits,86.92%,105.38%,17.65%,(75.63%),(87.33%)
Total Interest Expense,86.92%,105.38%,17.65%,(75.63%),(87.33%)
Net Interest Income,15.73%,13.54%,3.40%,(13.99%),(17.36%)
Trust Income,10.50%,9.30%,2.62%,3.71%,3.27%
Gain (Loss) on Sale of Invest. & Securities,,-37.50%,(40.00%),-71.43%,-66.67%
Total Other Non Interest Income,(0.85%),13.91%,(6.89%),21.76%,12.93%
Total Non Interest Income,5.35%,9.92%,1.33%,5.97%,4.55%
Revenue Before Loan Losses,7.92%,10.88%,1.89%,0.46%,(1.35%)
Provision For Loan Losses,(7.69%),-48.21%,0.00%,,(26.88%)
Total Revenues,7.92%,10.58%,1.89%,(1.84%),(1.16%)
Salaries And Other Employee Benefits,10.19%,5.56%,3.62%,4.02%,3.62%
Occupancy Expense,13.62%,74.72%,(60.91%),5.34%,5.34%
Total Selling General & Admin Expenses,11.30%,3.91%,11.75%,0.09%,0.11%
Total Other Non Interest Expense,2.34%,(1.65%),(2.88%),27.44%,39.23%
Total Non Interest Expense,10.19%,6.57%,3.15%,3.67%,4.00%
"EBT, Excl. Unusual Items",3.02%,19.82%,(0.70%),(13.58%),(12.19%)
"EBT, Incl. Unusual Items",7.70%,19.82%,(0.70%),(16.28%),(14.88%)
Income Tax Expense,(10.26%),(7.70%),12.58%,(7.44%),(1.95%)
Earnings From Continuing Operations,16.13%,29.81%,(4.12%),(18.96%),(18.72%)
Net Income to Company,16.13%,29.81%,(4.12%),(18.96%),(18.72%)
Net Income,16.13%,29.81%,(4.12%),(18.96%),(18.72%)
Preferred Dividend and Other Adjustments,62.95%,(3.06%),(4.81%),7.90%,(29.30%)
Net Income to Common Incl Extra Items,14.14%,31.80%,(4.09%),(20.15%),(18.16%)
Net Income to Common Excl. Extra Items,14.14%,31.80%,(4.09%),(20.15%),(18.16%)
Revenue Per Share,7.60%,13.12%,6.00%,1.08%,0.77%
Basic EPS,13.85%,34.88%,(0.29%),(17.76%),(16.56%)
Basic EPS - Continuing Ops,13.85%,34.88%,(0.29%),(17.76%),(16.56%)
Basic Weighted Average Shares Outst.,0.30%,(2.24%),(3.86%),(2.89%),(1.91%)
Diluted EPS,13.95%,34.90%,(0.15%),(17.65%),(16.32%)
Diluted EPS - Continuing Ops,13.95%,34.90%,(0.15%),(17.65%),(16.32%)
Diluted Weighted Average Shares Outst.,0.22%,(2.25%),(3.96%),(3.06%),(2.09%)
Normalized Basic EPS,2.61%,22.67%,3.36%,(10.94%),(10.48%)
Normalized Diluted EPS,2.69%,22.49%,3.41%,(10.92%),(10.32%)
Dividend Per Share,8.11%,21.25%,34.02%,7.69%,3.70%
Payout Ratio,(1.76%),(14.40%),32.99%,35.04%,
Effective Tax Rate,(16.66%),(22.98%),13.39%,10.59%,15.20%
Normalized Net Income,3.02%,19.82%,(0.70%),(13.58%),(12.19%)
Interest on Long-Term Debt,18.64%,16.37%,12.46%,(13.18%),
Foreign Sales,40.00%,18.04%,(6.37%),(8.04%),
