Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,6.10%,5.96%,7.47%,(4.38%),(6.70%)
Total Revenues,6.10%,5.96%,7.47%,(4.38%),(6.70%)
Cost Of Revenues,9.38%,7.37%,5.88%,(2.22%),(4.14%)
Gross Profit,2.28%,4.21%,9.51%,(7.06%),(9.85%)
Selling General & Admin Expenses,0.90%,8.97%,10.35%,3.34%,(7.76%)
Total Operating Expenses,0.90%,8.97%,10.35%,3.34%,(7.76%)
Operating Income,5.49%,(6.40%),7.36%,(34.72%),(15.25%)
Interest Expense,(177.42%),(44.19%),(5.65%),(15.27%),(126.61%)
Interest And Investment Income,125.00%,159.26%,17.14%,(24.39%),(56.16%)
Net Interest Expenses,(210.53%),-8.47%,-9.26%,(81.63%),(388.24%)
Currency Exchange Gains (Loss),,(86.44%),-11.82%,,-100.00%
Other Non Operating Income (Expenses),,(82.75%),297.73%,34.86%,(83.53%)
"EBT, Excl. Unusual Items",5.69%,(11.48%),11.01%,(31.43%),(21.03%)
"EBT, Incl. Unusual Items",5.69%,(11.48%),11.01%,(39.87%),(18.87%)
Income Tax Expense,(25.14%),270.28%,(67.73%),(54.92%),(6.66%)
Earnings From Continuing Operations,12.77%,(54.41%),108.43%,(36.98%),(20.61%)
Net Income to Company,12.77%,(54.41%),108.43%,(36.98%),(20.61%)
Net Income,12.77%,(54.41%),108.43%,(36.98%),(20.61%)
NI to Common Incl Extra Items,12.77%,(54.41%),108.43%,(36.98%),(20.61%)
NI to Common Excl. Extra Items,12.77%,(54.41%),108.43%,(36.98%),(20.61%)
Revenue Per Share,8.65%,8.18%,10.50%,(3.09%),(6.98%)
Basic EPS,15.73%,(53.50%),114.33%,(36.12%),(20.85%)
Basic EPS - Continuing Ops,15.73%,(53.50%),114.33%,(36.12%),(20.85%)
Basic Weighted Average Shares Outst.,(2.36%),(2.05%),(2.72%),(1.32%),0.30%
Diluted EPS,16.20%,(53.39%),112.82%,(35.74%),(21.05%)
Diluted EPS - Continuing Ops,16.20%,(53.39%),112.82%,(35.74%),(21.05%)
Diluted Weighted Average Shares Outst.,(2.90%),(1.94%),(2.45%),(1.66%),0.18%
Normalized Basic EPS,8.36%,(9.53%),14.43%,(30.53%),(21.27%)
Normalized Diluted EPS,8.72%,(9.48%),13.75%,(30.12%),(21.18%)
Dividend Per Share,12.90%,11.43%,10.26%,11.05%,11.83%
Payout Ratio,(1.69%),140.66%,(48.58%),72.98%,40.81%
EBITDA,5.83%,(4.50%),5.23%,(22.91%),(17.11%)
EBITA,5.40%,(6.03%),7.04%,(26.61%),(20.31%)
EBIT,5.49%,(6.40%),7.36%,(34.72%),(15.25%)
EBITDAR,6.37%,(2.53%),4.67%,(18.68%),
Effective Tax Rate,(29.18%),318.35%,(70.93%),(25.04%),15.05%
Normalized Net Income,5.69%,(11.48%),11.01%,(31.43%),(21.03%)
Foreign Sales,8.27%,28.70%,9.22%,(1.08%),
