Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,15.50%,28.44%,6.19%,4.46%,4.22%
Other Revenue,(24.27%),10.17%,16.72%,(22.39%),(14.63%)
Total Revenues,8.52%,26.20%,7.32%,1.34%,2.22%
Property Expenses,7.08%,19.51%,7.70%,(1.86%),(1.92%)
Selling General & Admin Exp.,14.82%,32.16%,9.06%,10.42%,4.71%
Depreciation & Amortization,11.90%,23.05%,2.95%,2.29%,2.54%
Total Operating Expenses,9.89%,22.55%,6.05%,1.51%,0.76%
Operating Income,4.50%,37.42%,10.79%,0.88%,6.05%
Total Interest Expense,(14.76%),(8.63%),(6.39%),(0.88%),-0.87%
Interest and Investment Income,"1,800.00%",(73.68%),20.00%,(66.67%),(60.00%)
Net Interest Expenses,(11.28%),(11.36%),(6.28%),(1.48%),-0.44%
Other Non Operating Income,,0.00%,0.00%,,
"EBT, Excl. Unusual Items",(0.63%),68.78%,14.37%,(0.22%),9.29%
Asset Writedown,-50.00%,(52.94%),-26.92%,(289.47%),(329.41%)
Other Unusual Items,-92.31%,"(2,550.00%)",-98.11%,,
"EBT, Incl. Unusual Items",4.81%,63.52%,37.44%,22.13%,16.28%
Income Tax Expense,52.94%,(26.92%),10.53%,(4.76%),10.00%
Earnings From Continuing Operations,2.52%,69.95%,38.26%,22.79%,16.43%
Net Income to Company,2.52%,69.95%,38.26%,22.79%,16.43%
Net Income,2.52%,69.95%,38.26%,22.79%,16.43%
Pref. Dividends and Other Adj.,75.76%,94.83%,0.00%,(49.56%),(74.34%)
NI to Common Incl Extra Items,(4.94%),65.26%,46.76%,33.73%,30.31%
NI to Common Excl. Extra Items,(4.94%),65.26%,46.76%,33.73%,30.31%
Revenue Per Share,(3.39%),16.72%,6.56%,(0.32%),(0.36%)
Basic EPS,(15.13%),52.15%,45.99%,31.21%,27.03%
Basic EPS - Continuing Ops,(15.13%),52.15%,45.99%,31.21%,27.03%
Basic Weighted Average Shares Outst.,12.35%,8.12%,0.73%,1.68%,2.58%
Diluted EPS,(15.79%),53.75%,45.53%,31.28%,26.66%
Diluted EPS - Continuing Ops,(15.79%),53.75%,45.53%,31.28%,26.66%
Diluted Weighted Average Shares Outst.,12.32%,8.36%,0.72%,1.67%,2.51%
Normalized Basic EPS,(11.87%),55.21%,13.61%,(1.53%),6.54%
Normalized Diluted EPS,(11.09%),56.47%,14.01%,(2.00%),6.62%
Dividend Per Share,8.03%,9.74%,7.01%,7.64%,8.82%
Payout Ratio,17.00%,(27.55%),(22.71%),(11.93%),(6.78%)
EBITDA,8.44%,28.69%,7.09%,1.84%,4.61%
EBITA,7.58%,35.53%,8.90%,1.78%,5.95%
EBIT,4.50%,37.42%,10.79%,0.88%,6.05%
EBITDAR,,,,5.84%,
Effective Tax Rate,45.77%,(55.29%),(19.47%),(21.90%),(5.40%)
Normalized Net Income,(0.63%),68.78%,14.37%,(0.22%),9.29%
Interest Capitalized,71.43%,25.00%,33.33%,(15.00%),
Interest on Long-Term Debt,15.52%,8.96%,7.00%,0.43%,
