Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,1848.1,2075.4,2463.4,2518.0,3094.3,3464.7
Total Revenues,1848.1,2075.4,2463.4,2518.0,3094.3,3464.7
Cost Of Revenues,1260.5,1420.8,1710.8,1712.9,2111.0,2330.2
Gross Profit,587.6,654.6,752.6,805.1,983.3,1134.5
Selling General & Admin Expenses,350.5,395.6,458.5,507.2,570.9,616.2
R&D Expenses,7.6,7.0,6.3,3.3,2.6,2.6
Total Operating Expenses,358.1,402.6,464.8,510.5,573.5,618.8
Operating Income,229.5,252.0,287.8,294.6,409.8,515.7
Interest Expense,(88.5),(90.1),(111.4),(110.9),(126.1),(106.1)
Net Interest Expenses,(88.5),(90.1),(111.4),(110.9),(126.1),(106.1)
Currency Exchange Gains (Loss),12.6,(4.2),4.6,0.5,3.0,7.4
Other Non Operating Income (Expenses),(0.8),,1.7,11.1,4.1,18.5
"EBT, Excl. Unusual Items",152.8,157.7,182.7,195.3,290.8,435.5
"EBT, Incl. Unusual Items",144.9,135.6,152.0,160.3,260.4,385.1
Income Tax Expense,33.7,25.8,68.4,22.9,39.7,39.2
Earnings From Continuing Operations,111.2,109.8,83.6,137.4,220.7,345.9
Net Income to Company,111.2,109.8,83.6,137.4,220.7,345.9
Minority Interest,0.3,,,,,
Net Income,111.5,109.8,83.6,137.4,220.7,345.9
Preferred Dividend and Other Adjustments,,,,5.4,47.7,54.4
NI to Common Incl Extra Items,111.5,109.8,83.6,132.0,173.0,291.5
NI to Common Excl. Extra Items,111.5,109.8,83.6,132.0,173.0,291.5
Revenue Per Share,$14.81,$16.61,$18.77,$17.46,$20.66,$21.70
Basic EPS,$0.89,$0.88,$0.64,$0.92,$1.15,$1.83
Basic EPS - Continuing Ops,$0.89,$0.88,$0.64,$0.92,$1.15,$1.83
Basic Weighted Average Shares Outst.,124.8,125.0,131.2,144.2,149.8,159.7
Diluted EPS,$0.89,$0.87,$0.63,$0.90,$1.14,$1.81
Diluted EPS - Continuing Ops,$0.89,$0.87,$0.63,$0.90,$1.14,$1.81
Diluted Weighted Average Shares Outst.,125.9,126.7,133.2,146.0,152.3,162.5
Normalized Basic EPS,$0.77,$0.79,$0.87,$0.85,$1.21,$1.70
Normalized Diluted EPS,$0.76,$0.78,$0.86,$0.84,$1.19,$1.68
Payout Ratio,,,,,16.40%,
EBITDA,370.1,398.5,477.9,523.2,663.5,787.0
EBITA,275.9,296.3,350.4,382.8,498.6,607.2
EBIT,229.5,252.0,287.8,294.6,409.8,515.7
EBITDAR,379.6,411.7,,,689.1,
Effective Tax Rate,23.3%,19.0%,45.0%,14.3%,15.2%,10.2%
Normalized Net Income,95.8,98.6,114.2,122.1,181.8,272.2
Interest on Long-Term Debt,,,,,12.3,
R&D Expense From Footnotes,55.0,52.8,52.5,54.5,63.8,65.9
Foreign Sales,1046.7,,,1275.9,1351.9,
