Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,26300.0,26076.0,26268.0,24977.0,26185.0,26185.0
Total Revenues,26300.0,26076.0,26268.0,24977.0,26185.0,26185.0
Cost Of Revenues,16399.0,16579.0,17195.0,16782.0,17014.0,17014.0
Gross Profit,9901.0,9497.0,9073.0,8195.0,9171.0,9171.0
Selling General & Admin Expenses,2933.0,2079.0,2604.0,2515.0,3165.0,3165.0
R&D Expenses,120.0,93.0,109.0,112.0,119.0,119.0
Total Operating Expenses,3053.0,2172.0,2713.0,2627.0,3284.0,3284.0
Operating Income,6848.0,7325.0,6360.0,5568.0,5887.0,5887.0
Interest Expense,"(1,134.0)","(1,234.0)","(1,284.0)","(1,361.0)","(1,394.0)","(1,394.0)"
Interest And Investment Income,,43.0,35.0,36.0,27.0,27.0
Net Interest Expenses,"(1,134.0)","(1,191.0)","(1,249.0)","(1,325.0)","(1,367.0)","(1,367.0)"
Currency Exchange Gains (Loss),(28.0),23.0,(47.0),33.0,(2.0),(2.0)
Other Non Operating Income (Expenses),390.0,(188.0),167.0,(22.0),(43.0),(43.0)
"EBT, Excl. Unusual Items",6076.0,5969.0,5231.0,4254.0,4475.0,4475.0
"EBT, Incl. Unusual Items",4939.0,5450.0,"(11,321.0)",2661.0,1030.0,1030.0
Income Tax Expense,1333.0,"(5,482.0)","(1,067.0)",728.0,669.0,669.0
Earnings From Continuing Operations,3606.0,10932.0,"(10,254.0)",1933.0,361.0,361.0
Net Income to Company,3606.0,10932.0,"(10,254.0)",1933.0,361.0,361.0
Minority Interest,(10.0),9.0,62.0,2.0,(5.0),(5.0)
Net Income,3596.0,10941.0,"(10,192.0)",1935.0,356.0,356.0
Preferred Dividend and Other Adjustments,180.0,,,,,
NI to Common Incl Extra Items,3416.0,10941.0,"(10,192.0)",1935.0,356.0,356.0
NI to Common Excl. Extra Items,3416.0,10941.0,"(10,192.0)",1935.0,356.0,356.0
Revenue Per Share,$21.61,$21.41,$21.55,$20.46,$21.41,$21.41
Basic EPS,$2.81,$8.98,($8.36),$1.58,$0.29,$0.29
Basic EPS - Continuing Ops,$2.81,$8.98,($8.36),$1.58,$0.29,$0.29
Basic Weighted Average Shares Outst.,1217.0,1218.0,1219.0,1221.0,1223.0,1223.0
Diluted EPS,$2.78,$8.91,($8.36),$1.58,$0.29,$0.29
Diluted EPS - Continuing Ops,$2.78,$8.91,($8.36),$1.58,$0.29,$0.29
Diluted Weighted Average Shares Outst.,1226.0,1228.0,1219.0,1224.0,1228.0,1228.0
Normalized Basic EPS,$3.11,$3.07,$2.73,$2.18,$2.28,$2.28
Normalized Diluted EPS,$3.09,$3.05,$2.73,$2.17,$2.27,$2.27
Dividend Per Share,$2.35,$2.45,$2.50,$1.60,$1.60,$1.60
Payout Ratio,104.67%,26.40%,NM,100.93%,550.00%,550.00%
EBITDA,8185.0,8356.0,7343.0,6562.0,6856.0,6856.0
EBITA,7115.0,7603.0,6650.0,5854.0,6151.0,6151.0
EBIT,6848.0,7325.0,6360.0,5568.0,5887.0,5887.0
EBITDAR,8383.0,,,8022.0,8351.0,8351.0
Effective Tax Rate,27.0%,NM,NM,27.4%,65.0%,65.0%
Normalized Net Income,3787.5,3739.6,3331.4,2660.8,2791.9,2791.9
Interest on Long-Term Debt,,,,6.0,7.0,7.0
R&D Expense From Footnotes,120.0,93.0,109.0,112.0,119.0,119.0
Foreign Sales,7744.0,7752.0,8050.0,7133.0,6981.0,6981.0
