Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,36.15%,38.23%,(12.85%),4.05%,38.06%
Total Revenues,36.15%,38.23%,(12.85%),4.05%,38.06%
Cost Of Revenues,35.00%,34.05%,(10.43%),2.66%,36.46%
Gross Profit,37.59%,43.34%,(15.62%),5.74%,39.94%
Selling General & Admin Expenses,4.24%,15.89%,(7.85%),(2.84%),20.04%
R&D Expenses,13.14%,15.07%,0.15%,5.13%,19.95%
Total Operating Expenses,9.50%,15.39%,(2.97%),2.17%,19.98%
Operating Income,77.98%,68.07%,(23.30%),8.48%,54.70%
Interest Expense,-12.64%,-17.28%,(20.41%),(51.32%),(2.20%)
Interest And Investment Income,96.05%,48.32%,15.10%,(13.50%),(23.14%)
Net Interest Expenses,-43.12%,-80.67%,(59.77%),(397.55%),(47.30%)
Currency Exchange Gains (Loss),,(494.38%),,,-31.78%
Other Non Operating Income (Expenses),,,-87.92%,(607.07%),-48.69%
"EBT, Excl. Unusual Items",93.49%,71.94%,(23.41%),5.25%,56.41%
"EBT, Incl. Unusual Items",88.69%,73.97%,(22.38%),5.25%,56.40%
Income Tax Expense,147.26%,576.94%,(66.91%),26.68%,3.07%
Earnings From Continuing Operations,85.74%,40.22%,(7.95%),2.75%,65.03%
Net Income to Company,85.74%,40.22%,(7.95%),2.75%,65.03%
Net Income,85.74%,40.22%,(7.95%),2.75%,65.03%
NI to Common Incl Extra Items,85.74%,40.22%,(7.95%),2.75%,65.03%
NI to Common Excl. Extra Items,85.74%,40.22%,(7.95%),2.75%,65.03%
Revenue Per Share,33.37%,38.72%,(7.62%),9.56%,39.28%
Basic EPS,82.01%,40.67%,(2.43%),8.21%,66.50%
Basic EPS - Continuing Ops,82.01%,40.67%,(2.43%),8.21%,66.50%
Basic Weighted Average Shares Outst.,2.08%,(0.36%),(5.67%),(5.03%),(0.88%)
Diluted EPS,77.01%,42.53%,4.02%,10.22%,70.23%
Diluted EPS - Continuing Ops,77.01%,42.53%,4.02%,10.22%,70.23%
Diluted Weighted Average Shares Outst.,4.92%,(1.63%),(11.54%),(6.77%),(3.04%)
Normalized Basic EPS,89.35%,72.50%,(18.80%),10.80%,57.80%
Normalized Diluted EPS,84.20%,74.73%,(13.39%),12.91%,61.32%
Dividend Per Share,37.50%,54.55%,72.55%,4.55%,10.99%
Payout Ratio,(31.15%),(9.90%),139.59%,(5.75%),(34.27%)
EBITDA,62.52%,59.53%,(21.63%),6.07%,50.88%
EBITA,67.93%,63.29%,(23.19%),5.71%,53.25%
EBIT,77.98%,68.07%,(23.30%),8.48%,54.70%
EBITDAR,62.06%,59.14%,(21.36%),9.93%,
Effective Tax Rate,30.99%,288.96%,(57.38%),20.35%,(34.10%)
Normalized Net Income,93.49%,71.94%,(23.41%),5.25%,56.41%
Interest on Long-Term Debt,(9.80%),(24.18%),16.12%,65.83%,
R&D Expense From Footnotes,13.14%,15.07%,0.15%,5.13%,19.95%
Foreign Sales,36.97%,38.91%,(13.18%),3.68%,
