Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Total Interest and Dividend Income,36.80%,45.96%,30.07%,(40.19%),(41.18%)
Total Interest Expense,71.70%,77.04%,22.98%,(68.97%),(81.28%)
Net Interest Income,6.79%,2.99%,46.92%,17.08%,30.12%
Brokerage Commission,(1.17%),3.18%,(6.47%),23.78%,18.64%
Trading and Principal Transactions,8.88%,3.91%,(3.95%),26.11%,43.94%
Asset Management Fee,10.28%,9.33%,1.43%,9.09%,13.40%
Underwriting & Invest. Banking Fee,21.69%,7.98%,(4.92%),24.52%,49.27%
Gain (Loss) on Sale of Investments,,(54.84%),,72.34%,(2.41%)
Other Revenue,14.90%,(10.01%),11.00%,(96.70%),
Revenue Before Loan Losses,9.57%,5.70%,3.27%,16.37%,33.28%
Total Revenues,9.57%,5.70%,3.27%,16.37%,33.28%
Salaries & Other Empl. Benefits,8.11%,2.71%,5.86%,10.92%,26.71%
Cost of Services Provided,3.38%,9.57%,1.78%,7.63%,12.48%
Total Operating Expenses,6.56%,4.89%,4.51%,9.86%,20.16%
Operating Income,16.01%,7.28%,0.90%,29.34%,60.26%
Other Non Operating Income,(10.03%),(10.51%),-4.66%,(37.82%),(29.90%)
"EBT, Excl. Unusual Items",17.21%,6.68%,1.98%,27.80%,66.89%
Asset Writedown,-67.95%,(84.00%),-52.17%,(209.09%),(195.65%)
"EBT, Incl. Unusual Items",17.57%,8.02%,0.57%,27.58%,67.90%
Income Tax Expense,52.90%,(43.62%),(12.17%),56.93%,108.39%
Earnings From Continuing Operations,1.85%,42.53%,3.94%,21.02%,58.70%
Earnings of Discontinued Ops.,,-78.95%,,,
Net Income to Company,1.52%,42.91%,3.99%,21.02%,58.70%
Minority Interest,-27.08%,(28.57%),(44.44%),-6.15%,-37.39%
Net Income,2.21%,43.15%,3.36%,21.61%,61.45%
Pref. Dividends and Other Adj.,11.04%,0.57%,0.76%,(6.42%),(3.49%)
NI to Common Incl Extra Items,1.45%,47.14%,3.53%,23.36%,66.01%
NI to Common Excl. Extra Items,1.82%,46.71%,3.48%,23.36%,66.01%
Revenue Per Share,13.81%,10.14%,9.09%,17.40%,27.53%
Basic EPS,5.35%,53.31%,9.44%,24.53%,58.84%
Basic EPS - Continuing Ops,5.70%,52.89%,9.21%,24.53%,58.84%
Basic Weighted Average Shares Outst.,(3.73%),(4.04%),(5.33%),(0.87%),4.51%
Diluted EPS,5.12%,54.07%,9.73%,24.47%,58.82%
Diluted EPS - Continuing Ops,5.48%,53.65%,9.73%,24.47%,58.82%
Diluted Weighted Average Shares Outst.,(3.50%),(4.56%),(5.64%),(0.98%),4.41%
Normalized Basic EPS,22.86%,10.89%,6.73%,29.79%,63.30%
Normalized Diluted EPS,22.52%,11.37%,7.31%,29.88%,63.44%
Dividend Per Share,26.67%,21.05%,17.39%,3.70%,0.00%
Payout Ratio,16.85%,(20.43%),7.01%,(14.25%),
Effective Tax Rate,30.04%,(47.81%),(12.66%),23.03%,24.12%
Normalized Net Income,18.34%,6.33%,1.16%,28.73%,70.66%
Foreign Sales,314.97%,5.70%,3.27%,16.37%,
