Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,5.11%,14.05%,5.54%,(8.64%),(8.60%)
Total Revenues,5.11%,14.05%,5.54%,(8.64%),(8.60%)
Cost Of Revenues,6.94%,12.94%,5.82%,(7.59%),(7.20%)
Gross Profit,2.70%,15.57%,5.15%,(10.06%),(10.50%)
Selling General & Admin Expenses,4.13%,18.35%,4.40%,(10.57%),(14.26%)
Other Operating Expense/(Income),7.81%,24.15%,15.18%,(34.12%),(44.01%)
Total Operating Expenses,4.32%,18.67%,5.02%,(12.03%),(16.31%)
Operating Income,0.42%,11.04%,5.37%,(6.99%),(1.04%)
Interest Expense,-6.51%,(0.50%),-0.50%,-12.94%,-9.28%
Interest And Investment Income,33.33%,19.44%,(37.21%),(29.63%),(46.43%)
Net Interest Expenses,-12.23%,-3.64%,(9.43%),-10.34%,-3.01%
Currency Exchange Gains (Loss),(44.44%),-61.54%,,,
"EBT, Excl. Unusual Items",0.92%,13.22%,8.13%,(10.22%),(5.01%)
"EBT, Incl. Unusual Items",0.82%,14.22%,7.20%,(18.33%),(8.03%)
Income Tax Expense,(5.31%),(32.88%),19.86%,(35.03%),(27.74%)
Earnings From Continuing Operations,3.46%,32.78%,4.68%,(14.52%),(3.52%)
Net Income to Company,(6.85%),43.48%,4.68%,(14.52%),(3.52%)
Minority Interest,(10.34%),-34.38%,(4.76%),(13.64%),(26.09%)
Net Income,(7.16%),45.13%,4.68%,(14.79%),(3.83%)
NI to Common Incl Extra Items,(7.16%),45.13%,4.68%,(14.79%),(3.83%)
NI to Common Excl. Extra Items,3.33%,34.08%,4.68%,(14.79%),(3.83%)
Revenue Per Share,5.42%,15.88%,8.26%,(6.61%),(6.67%)
Basic EPS,(6.92%),47.70%,7.23%,(12.85%),(1.79%)
Basic EPS - Continuing Ops,3.59%,36.16%,7.23%,(12.85%),(1.79%)
Basic Weighted Average Shares Outst.,(0.30%),(1.57%),(2.50%),(2.16%),(2.07%)
Diluted EPS,(6.92%),47.23%,7.23%,(12.67%),(1.43%)
Diluted EPS - Continuing Ops,3.67%,36.22%,7.23%,(12.67%),(1.43%)
Diluted Weighted Average Shares Outst.,(0.53%),(1.26%),(2.31%),(2.26%),(2.21%)
Normalized Basic EPS,0.83%,16.02%,10.88%,(8.52%),(3.41%)
Normalized Diluted EPS,1.07%,15.92%,10.92%,(8.46%),(3.28%)
Dividend Per Share,1.05%,1.04%,1.03%,2.04%,1.78%
Payout Ratio,8.75%,(31.65%),(6.03%),17.35%,3.81%
EBITDA,2.79%,12.44%,5.67%,(5.08%),0.43%
EBITA,2.34%,13.22%,5.87%,(6.45%),(0.40%)
EBIT,0.42%,11.04%,5.37%,(6.99%),(1.04%)
EBITDAR,3.04%,11.11%,5.42%,(5.85%),
Effective Tax Rate,(6.06%),(41.24%),11.82%,(20.44%),(21.44%)
Normalized Net Income,0.73%,14.25%,8.17%,(10.51%),(5.42%)
R&D Expense From Footnotes,6.25%,28.24%,4.13%,(3.30%),(3.30%)
Foreign Sales,,18.52%,5.24%,(6.04%),
