Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,111.89%,14.06%,0.97%,(10.43%),0.00%
Other Revenue,41.94%,7.48%,(15.27%),1.30%,0.00%
Total Revenues,58.09%,13.64%,0.37%,(10.02%),0.00%
Property Expenses,57.18%,20.57%,0.08%,2.26%,0.00%
Selling General & Admin Exp.,3.52%,(3.15%),14.50%,0.02%,0.00%
Depreciation & Amortization,105.88%,7.63%,4.06%,(7.58%),0.00%
Other Operating Expenses,12.45%,5.94%,(21.86%),84.17%,0.00%
Total Operating Expenses,67.42%,11.45%,3.02%,(2.03%),0.00%
Operating Income,43.24%,17.71%,(4.29%),(25.17%),0.00%
Total Interest Expense,(0.11%),(11.93%),(2.61%),(3.90%),0.00%
Interest and Investment Income,39.73%,,,4.07%,0.00%
Net Interest Expenses,-0.76%,(15.40%),-1.86%,(3.90%),0.00%
"EBT, Excl. Unusual Items",90.93%,19.01%,(5.62%),(41.68%),0.00%
Impairment of Goodwill,,,,,0.00%
Gain (Loss) on Sale of Assets,(36.38%),3.32%,(14.47%),178.30%,0.00%
Asset Writedown,,,(40.94%),-65.78%,0.00%
Other Unusual Items,-12.58%,-10.26%,(7.25%),(82.25%),0.00%
"EBT, Incl. Unusual Items",1.35%,49.51%,(3.56%),(80.75%),0.00%
Income Tax Expense,,,7.22%,,
Earnings From Continuing Operations,7.18%,40.98%,(3.59%),(80.55%),0.00%
Net Income to Company,7.18%,40.98%,(3.59%),(80.55%),0.00%
Minority Interest,(40.24%),(10.16%),(19.70%),-36.57%,0.00%
Net Income,6.76%,41.49%,(3.89%),(81.25%),0.00%
Pref. Dividends and Other Adj.,(23.43%),,,,
NI to Common Incl Extra Items,11.18%,55.75%,(3.89%),(81.25%),0.00%
NI to Common Excl. Extra Items,11.18%,55.75%,(3.89%),(81.25%),0.00%
Revenue Per Share,0.00%,6.82%,1.64%,(10.90%),0.00%
Basic EPS,(29.89%),46.78%,(2.77%),(81.45%),0.00%
Basic EPS - Continuing Ops,(29.89%),46.78%,(2.77%),(81.45%),0.00%
Basic Weighted Average Shares Outst.,58.17%,6.39%,(1.30%),1.02%,0.00%
Diluted EPS,(29.58%),46.00%,(2.11%),(81.82%),0.00%
Diluted EPS - Continuing Ops,(29.58%),46.00%,(2.11%),(81.82%),0.00%
Diluted Weighted Average Shares Outst.,57.93%,6.34%,(1.37%),1.01%,0.00%
Normalized Basic EPS,21.73%,11.59%,(4.68%),(42.14%),0.00%
Normalized Diluted EPS,21.41%,12.62%,(4.82%),(42.22%),0.00%
Dividend Per Share,5.00%,5.71%,5.41%,1.71%,0.00%
Payout Ratio,38.20%,(18.90%),8.09%,310.39%,0.00%
FFO,78.45%,31.93%,0.23%,(23.29%),0.00%
FFO Payout Ratio %,(10.05%),(11.67%),3.65%,0.30%,0.00%
AFFO,78.45%,31.93%,0.23%,(23.29%),
Funds Available for Distribution,78.45%,31.93%,0.23%,(23.29%),
EBITDA,63.87%,11.75%,(1.87%),(17.24%),0.00%
EBITA,64.33%,9.81%,(9.70%),(26.25%),0.00%
EBIT,43.24%,17.71%,(4.29%),(25.17%),0.00%
EBITDAR,63.14%,11.54%,(1.65%),(16.87%),
Effective Tax Rate,,,10.79%,,
Normalized Net Income,92.37%,19.20%,(6.11%),(41.81%),0.00%
Interest Capitalized,128.27%,(11.65%),(40.28%),3.89%,
Interest on Long-Term Debt,,,,6.27%,
