Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,1995.0,2090.0,2161.4,2242.4,2350.8,2406.1
Total Revenues,1995.0,2090.0,2161.4,2242.4,2350.8,2406.1
Cost Of Revenues,337.2,353.5,361.5,356.6,407.9,434.2
Gross Profit,1657.8,1736.6,1799.9,1885.9,1942.9,1971.9
Selling General & Admin Expenses,767.2,809.1,824.5,952.1,1086.2,1106.7
R&D Expenses,334.2,350.4,366.1,408.1,441.3,459.5
Total Operating Expenses,1101.4,1159.5,1190.6,1360.1,1527.6,1566.2
Operating Income,556.4,577.1,609.3,525.7,415.4,405.7
Interest And Investment Income,6.6,8.5,17.0,25.3,12.2,7.7
Net Interest Expenses,6.6,8.5,17.0,25.3,12.2,7.7
Currency Exchange Gains (Loss),(4.1),3.1,,,,
Other Non Operating Income (Expenses),,,(4.1),(2.7),(8.1),(9.5)
"EBT, Excl. Unusual Items",558.9,588.6,622.2,548.4,419.5,403.9
"EBT, Incl. Unusual Items",549.9,575.5,603.8,541.1,396.4,385.9
Income Tax Expense,184.0,154.8,150.1,113.4,89.0,89.3
Earnings From Continuing Operations,365.9,420.8,453.7,427.7,307.4,296.6
Net Income to Company,365.9,420.8,453.7,427.7,307.4,296.6
Net Income,365.9,420.8,453.7,427.7,307.4,296.6
NI to Common Incl Extra Items,365.9,420.8,453.7,427.7,307.4,296.6
NI to Common Excl. Extra Items,365.9,420.8,453.7,427.7,307.4,296.6
Revenue Per Share,$29.59,$32.57,$35.28,$37.35,$38.59,$39.37
Basic EPS,$5.43,$6.56,$7.41,$7.12,$5.05,$4.85
Basic EPS - Continuing Ops,$5.43,$6.56,$7.41,$7.12,$5.05,$4.85
Basic Weighted Average Shares Outst.,67.4,64.2,61.3,60.0,60.9,61.1
Diluted EPS,$5.38,$6.50,$7.32,$7.08,$5.01,$4.81
Diluted EPS - Continuing Ops,$5.38,$6.50,$7.32,$7.08,$5.01,$4.81
Diluted Weighted Average Shares Outst.,68.0,64.8,62.0,60.5,61.4,61.7
Normalized Basic EPS,$5.18,$5.73,$6.35,$5.71,$4.30,$4.13
Normalized Diluted EPS,$5.14,$5.68,$6.27,$5.67,$4.27,$4.09
EBITDA,602.6,638.2,668.8,594.2,511.2,510.2
EBITA,559.7,589.4,620.4,537.5,450.0,440.3
EBIT,556.4,577.1,609.3,525.7,415.4,405.7
EBITDAR,632.7,668.4,,,586.7,
Effective Tax Rate,33.5%,26.9%,24.9%,21.0%,22.4%,23.1%
Normalized Net Income,349.3,367.9,388.9,342.7,262.2,252.4
R&D Expense From Footnotes,344.8,350.4,366.1,408.1,441.3,459.5
Foreign Sales,976.0,1014.8,1073.1,1104.9,1129.6,
