Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Total Interest and Dividend Income,640.4,802.0,1044.0,1281.0,1000.0,906.0
Total Interest Expense,116.1,154.0,202.0,283.0,178.0,165.0
Net Interest Income,524.3,648.0,842.0,998.0,822.0,741.0
Brokerage Commission,3498.6,1578.0,1626.0,1450.0,1468.0,1486.0
Trading and Principal Transactions,91.6,418.0,329.0,357.0,488.0,538.0
Asset Management Fee,393.3,2471.0,3119.0,3451.0,3834.0,3946.0
Underwriting & Invest. Banking Fee,304.2,491.0,501.0,596.0,650.0,770.0
Gain (Loss) on Sale of Investments,,,,1.0,(31.0),(7.0)
Other Revenue,595.7,785.0,839.0,862.0,759.0,744.0
Revenue Before Loan Losses,5407.7,6391.0,7256.0,7715.0,7990.0,8218.0
Provision For Loan Losses,28.2,13.0,20.0,22.0,233.0,249.0
Total Revenues,5379.6,6378.0,7236.0,7693.0,7757.0,7969.0
Salaries & Other Empl. Benefits,3624.6,4228.0,4795.0,5087.0,5465.0,5614.0
Cost of Services Provided,655.5,777.0,901.0,964.0,944.0,939.0
Other Operating Expenses,244.1,364.0,243.0,277.0,223.0,224.0
Total Operating Expenses,4524.2,5369.0,5939.0,6328.0,6632.0,6777.0
Operating Income,855.3,1009.0,1297.0,1365.0,1125.0,1192.0
Currency Exchange Gains (Loss),(2.7),(20.0),18.0,25.0,,(15.0)
"EBT, Excl. Unusual Items",852.7,989.0,1315.0,1390.0,1125.0,1177.0
Restructuring Charges,,,,,(46.0),(46.0)
Gain (Loss) on Sale of Assets,,(18.0),(4.0),(15.0),(7.0),(7.0)
Other Unusual Items,,(46.0),,,,
"EBT, Incl. Unusual Items",811.9,925.0,1311.0,1375.0,1052.0,1092.0
Income Tax Expense,271.3,289.0,454.0,341.0,234.0,230.0
Earnings From Continuing Operations,540.7,636.0,857.0,1034.0,818.0,862.0
Net Income to Company,540.7,636.0,857.0,1034.0,818.0,862.0
Minority Interest,(11.3),,,,,
Net Income,529.4,636.0,857.0,1034.0,818.0,862.0
Pref. Dividends and Other Adj.,1.3,1.0,1.0,2.0,1.0,1.0
NI to Common Incl Extra Items,528.1,635.0,856.0,1032.0,817.0,861.0
NI to Common Excl. Extra Items,528.1,635.0,856.0,1032.0,817.0,861.0
Revenue Per Share,$37.94,$44.51,$49.80,$54.56,$56.37,$58.07
Basic EPS,$3.72,$4.43,$5.89,$7.32,$5.94,$6.27
Basic EPS - Continuing Ops,$3.72,$4.43,$5.89,$7.32,$5.94,$6.27
Basic Weighted Average Shares Outst.,141.8,143.3,145.3,141.0,137.6,137.2
Diluted EPS,$3.65,$4.33,$5.75,$7.17,$5.83,$6.16
Diluted EPS - Continuing Ops,$3.65,$4.33,$5.75,$7.17,$5.83,$6.16
Diluted Weighted Average Shares Outst.,144.5,146.6,148.8,144.0,140.2,139.8
Normalized Basic EPS,$3.68,$4.31,$5.66,$6.16,$5.11,$5.36
Normalized Diluted EPS,$3.61,$4.22,$5.52,$6.03,$5.02,$5.26
Dividend Per Share,$0.80,$0.88,$1.10,$1.36,$1.48,$1.50
Payout Ratio,21.43%,19.97%,17.62%,18.47%,25.06%,24.25%
Effective Tax Rate,33.4%,31.2%,34.6%,24.8%,22.2%,21.1%
Normalized Net Income,521.6,618.1,821.9,868.8,703.1,735.6
Interest on Long-Term Debt,78.5,95.0,73.0,73.0,85.0,
Foreign Sales,401.6,440.0,520.0,529.0,544.0,
