Income Statement,Oct 2016,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,29916.0,28475.0,30405.0,28677.0,26513.0,26388.0
Other Revenues,364.0,396.0,447.0,458.0,469.0,478.0
Total Revenues,30280.0,28871.0,30852.0,29135.0,26982.0,26866.0
Cost Of Revenues,20507.0,20202.0,21621.0,19642.0,18486.0,18384.0
Gross Profit,9773.0,8669.0,9231.0,9493.0,8496.0,8482.0
Selling General & Admin Expenses,5380.0,4951.0,4783.0,4837.0,4483.0,4444.0
R&D Expenses,1714.0,1490.0,1667.0,1842.0,1874.0,1857.0
Other Operating Expense/(Income),(317.0),3.0,1354.0,(377.0),101.0,96.0
Total Operating Expenses,7049.0,6765.0,8098.0,6569.0,6837.0,6766.0
Operating Income,2724.0,1904.0,1133.0,2924.0,1659.0,1716.0
Interest Expense,(298.0),(334.0),(353.0),(311.0),(332.0),(327.0)
Interest And Investment Income,105.0,104.0,104.0,64.0,44.0,254.0
Net Interest Expenses,(193.0),(230.0),(249.0),(247.0),(288.0),(73.0)
Currency Exchange Gains (Loss),(182.0),(273.0),317.0,4.0,30.0,(213.0)
Other Non Operating Income (Expenses),91.0,176.0,(322.0),66.0,24.0,27.0
"EBT, Excl. Unusual Items",2364.0,1554.0,917.0,2767.0,1492.0,1517.0
"EBT, Incl. Unusual Items",3860.0,272.0,268.0,1553.0,(442.0),(615.0)
Income Tax Expense,623.0,(164.0),"(1,744.0)",504.0,(120.0),(183.0)
Earnings From Continuing Operations,3237.0,436.0,2012.0,1049.0,(322.0),(432.0)
Earnings Of Discontinued Operations,(76.0),(92.0),(104.0),,,
Net Income to Company,3161.0,344.0,1908.0,1049.0,(322.0),(432.0)
Net Income,3161.0,344.0,1908.0,1049.0,(322.0),(432.0)
NI to Common Incl Extra Items,3161.0,344.0,1908.0,1049.0,(322.0),(432.0)
NI to Common Excl. Extra Items,3237.0,436.0,2012.0,1049.0,(322.0),(432.0)
Revenue Per Share,$17.66,$17.54,$20.18,$21.53,$20.85,$20.76
Basic EPS,$1.84,$0.21,$1.25,$0.78,($0.25),($0.33)
Basic EPS - Continuing Ops,$1.89,$0.26,$1.32,$0.78,($0.25),($0.33)
Basic Weighted Average Shares Outst.,1715.0,1646.0,1529.0,1353.0,1294.0,1294.0
Diluted EPS,$1.82,$0.21,$1.23,$0.77,($0.25),($0.33)
Diluted EPS - Continuing Ops,$1.86,$0.26,$1.30,$0.77,($0.25),($0.33)
Diluted Weighted Average Shares Outst.,1739.0,1674.0,1553.0,1366.0,1294.0,1294.0
Normalized Basic EPS,$0.86,$0.59,$0.37,$1.28,$0.72,$0.73
Normalized Diluted EPS,$0.85,$0.58,$0.37,$1.27,$0.72,$0.73
Dividend Per Share,$0.22,$0.26,$0.38,$0.45,$0.48,$0.48
Payout Ratio,11.80%,124.42%,29.87%,57.96%,NM,NM
EBITDA,4975.0,4429.0,3709.0,5459.0,4284.0,4325.0
EBITA,2996.0,2225.0,1427.0,3191.0,2038.0,2085.0
EBIT,2724.0,1904.0,1133.0,2924.0,1659.0,1716.0
EBITDAR,5282.0,4719.0,,,4459.0,
Effective Tax Rate,16.1%,NM,NM,32.5%,NM,NM
Normalized Net Income,1477.5,971.3,573.1,1729.4,932.5,948.1
Interest on Long-Term Debt,547.0,599.0,631.0,608.0,603.0,
R&D Expense From Footnotes,1714.0,1490.0,1667.0,1842.0,1874.0,1857.0
Foreign Sales,19947.0,18849.0,20660.0,19553.0,17820.0,
