Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,3.91%,12.26%,11.49%,(4.92%),(10.60%)
Total Revenues,21.72%,12.26%,11.49%,(4.92%),(10.60%)
Cost Of Revenues,15.24%,10.65%,5.10%,0.83%,(3.51%)
Gross Profit,21.96%,12.32%,11.71%,(5.11%),(10.82%)
Selling General & Admin Expenses,19.96%,18.38%,7.99%,1.05%,(2.98%)
Depreciation & Amortization,10.76%,10.25%,7.01%,16.92%,11.25%
Total Operating Expenses,18.94%,17.54%,7.90%,2.58%,(1.57%)
Operating Income,23.32%,10.05%,13.48%,(8.50%),(14.96%)
Interest Expense,(31.85%),(8.70%),-12.91%,-3.19%,(14.05%)
Interest And Investment Income,24.00%,86.02%,42.77%,(67.61%),86.67%
Net Interest Expenses,(33.52%),-6.60%,-34.85%,(52.45%),-6.45%
Other Non Operating Income (Expenses),,,-91.84%,(100.00%),0.00%
"EBT, Excl. Unusual Items",19.79%,10.29%,15.49%,(9.68%),(15.21%)
"EBT, Incl. Unusual Items",45.96%,9.51%,16.23%,(7.35%),(13.11%)
Income Tax Expense,147.15%,(49.85%),11.94%,4.28%,(6.80%)
Earnings From Continuing Operations,11.82%,53.77%,17.27%,(10.05%),(14.58%)
Net Income to Company,11.82%,53.77%,17.27%,(10.05%),(14.58%)
Net Income,11.82%,53.77%,17.27%,(10.05%),(14.58%)
Preferred Dividend and Other Adjustments,274.19%,54.74%,19.78%,(9.07%),(12.72%)
NI to Common Incl Extra Items,9.07%,53.73%,17.18%,(10.09%),(14.65%)
NI to Common Excl. Extra Items,9.07%,53.73%,17.18%,(10.09%),(14.65%)
Revenue Per Share,26.17%,15.27%,14.04%,(2.71%),(9.55%)
Basic EPS,12.99%,58.12%,19.94%,(8.10%),(13.65%)
Basic EPS - Continuing Ops,12.99%,58.12%,19.94%,(8.10%),(13.65%)
Basic Weighted Average Shares Outst.,(3.47%),(2.65%),(2.23%),(2.24%),(1.16%)
Diluted EPS,12.79%,57.96%,20.29%,(8.12%),(13.52%)
Diluted EPS - Continuing Ops,12.79%,57.96%,20.29%,(8.12%),(13.52%)
Diluted Weighted Average Shares Outst.,(0.79%),(2.76%),(2.45%),(2.16%),(4.85%)
Normalized Basic EPS,23.89%,13.42%,18.25%,(7.66%),(14.22%)
Normalized Diluted EPS,20.75%,13.54%,18.38%,(7.76%),(10.89%)
Dividend Per Share,16.95%,27.54%,19.32%,16.19%,
Payout Ratio,4.62%,(21.00%),0.88%,30.55%,62.86%
EBITDA,23.04%,12.54%,13.20%,(7.47%),(10.76%)
EBITA,23.27%,9.99%,13.46%,(8.34%),(14.96%)
EBIT,23.32%,10.05%,13.48%,(8.50%),(14.96%)
EBITDAR,22.99%,,,,
Effective Tax Rate,69.37%,(54.20%),(3.69%),12.55%,7.27%
Normalized Net Income,19.79%,10.29%,15.49%,(9.68%),(15.21%)
Interest on Long-Term Debt,31.85%,8.70%,(12.91%),(3.19%),
R&D Expense From Footnotes,10.04%,,,,
Foreign Sales,33.51%,16.81%,12.60%,(7.69%),
