Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,(1.89%),9.88%,12.26%,(9.80%),(9.92%)
Other Revenues,(1.20%),26.26%,3.20%,(22.02%),(19.55%)
Total Revenues,(1.85%),10.87%,11.64%,(10.58%),(10.49%)
Cost Of Revenues,(4.21%),8.28%,14.99%,(12.63%),(16.42%)
Gross Profit,1.29%,14.13%,7.65%,(7.98%),(2.78%)
Selling General & Admin Expenses,0.26%,13.69%,3.12%,(3.53%),(7.20%)
Depreciation & Amortization,(11.09%),5.12%,39.62%,(2.28%),(0.91%)
Total Operating Expenses,(1.53%),12.47%,7.97%,(3.31%),(6.11%)
Operating Income,26.69%,25.72%,5.64%,(37.90%),25.68%
Interest Expense,,,(742.86%),-57.63%,(28.13%)
Interest And Investment Income,(9.30%),,,(87.50%),150.00%
Net Interest Expenses,(9.30%),,(400.00%),-37.14%,(20.00%)
Other Non Operating Income (Expenses),310.00%,(73.17%),9.09%,0.00%,"1,600.00%"
"EBT, Excl. Unusual Items",(46.24%),,,(43.65%),22.64%
"EBT, Incl. Unusual Items",,(77.07%),,,"(1,272.00%)"
Income Tax Expense,,"1,167.86%",(64.51%),(83.33%),92.31%
Earnings From Continuing Operations,,(124.57%),,,(788.98%)
Net Income to Company,,(124.57%),,,(788.98%)
Minority Interest,(33.80%),-26.32%,(4.29%),,
Net Income,,(105.15%),,,(371.04%)
Preferred Dividend and Other Adjustments,0.00%,0.00%,,,
NI to Common Incl Extra Items,,(104.86%),,,(371.04%)
NI to Common Excl. Extra Items,,(104.86%),,,(371.04%)
Revenue Per Share,(1.97%),10.62%,11.23%,(11.07%),(10.95%)
Basic EPS,,(104.86%),,,(368.60%)
Basic EPS - Continuing Ops,,(104.86%),,,(368.60%)
Basic Weighted Average Shares Outst.,0.14%,0.22%,0.34%,0.55%,0.52%
Diluted EPS,,(104.86%),,,(368.94%)
Diluted EPS - Continuing Ops,,(104.86%),,,(368.94%)
Diluted Weighted Average Shares Outst.,(0.19%),0.22%,0.89%,0.00%,0.52%
Normalized Basic EPS,(74.20%),,,71.14%,193.03%
Normalized Diluted EPS,(74.20%),,,71.14%,193.03%
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,,,,,-78.95%
EBITDA,9.75%,18.03%,20.37%,(24.52%),10.76%
EBITA,21.52%,23.06%,8.70%,(33.79%),16.84%
EBIT,26.69%,25.72%,5.64%,(37.90%),25.68%
EBITDAR,6.86%,17.91%,17.96%,(15.95%),
Effective Tax Rate,,,,,-85.98%
Normalized Net Income,(74.19%),,,71.10%,194.56%
Foreign Sales,(1.18%),15.43%,20.49%,(14.03%),
