Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,25.96%,24.82%,(3.74%),(40.23%),0.00%
Other Revenues,,,38.71%,(2.33%),
Total Revenues,25.96%,24.85%,(3.73%),(40.21%),0.00%
Cost Of Revenues,35.18%,47.58%,(2.45%),(39.59%),0.00%
Gross Profit,5.20%,(40.89%),(12.94%),(45.25%),0.00%
Selling General & Admin Expenses,8.13%,2.55%,3.02%,(9.59%),0.00%
Depreciation & Amortization,12.84%,2.88%,(1.11%),4.03%,0.00%
Other Operating Expense/(Income),(1.63%),(96.56%),(13.82%),19.30%,0.00%
Total Operating Expenses,1.97%,(60.43%),1.42%,(6.09%),0.00%
Operating Income,69.14%,192.00%,(36.14%),,0.00%
Interest Expense,(29.59%),(15.07%),-9.13%,(8.95%),0.00%
Interest And Investment Income,72.22%,45.16%,(4.44%),(67.44%),0.00%
Net Interest Expenses,(27.19%),(12.78%),-9.59%,(16.87%),0.00%
Currency Exchange Gains (Loss),,,,(140.00%),0.00%
Other Non Operating Income (Expenses),48.15%,,,,
"EBT, Excl. Unusual Items",43.69%,136.68%,(32.49%),,0.00%
"EBT, Incl. Unusual Items",62.25%,109.42%,(43.88%),,0.00%
Income Tax Expense,,,(49.05%),,0.00%
Earnings From Continuing Operations,219.22%,11.91%,(42.50%),,0.00%
Net Income to Company,219.22%,11.91%,(42.50%),,0.00%
Minority Interest,(59.55%),(95.77%),(8.27%),-13.29%,0.00%
Net Income,228.36%,9.58%,(45.02%),,0.00%
Preferred Dividend and Other Adjustments,0.00%,0.00%,0.00%,33.33%,0.00%
NI to Common Incl Extra Items,229.24%,9.59%,(45.07%),,0.00%
NI to Common Excl. Extra Items,229.24%,9.59%,(45.07%),,0.00%
Revenue Per Share,28.99%,36.62%,0.40%,(38.60%),0.00%
Basic EPS,236.77%,19.94%,(42.70%),,0.00%
Basic EPS - Continuing Ops,236.77%,19.94%,(42.70%),,0.00%
Basic Weighted Average Shares Outst.,(2.36%),(8.62%),(4.11%),(2.62%),0.00%
Diluted EPS,237.24%,19.82%,(42.61%),,0.00%
Diluted EPS - Continuing Ops,237.24%,19.82%,(42.61%),,0.00%
Diluted Weighted Average Shares Outst.,(2.18%),(8.57%),(4.25%),(3.16%),0.00%
Normalized Basic EPS,46.10%,162.15%,(32.30%),,0.00%
Normalized Diluted EPS,45.74%,162.53%,(32.16%),,0.00%
Dividend Per Share,11.43%,13.55%,12.90%,2.86%,0.00%
Payout Ratio,(66.86%),(6.06%),98.83%,,0.00%
EBITDA,39.50%,111.44%,(28.87%),,0.00%
EBITA,68.26%,189.37%,(35.98%),,0.00%
EBIT,69.14%,192.00%,(36.14%),,0.00%
EBITDAR,,,(25.85%),(89.94%),
Effective Tax Rate,,,(9.18%),31.36%,0.00%
Normalized Net Income,42.58%,139.87%,(35.08%),,0.00%
Interest Capitalized,(81.48%),13.33%,352.94%,(2.60%),
Interest on Long-Term Debt,,,,2.41%,
R&D Expense From Footnotes,0.00%,(8.33%),(1.82%),(11.11%),0.00%
Foreign Sales,8.69%,(6.04%),(5.10%),(35.17%),
