Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,22.82%,8.18%,8.85%,(9.82%),0.00%
Total Revenues,22.82%,8.18%,8.85%,(9.82%),0.00%
Cost Of Revenues,18.05%,(10.14%),8.81%,(4.59%),0.00%
Gross Profit,24.42%,14.00%,8.86%,(11.12%),0.00%
Selling General & Admin Expenses,34.53%,2.39%,7.04%,(7.29%),0.00%
Depreciation & Amortization,30.16%,3.80%,(0.15%),(7.08%),0.00%
Other Operating Expense/(Income),,(59.02%),,(75.85%),0.00%
Total Operating Expenses,33.26%,2.84%,4.55%,2.83%,0.00%
Operating Income,17.19%,24.40%,12.17%,(21.14%),0.00%
Interest Expense,(49.03%),(29.26%),(8.34%),-13.49%,0.00%
Interest And Investment Income,,,,,0.00%
Net Interest Expenses,(49.03%),(29.26%),(8.34%),-33.49%,0.00%
Currency Exchange Gains (Loss),-92.86%,-50.00%,,314.29%,0.00%
Other Non Operating Income (Expenses),(640.11%),-64.07%,(63.84%),,0.00%
"EBT, Excl. Unusual Items",14.10%,23.90%,12.79%,(19.14%),0.00%
"EBT, Incl. Unusual Items",38.99%,22.55%,(1.58%),(18.12%),0.00%
Income Tax Expense,(19.49%),84.92%,(35.57%),(2.43%),0.00%
Earnings From Continuing Operations,63.62%,9.63%,10.30%,(21.32%),0.00%
Net Income to Company,63.62%,9.63%,10.30%,(21.32%),0.00%
Net Income,63.62%,9.63%,10.30%,(21.32%),0.00%
NI to Common Incl Extra Items,63.62%,9.63%,10.30%,(21.32%),0.00%
NI to Common Excl. Extra Items,63.62%,9.63%,10.30%,(21.32%),0.00%
Revenue Per Share,24.80%,11.06%,11.81%,(7.25%),0.00%
Basic EPS,66.11%,12.60%,13.34%,(19.08%),0.00%
Basic EPS - Continuing Ops,66.11%,12.60%,13.34%,(19.08%),0.00%
Basic Weighted Average Shares Outst.,(1.59%),(2.61%),(2.65%),(2.77%),0.00%
Diluted EPS,66.53%,11.38%,12.83%,(18.31%),0.00%
Diluted EPS - Continuing Ops,66.53%,11.38%,12.83%,(18.31%),0.00%
Diluted Weighted Average Shares Outst.,(1.70%),(1.54%),(2.26%),(3.72%),0.00%
Normalized Basic EPS,16.06%,27.12%,15.90%,(16.78%),0.00%
Normalized Diluted EPS,16.05%,25.74%,15.45%,(16.06%),0.00%
EBITDA,19.88%,20.00%,9.02%,(19.38%),0.00%
EBITA,19.63%,20.09%,9.46%,(19.68%),0.00%
EBIT,17.19%,24.40%,12.17%,(21.14%),0.00%
EBITDAR,19.91%,,,(19.09%),
Effective Tax Rate,(42.09%),50.85%,(34.54%),19.13%,0.00%
Normalized Net Income,14.10%,23.90%,12.79%,(19.14%),0.00%
R&D Expense From Footnotes,23.16%,11.01%,53.72%,8.06%,0.00%
Foreign Sales,53.63%,12.13%,10.70%,(12.55%),
