Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Total Interest and Dividend Income,11.98%,12.90%,10.10%,(7.49%),(10.62%)
Total Interest Expense,17.88%,29.79%,18.28%,(26.28%),(35.66%)
Net Interest Income,10.83%,9.43%,8.10%,(2.46%),(4.12%)
Commission and Fees,0.74%,2.71%,0.88%,(10.69%),(3.13%)
Loan Servicing Revenue,5.83%,10.74%,11.69%,(7.80%),(13.36%)
Gain (Loss) on Sale of Invest.,,,,,25.00%
Other Revenue,(3.96%),(4.44%),(4.65%),(17.77%),(19.86%)
Revenue Before Loan Losses,8.77%,8.20%,7.00%,(3.24%),(4.68%)
Provision For Loan Losses,38.73%,17.68%,6.46%,58.90%,(29.96%)
Total Revenues,1.08%,4.86%,7.22%,(27.64%),9.86%
Salaries and Other Empl. Benefits,9.64%,7.61%,6.82%,8.98%,8.60%
Cost of Services Provided,4.24%,7.37%,8.63%,(5.72%),(11.39%)
Other Operating Expenses,(0.59%),15.22%,5.44%,8.35%,0.48%
Total Operating Expenses,5.91%,8.18%,7.59%,1.56%,(2.23%)
Operating Income,(3.41%),1.49%,6.82%,(59.55%),28.19%
"EBT, Excl. Unusual Items",(3.41%),1.49%,6.82%,(59.55%),28.19%
Other Unusual Items,-9.18%,-6.74%,(15.66%),0.00%,0.00%
"EBT, Incl. Unusual Items",(3.25%),1.70%,6.62%,(62.58%),27.06%
Income Tax Expense,13.86%,(40.54%),2.69%,(66.51%),21.31%
Earnings From Continuing Operations,(12.29%),30.63%,7.84%,(61.41%),28.80%
Net Income to Company,(12.29%),30.63%,7.84%,(61.41%),28.80%
Net Income,(12.29%),30.63%,7.84%,(61.41%),28.80%
Pref. Dividends and Other Adj.,25.93%,(22.06%),(7.55%),(24.49%),48.89%
NI to Common Incl Extra Items,(13.17%),32.40%,8.14%,(62.04%),28.38%
NI to Common Excl. Extra Items,(13.17%),32.40%,8.14%,(62.04%),28.38%
Revenue Per Share,9.43%,13.99%,15.25%,(24.57%),12.81%
Basic EPS,(6.05%),43.96%,16.21%,(60.44%),31.83%
Basic EPS - Continuing Ops,(6.05%),43.96%,16.21%,(60.44%),31.83%
Basic Weighted Average Shares Outst.,(7.65%),(8.02%),(6.98%),(4.06%),(2.62%)
Diluted EPS,(6.07%),43.73%,16.56%,(60.40%),31.93%
Diluted EPS - Continuing Ops,(6.07%),43.73%,16.56%,(60.40%),31.93%
Diluted Weighted Average Shares Outst.,(7.88%),(7.75%),(7.25%),(4.06%),(2.62%)
Normalized Basic EPS,4.65%,10.33%,14.76%,(57.85%),31.64%
Normalized Diluted EPS,4.84%,10.01%,15.11%,(57.85%),31.64%
Dividend Per Share,12.07%,15.38%,12.00%,4.76%,2.33%
Payout Ratio,16.89%,(19.83%),(3.74%),160.49%,
Effective Tax Rate,17.67%,(41.54%),(3.68%),(10.49%),(4.53%)
Normalized Net Income,(3.41%),1.49%,6.82%,(59.55%),28.19%
Interest on Long-Term Debt,12.80%,12.34%,4.66%,(36.16%),
