Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,6.30%,15.86%,(2.04%),5.51%,9.88%
Total Revenues,6.30%,15.86%,(2.04%),5.51%,9.88%
Cost Of Revenues,7.36%,16.10%,(1.21%),4.81%,8.41%
Gross Profit,4.66%,15.48%,(3.38%),6.67%,12.29%
Selling General & Admin Expenses,7.52%,9.46%,9.22%,9.16%,9.06%
R&D Expenses,15.29%,22.93%,13.92%,15.63%,16.09%
Total Operating Expenses,10.74%,15.27%,11.38%,12.20%,12.39%
Operating Income,2.20%,15.57%,(9.83%),3.69%,12.24%
Interest Expense,(59.55%),(39.47%),(10.37%),-19.66%,-21.46%
Interest And Investment Income,30.06%,9.33%,(12.75%),(24.15%),(26.26%)
Net Interest Expenses,13.17%,(15.01%),(43.38%),(35.74%),(39.82%)
Other Non Operating Income (Expenses),-88.87%,(231.58%),,,
"EBT, Excl. Unusual Items",4.43%,13.75%,(9.79%),1.89%,10.11%
"EBT, Incl. Unusual Items",4.43%,13.75%,(9.83%),2.06%,10.34%
Income Tax Expense,0.34%,(15.03%),(21.62%),(7.64%),5.87%
Earnings From Continuing Operations,5.83%,23.12%,(7.18%),3.90%,11.13%
Net Income to Company,5.83%,23.12%,(7.18%),3.90%,11.13%
Net Income,5.83%,23.12%,(7.18%),3.90%,11.13%
NI to Common Incl Extra Items,5.83%,23.12%,(7.18%),3.90%,11.13%
NI to Common Excl. Extra Items,5.83%,23.12%,(7.18%),3.90%,11.13%
Revenue Per Share,11.52%,22.03%,5.11%,12.28%,16.15%
Basic EPS,10.86%,29.45%,(0.29%),10.66%,17.47%
Basic EPS - Continuing Ops,10.86%,29.45%,(0.29%),10.66%,17.47%
Basic Weighted Average Shares Outst.,(4.64%),(5.02%),(6.81%),(6.06%),(5.40%)
Diluted EPS,10.70%,29.57%,(0.34%),10.44%,17.08%
Diluted EPS - Continuing Ops,10.70%,29.57%,(0.34%),10.44%,17.08%
Diluted Weighted Average Shares Outst.,(4.52%),(4.79%),(7.02%),(5.74%),(5.06%)
Normalized Basic EPS,9.68%,19.73%,(3.25%),8.23%,16.39%
Normalized Diluted EPS,9.59%,19.28%,(3.05%),8.11%,15.98%
Dividend Per Share,9.09%,13.33%,10.29%,6.00%,6.25%
Payout Ratio,(0.68%),(12.79%),10.95%,(4.01%),(9.60%)
EBITDA,1.38%,14.41%,(6.51%),1.13%,9.01%
EBITA,2.20%,15.57%,(9.83%),3.69%,12.24%
EBIT,2.20%,15.57%,(9.83%),3.69%,12.24%
EBITDAR,1.59%,14.32%,(6.29%),13.33%,
Effective Tax Rate,(3.93%),(25.32%),(13.07%),(9.48%),(4.05%)
Normalized Net Income,4.43%,13.75%,(9.79%),1.89%,10.11%
Interest on Long-Term Debt,57.14%,36.36%,6.67%,(12.50%),
R&D Expense From Footnotes,15.29%,22.93%,13.92%,15.63%,16.09%
Foreign Sales,3.52%,15.62%,(5.75%),4.69%,
