Income Statement,Jun 2018,Jun 2019,Jan 2020,Jan 2021,TTM
Revenues,4.60%,10.26%,172.40%,(1.79%),87.76%
Total Revenues,4.60%,10.26%,172.40%,(1.79%),87.76%
Cost Of Revenues,5.50%,9.86%,194.78%,(2.38%),94.57%
Gross Profit,2.89%,11.04%,129.56%,(0.35%),73.18%
Selling General & Admin Expenses,1.94%,4.76%,170.84%,3.80%,99.43%
Total Operating Expenses,1.94%,4.76%,170.84%,3.80%,99.43%
Operating Income,3.68%,16.18%,99.11%,(4.53%),51.42%
Interest Expense,-1.16%,-0.59%,(59.76%),0.00%,(40.63%)
Interest And Investment Income,0.00%,0.00%,"1,100.00%",(33.33%),60.00%
Net Interest Expenses,-1.18%,-0.60%,(47.31%),(3.25%),(39.56%)
"EBT, Excl. Unusual Items",4.13%,19.72%,105.94%,(4.82%),53.52%
"EBT, Incl. Unusual Items",2.14%,22.58%,63.16%,(27.20%),2.01%
Income Tax Expense,(21.07%),(22.33%),(8.75%),60.27%,88.71%
Earnings From Continuing Operations,11.78%,35.75%,75.24%,(34.85%),(7.17%)
Earnings Of Discontinued Operations,-96.47%,(33.33%),-50.00%,0.00%,(100.00%)
Net Income to Company,28.73%,35.77%,75.76%,(34.89%),(7.26%)
Net Income,28.73%,35.77%,73.23%,(31.93%),(3.95%)
Preferred Dividend and Other Adjustments,100.00%,0.00%,,,
NI to Common Incl Extra Items,28.60%,35.87%,73.60%,(31.93%),(3.87%)
NI to Common Excl. Extra Items,11.64%,35.86%,73.08%,(31.90%),(3.78%)
Revenue Per Share,8.12%,10.82%,45.30%,1.51%,26.50%
Basic EPS,32.96%,36.49%,(7.44%),(29.62%),(35.23%)
Basic EPS - Continuing Ops,15.50%,36.60%,(7.68%),(29.59%),(35.17%)
Basic Weighted Average Shares Outst.,(3.26%),(0.51%),87.46%,(3.25%),48.43%
Diluted EPS,32.00%,36.40%,(6.48%),(29.51%),(34.67%)
Diluted EPS - Continuing Ops,14.68%,36.51%,(6.72%),(29.48%),(34.61%)
Diluted Weighted Average Shares Outst.,(2.57%),(0.50%),85.64%,(3.49%),47.17%
Normalized Basic EPS,7.58%,20.22%,8.11%,2.19%,6.48%
Normalized Diluted EPS,6.91%,20.27%,9.18%,2.50%,7.39%
Dividend Per Share,7.55%,20.18%,9.49%,13.33%,21.21%
Payout Ratio,(19.35%),(11.99%),19.70%,58.02%,81.88%
EBITDA,2.02%,13.14%,102.69%,10.48%,72.36%
EBITA,2.58%,14.53%,123.05%,0.31%,71.96%
EBIT,3.68%,16.18%,99.11%,(4.53%),51.42%
EBITDAR,1.65%,13.41%,,,
Effective Tax Rate,(22.73%),(36.64%),(44.09%),120.15%,85.00%
Normalized Net Income,4.13%,19.72%,102.68%,(1.08%),58.04%
R&D Expense From Footnotes,0.32%,6.43%,98.79%,3.95%,67.65%
Foreign Sales,20.77%,(13.69%),,,
