Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11.57%,6.38%,(6.12%),(3.25%),0.00%
Total Revenues,11.57%,6.38%,(6.12%),(3.25%),0.00%
Cost Of Revenues,12.25%,6.69%,(3.74%),(1.37%),0.00%
Gross Profit,10.61%,5.93%,(9.56%),(6.14%),0.00%
Selling General & Admin Expenses,10.69%,4.35%,(4.53%),(7.52%),0.00%
Total Operating Expenses,10.69%,4.35%,(4.53%),(7.52%),0.00%
Operating Income,10.49%,8.18%,(16.46%),(3.98%),0.00%
Interest Expense,(38.36%),-16.83%,(30.95%),-33.64%,0.00%
Net Interest Expenses,(38.36%),-16.83%,(30.95%),-33.64%,0.00%
Other Non Operating Income (Expenses),136.17%,1.80%,3.54%,(25.21%),0.00%
"EBT, Excl. Unusual Items",12.61%,8.39%,(16.37%),(4.34%),0.00%
"EBT, Incl. Unusual Items",12.61%,7.10%,(15.36%),(5.97%),0.00%
Income Tax Expense,64.93%,(49.35%),(10.12%),(3.04%),0.00%
Earnings From Continuing Operations,(9.19%),49.81%,(16.70%),(6.78%),0.00%
Net Income to Company,(9.19%),49.81%,(16.70%),(6.78%),0.00%
Net Income,(9.19%),49.81%,(16.70%),(6.78%),0.00%
NI to Common Incl Extra Items,(9.19%),49.81%,(16.70%),(6.78%),0.00%
NI to Common Excl. Extra Items,(9.19%),49.81%,(16.70%),(6.78%),0.00%
Revenue Per Share,12.92%,7.65%,(3.22%),(0.92%),0.00%
Basic EPS,(8.17%),51.39%,(13.99%),(4.68%),0.00%
Basic EPS - Continuing Ops,(8.17%),51.39%,(13.99%),(4.68%),0.00%
Basic Weighted Average Shares Outst.,(1.17%),(1.20%),(3.01%),(2.37%),0.00%
Diluted EPS,(8.11%),51.76%,(13.95%),(4.50%),0.00%
Diluted EPS - Continuing Ops,(8.11%),51.76%,(13.95%),(4.50%),0.00%
Diluted Weighted Average Shares Outst.,(1.26%),(1.38%),(3.18%),(2.46%),0.00%
Normalized Basic EPS,14.25%,9.43%,(13.85%),(1.83%),0.00%
Normalized Diluted EPS,14.37%,10.16%,(13.66%),(1.93%),0.00%
Dividend Per Share,16.67%,35.71%,18.42%,8.89%,0.00%
Payout Ratio,26.72%,(10.38%),37.67%,14.12%,0.00%
EBITDA,10.14%,7.50%,(13.53%),(3.09%),0.00%
EBITA,10.26%,8.08%,(15.78%),(4.12%),0.00%
EBIT,10.49%,8.18%,(16.46%),(3.98%),0.00%
EBITDAR,,,(13.56%),(3.24%),
Effective Tax Rate,46.44%,(52.71%),6.17%,3.11%,0.00%
Normalized Net Income,12.61%,8.39%,(16.37%),(4.34%),0.00%
Interest on Long-Term Debt,34.67%,(16.83%),30.95%,(33.64%),
R&D Expense From Footnotes,7.87%,8.80%,(6.49%),(8.19%),0.00%
Foreign Sales,16.45%,5.27%,(17.78%),(11.89%),
