Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,16.60%,16.00%,13.18%,27.09%,15.05%
Total Revenues,16.60%,16.00%,13.18%,27.09%,15.05%
Cost Of Revenues,10.90%,12.43%,29.28%,31.04%,7.96%
Gross Profit,20.23%,18.09%,4.20%,24.35%,20.60%
Selling General & Admin Expenses,4.03%,13.84%,35.04%,22.49%,(5.91%)
R&D Expenses,9.80%,15.54%,16.84%,21.49%,7.01%
Total Operating Expenses,7.27%,14.81%,24.53%,21.95%,0.83%
Operating Income,31.66%,20.45%,(9.73%),26.62%,43.15%
Interest Expense,-0.33%,-6.61%,(8.94%),(28.63%),(3.40%)
Interest And Investment Income,60.41%,58.44%,9.49%,(46.38%),(46.38%)
Net Interest Expenses,-8.46%,-21.87%,(8.68%),(64.57%),(21.32%)
Currency Exchange Gains (Loss),-48.10%,(10.45%),,,
Other Non Operating Income (Expenses),,-15.51%,(110.92%),-44.62%,-72.91%
"EBT, Excl. Unusual Items",35.33%,24.13%,(10.88%),24.13%,46.08%
"EBT, Incl. Unusual Items",36.71%,24.09%,(10.97%),1.58%,22.60%
Income Tax Expense,60.74%,164.46%,(81.46%),(16.11%),47.62%
Earnings From Continuing Operations,31.47%,(13.37%),46.46%,3.40%,20.13%
Net Income to Company,31.47%,(13.37%),46.46%,3.40%,20.13%
Minority Interest,,,,193.33%,111.85%
Net Income,31.47%,(13.37%),46.54%,3.50%,20.21%
NI to Common Incl Extra Items,31.47%,(13.37%),46.54%,3.50%,20.21%
NI to Common Excl. Extra Items,31.47%,(13.37%),46.54%,3.50%,20.21%
Revenue Per Share,16.14%,16.09%,13.39%,26.47%,17.29%
Basic EPS,30.94%,(13.32%),46.85%,3.06%,22.54%
Basic EPS - Continuing Ops,30.94%,(13.32%),46.85%,3.06%,22.54%
Basic Weighted Average Shares Outst.,0.38%,(0.08%),(0.19%),0.48%,(1.91%)
Diluted EPS,30.96%,(13.27%),46.86%,2.80%,22.66%
Diluted EPS - Continuing Ops,30.96%,(13.27%),46.86%,2.80%,22.66%
Diluted Weighted Average Shares Outst.,0.45%,(0.07%),(0.27%),0.67%,(1.90%)
Normalized Basic EPS,34.65%,24.11%,(10.63%),23.69%,49.01%
Normalized Diluted EPS,34.55%,24.09%,(10.52%),23.46%,49.00%
Dividend Per Share,2.88%,17.76%,19.05%,10.00%,12.90%
Payout Ratio,(21.37%),36.16%,(19.05%),7.55%,(7.40%)
EBITDA,28.74%,19.92%,1.31%,29.87%,30.12%
EBITA,30.64%,20.45%,(4.04%),34.07%,38.23%
EBIT,31.66%,20.45%,(9.73%),26.62%,43.15%
EBITDAR,28.59%,19.84%,1.50%,30.95%,
Effective Tax Rate,17.56%,113.08%,(79.17%),(17.40%),20.41%
Normalized Net Income,35.33%,24.13%,(10.81%),24.25%,46.17%
Interest on Long-Term Debt,(0.33%),(6.61%),8.94%,28.63%,
R&D Expense From Footnotes,9.44%,15.54%,16.84%,21.49%,7.01%
Foreign Sales,20.05%,19.80%,12.14%,29.61%,
