Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,6.69%,23.08%,3.80%,31.18%,0.00%
Total Revenues,6.69%,23.08%,3.80%,31.18%,0.00%
Cost Of Revenues,7.49%,21.45%,2.02%,13.38%,0.00%
Gross Profit,5.81%,24.88%,5.72%,49.59%,0.00%
Selling General & Admin Expenses,5.14%,31.58%,2.68%,11.96%,0.00%
R&D Expenses,12.30%,39.10%,(2.40%),8.48%,0.00%
Total Operating Expenses,6.40%,32.97%,1.70%,11.31%,0.00%
Operating Income,4.46%,5.80%,17.66%,147.69%,0.00%
Interest Expense,(5.81%),(52.43%),-5.00%,-22.66%,0.00%
Interest And Investment Income,266.24%,(55.62%),31.03%,(32.44%),0.00%
Net Interest Expenses,(1.33%),(59.14%),-5.62%,-22.42%,0.00%
Currency Exchange Gains (Loss),,,-82.61%,"(1,150.00%)",0.00%
Other Non Operating Income (Expenses),,,3.56%,(36.99%),0.00%
"EBT, Excl. Unusual Items",19.29%,(13.22%),24.14%,177.62%,0.00%
"EBT, Incl. Unusual Items",21.57%,(13.16%),(7.97%),282.20%,0.00%
Income Tax Expense,393.01%,(85.55%),(53.54%),"1,798.67%",0.00%
Earnings From Continuing Operations,(27.27%),51.36%,(4.09%),219.69%,0.00%
Earnings Of Discontinued Operations,630.08%,(99.67%),,(8.21%),0.00%
Net Income to Company,24.90%,(18.69%),(4.36%),219.87%,0.00%
Net Income,24.90%,(18.69%),(4.36%),219.87%,0.00%
NI to Common Incl Extra Items,24.90%,(18.69%),(4.36%),219.87%,0.00%
NI to Common Excl. Extra Items,(27.27%),51.36%,(4.09%),219.69%,0.00%
Revenue Per Share,6.34%,22.33%,3.54%,30.37%,0.00%
Basic EPS,24.47%,(19.10%),(4.50%),218.41%,0.00%
Basic EPS - Continuing Ops,(27.51%),50.20%,(4.42%),216.95%,0.00%
Basic Weighted Average Shares Outst.,0.35%,0.64%,0.24%,0.62%,0.00%
Diluted EPS,24.15%,(19.16%),(4.31%),218.54%,0.00%
Diluted EPS - Continuing Ops,(27.55%),50.00%,(4.23%),218.63%,0.00%
Diluted Weighted Average Shares Outst.,0.49%,0.61%,(0.03%),0.52%,0.00%
Normalized Basic EPS,19.07%,(13.57%),23.83%,176.58%,0.00%
Normalized Diluted EPS,18.79%,(13.84%),23.89%,176.64%,0.00%
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,(19.98%),23.89%,4.75%,(68.59%),0.00%
EBITDA,4.60%,22.17%,17.95%,101.34%,0.00%
EBITA,4.20%,20.53%,18.58%,109.56%,0.00%
EBIT,4.46%,5.80%,17.66%,147.69%,0.00%
EBITDAR,,,,91.50%,
Effective Tax Rate,305.55%,(83.36%),(49.50%),396.67%,0.00%
Normalized Net Income,19.29%,(13.22%),24.14%,177.62%,0.00%
Interest on Long-Term Debt,5.81%,52.43%,(5.00%),(21.87%),
R&D Expense From Footnotes,12.30%,39.10%,(2.40%),8.48%,0.00%
Foreign Earnings,,,(1.57%),26.95%,
Foreign Sales,11.53%,(15.49%),4.03%,34.11%,
