Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,7791.0,7644.0,8399.0,9429.0,8505.0,8259.0
Other Revenues,501.0,495.0,625.0,645.0,503.0,461.0
Total Revenues,8292.0,8139.0,9024.0,10074.0,9008.0,8720.0
Cost Of Revenues,4728.0,4529.0,4904.0,5639.0,4927.0,4600.0
Gross Profit,3564.0,3610.0,4120.0,4435.0,4081.0,4120.0
Selling General & Admin Expenses,2703.0,2710.0,3081.0,3177.0,3065.0,2911.0
Depreciation & Amortization,505.0,449.0,472.0,659.0,644.0,651.0
Total Operating Expenses,3208.0,3159.0,3553.0,3836.0,3709.0,3562.0
Operating Income,356.0,451.0,567.0,599.0,372.0,558.0
Interest Expense,,,(7.0),(59.0),(25.0),(41.0)
Interest And Investment Income,43.0,39.0,,24.0,3.0,5.0
Net Interest Expenses,43.0,39.0,(7.0),(35.0),(22.0),(36.0)
Other Non Operating Income (Expenses),10.0,41.0,11.0,12.0,12.0,17.0
"EBT, Excl. Unusual Items",439.0,236.0,(435.0),559.0,315.0,493.0
"EBT, Incl. Unusual Items",181.0,(615.0),"(1,089.0)",354.0,"(1,524.0)","(1,029.0)"
Income Tax Expense,(54.0),28.0,355.0,126.0,21.0,100.0
Earnings From Continuing Operations,235.0,(643.0),"(1,444.0)",228.0,"(1,545.0)","(1,129.0)"
Earnings Of Discontinued Operations,15.0,,,,,
Net Income to Company,250.0,(643.0),"(1,444.0)",228.0,"(1,545.0)","(1,129.0)"
Minority Interest,(71.0),(95.0),(70.0),(73.0),276.0,267.0
Net Income,179.0,(738.0),"(1,514.0)",155.0,"(1,269.0)",(862.0)
Preferred Dividend and Other Adjustments,2.0,2.0,2.0,,,
NI to Common Incl Extra Items,177.0,(740.0),"(1,516.0)",155.0,"(1,269.0)",(862.0)
NI to Common Excl. Extra Items,162.0,(740.0),"(1,516.0)",155.0,"(1,269.0)",(862.0)
Revenue Per Share,$14.28,$14.00,$15.49,$17.23,$15.32,$14.80
Basic EPS,$0.30,($1.27),($2.60),$0.27,($2.16),($1.46)
Basic EPS - Continuing Ops,$0.28,($1.27),($2.60),$0.27,($2.16),($1.46)
Basic Weighted Average Shares Outst.,580.6,581.4,582.7,584.7,587.9,589.3
Diluted EPS,$0.30,($1.27),($2.60),$0.26,($2.16),($1.46)
Diluted EPS - Continuing Ops,$0.28,($1.27),($2.60),$0.26,($2.16),($1.46)
Diluted Weighted Average Shares Outst.,582.5,581.4,582.7,587.9,587.9,589.3
Normalized Basic EPS,$0.35,$0.09,($0.59),$0.47,$0.80,$0.98
Normalized Diluted EPS,$0.35,$0.09,($0.59),$0.47,$0.80,$0.98
Dividend Per Share,$0.20,$0.20,$0.20,$0.20,$0.20,$0.20
Payout Ratio,65.92%,NM,NM,75.48%,NM,NM
EBITDA,667.0,732.0,864.0,1040.0,785.0,978.0
EBITA,446.0,542.0,667.0,725.0,480.0,666.0
EBIT,356.0,451.0,567.0,599.0,372.0,558.0
EBITDAR,831.0,888.0,1047.0,1235.0,1038.0,
Effective Tax Rate,NM,NM,NM,35.6%,NM,NM
Normalized Net Income,203.4,52.5,(341.9),276.4,472.9,575.1
Foreign Sales,4492.0,4439.0,5124.0,6174.0,5308.0,
