Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.61%,4.00%,2.25%,(4.89%),0.00%
Total Revenues,3.61%,4.00%,2.25%,(4.89%),0.00%
Fuel & Purchased Power,(4.15%),7.57%,(0.07%),(11.35%),0.00%
Operations And Maintenance,(2.47%),6.73%,(3.60%),(4.78%),0.00%
Depreciation & Amortization,7.07%,15.51%,11.63%,3.45%,0.00%
Other Operating Expenses,176.16%,5.29%,(3.81%),(8.66%),0.00%
Total Operating Expenses,4.62%,8.71%,0.98%,(5.48%),0.00%
Operating Income,0.78%,(9.70%),6.70%,(2.92%),0.00%
"Interest Expense, Total",(3.65%),(5.44%),(5.25%),-1.91%,0.00%
Interest and Investment Income,(38.10%),53.85%,55.00%,3.23%,0.00%
Net Interest Expenses,(4.12%),(5.12%),(4.77%),-1.98%,0.00%
Allow. For Equity Funds Used For Const.,,,(37.10%),10.79%,
Other Non-Operating Inc. (Exp.),11.99%,(68.08%),64.56%,2.69%,0.00%
"EBT, Excl. Unusual Items",3.50%,(18.10%),9.57%,(55.22%),0.00%
Impairment of Goodwill,,(220.69%),,,
Gain (Loss) on Sale of Assets,,,-95.45%,,0.00%
"EBT, Incl. Unusual Items",14.25%,(27.97%),33.32%,(79.52%),0.00%
Income Tax Expense,3.46%,(62.54%),15.85%,,0.00%
Earnings From Continuing Operations,19.08%,(14.50%),36.30%,(69.96%),0.00%
Earnings Of Discontinued Operations,-98.53%,,,,0.00%
Net Income to Company,41.20%,(13.71%),35.06%,(69.70%),0.00%
Minority Interest,-72.22%,,704.55%,66.67%,0.00%
Net Income,42.15%,(12.85%),40.59%,(63.26%),0.00%
Pref. Dividends and Other Adj.,,(16.67%),"1,120.00%",77.05%,0.00%
NI to Common Incl Extra Items,41.41%,(12.84%),38.56%,(65.58%),0.00%
NI to Common Excl. Extra Items,19.17%,(13.63%),39.82%,(65.84%),0.00%
Revenue Per Share,2.28%,2.81%,(0.69%),(5.91%),0.00%
Basic EPS,39.79%,(13.80%),34.51%,(65.97%),0.00%
Basic EPS - Continuing Ops,17.79%,(14.61%),35.85%,(66.23%),0.00%
Basic Weighted Average Shares Outst.,1.30%,1.14%,2.97%,1.10%,0.00%
Diluted EPS,39.79%,(13.83%),34.51%,(66.02%),0.00%
Diluted EPS - Continuing Ops,17.79%,(14.65%),35.85%,(66.27%),0.00%
Diluted Weighted Average Shares Outst.,1.30%,1.14%,2.97%,1.23%,0.00%
Normalized Basic EPS,2.54%,(18.10%),12.74%,(47.99%),0.00%
Normalized Diluted EPS,2.54%,(18.10%),12.74%,(48.06%),0.00%
Dividend Per Share,3.87%,4.30%,3.02%,1.87%,0.00%
Payout Ratio,(26.09%),15.73%,(23.20%),186.90%,54.68%
EBITDA,2.17%,0.74%,8.34%,1.31%,0.00%
EBITA,0.78%,(9.70%),16.17%,(2.14%),0.00%
EBIT,0.78%,(9.70%),6.70%,(2.92%),0.00%
EBITDAR,,,,0.93%,
Effective Tax Rate,(9.45%),(48.01%),(13.12%),,0.00%
Normalized Net Income,4.00%,(17.19%),16.04%,(47.36%),0.00%
Interest Capitalized,28.00%,25.78%,(1.24%),(29.56%),
Interest on Long-Term Debt,,,,0.00%,
