Income Statement,Jul 2016,Jul 2017,Jul 2018,Jul 2019,Jul 2020,TTM
Revenues,1268.4,1448.0,1805.7,2042.0,2205.6,2286.0
Total Revenues,1268.4,1448.0,1805.7,2042.0,2205.6,2286.0
Cost Of Revenues,699.2,786.3,1043.3,1143.6,1197.8,1191.0
Gross Profit,569.3,661.7,762.4,898.3,1007.8,1095.0
Selling General & Admin Expenses,162.8,181.1,176.9,181.9,191.7,187.4
Total Operating Expenses,162.8,181.1,176.9,181.9,191.7,187.4
Operating Income,406.5,480.7,585.5,716.5,816.1,907.6
Interest Expense,(23.6),(23.8),(20.4),(19.8),(20.2),(21.6)
Interest And Investment Income,1.4,1.4,1.3,2.2,1.4,1.4
Net Interest Expenses,(22.2),(22.4),(19.1),(17.6),(18.9),(20.3)
Currency Exchange Gains (Loss),,,0.3,3.4,3.1,0.8
Other Non Operating Income (Expenses),12.0,2.0,,,,
"EBT, Excl. Unusual Items",395.4,459.6,566.0,701.9,798.9,891.2
"EBT, Incl. Unusual Items",395.9,440.1,562.5,705.0,800.8,893.0
Income Tax Expense,125.5,45.8,144.5,113.3,100.9,186.2
Earnings From Continuing Operations,270.4,394.3,418.0,591.7,699.9,706.7
Net Income to Company,270.4,394.3,418.0,591.7,699.9,706.7
Minority Interest,,(0.0),(0.1),,,
Net Income,270.4,394.2,417.9,591.7,699.9,706.7
NI to Common Incl Extra Items,270.4,394.2,417.9,591.7,699.9,706.7
NI to Common Excl. Extra Items,270.4,394.2,417.9,591.7,699.9,706.7
Revenue Per Share,$5.54,$6.33,$7.79,$8.86,$9.46,$9.72
Basic EPS,$1.18,$1.72,$1.80,$2.57,$3.00,$3.00
Basic EPS - Continuing Ops,$1.18,$1.72,$1.80,$2.57,$3.00,$3.00
Basic Weighted Average Shares Outst.,228.8,228.7,231.8,230.5,233.2,235.2
Diluted EPS,$1.11,$1.66,$1.73,$2.46,$2.93,$2.95
Diluted EPS - Continuing Ops,$1.11,$1.66,$1.73,$2.46,$2.93,$2.95
Diluted Weighted Average Shares Outst.,244.3,237.0,241.9,240.5,238.7,239.4
Normalized Basic EPS,$1.08,$1.26,$1.53,$1.90,$2.14,$2.37
Normalized Diluted EPS,$1.01,$1.21,$1.46,$1.82,$2.09,$2.33
EBITDA,446.5,527.1,658.4,793.8,907.1,1011.6
EBITA,412.3,487.5,599.5,727.0,825.0,915.2
EBIT,406.5,480.7,585.5,716.5,816.1,907.6
EBITDAR,471.2,556.8,704.0,824.4,948.9,
Effective Tax Rate,31.7%,10.4%,25.7%,16.1%,12.6%,20.9%
Normalized Net Income,247.1,287.2,353.6,438.7,499.3,557.0
Interest on Long-Term Debt,23.6,23.8,20.4,19.8,20.2,
R&D Expense From Footnotes,29.8,19.4,15.5,,,
Foreign Earnings,58.8,64.9,69.5,75.7,67.3,
Foreign Sales,252.4,254.8,314.7,385.4,344.9,
