Income Statement,Oct 2016,Sep 2017,Sep 2018,Sep 2019,Oct 2020,TTM
Revenues,55632.0,55137.0,59434.0,69607.0,65388.0,60760.0
Total Revenues,55632.0,55137.0,59434.0,69607.0,65388.0,60760.0
Cost Of Revenues,29864.0,30306.0,32726.0,42061.0,43880.0,42621.0
Gross Profit,25768.0,24831.0,26708.0,27546.0,21508.0,18139.0
Selling General & Admin Expenses,8754.0,8176.0,8860.0,11247.0,12382.0,11626.0
Depreciation & Amortization,2527.0,2782.0,3011.0,4167.0,5345.0,5344.0
Total Operating Expenses,11281.0,10958.0,11871.0,15414.0,17727.0,16970.0
Operating Income,14487.0,13873.0,14837.0,12132.0,3781.0,1169.0
Interest Expense,(354.0),(507.0),(682.0),"(1,246.0)","(1,647.0)","(1,689.0)"
Interest And Investment Income,94.0,95.0,108.0,266.0,169.0,206.0
Net Interest Expenses,(260.0),(412.0),(574.0),(980.0),"(1,478.0)","(1,483.0)"
"EBT, Excl. Unusual Items",15153.0,13781.0,14161.0,11049.0,2954.0,337.0
"EBT, Incl. Unusual Items",14868.0,13788.0,14729.0,13923.0,"(1,743.0)","(4,323.0)"
Income Tax Expense,5078.0,4422.0,1663.0,3026.0,699.0,257.0
Earnings From Continuing Operations,9790.0,9366.0,13066.0,10897.0,"(2,442.0)","(4,580.0)"
Earnings Of Discontinued Operations,,,,629.0,(32.0),(23.0)
Net Income to Company,9790.0,9366.0,13066.0,11526.0,"(2,474.0)","(4,603.0)"
Minority Interest,(399.0),(386.0),(468.0),(472.0),(390.0),(351.0)
Net Income,9391.0,8980.0,12598.0,11054.0,"(2,864.0)","(4,954.0)"
NI to Common Incl Extra Items,9391.0,8980.0,12598.0,11054.0,"(2,864.0)","(4,954.0)"
NI to Common Excl. Extra Items,9391.0,8980.0,12598.0,10425.0,"(2,832.0)","(4,931.0)"
Revenue Per Share,$34.15,$35.16,$39.65,$42.03,$36.17,$33.57
Basic EPS,$5.76,$5.73,$8.40,$6.68,($1.58),($2.74)
Basic EPS - Continuing Ops,$5.76,$5.73,$8.40,$6.30,($1.57),($2.72)
Basic Weighted Average Shares Outst.,1629.0,1568.0,1499.0,1656.0,1808.0,1809.8
Diluted EPS,$5.73,$5.69,$8.36,$6.64,($1.59),($2.74)
Diluted EPS - Continuing Ops,$5.73,$5.69,$8.36,$6.26,($1.57),($2.72)
Diluted Weighted Average Shares Outst.,1639.0,1578.0,1507.0,1666.0,1808.0,1809.8
Normalized Basic EPS,$5.57,$5.25,$5.59,$3.89,$0.81,($0.08)
Normalized Diluted EPS,$5.53,$5.21,$5.56,$3.86,$0.81,($0.08)
Dividend Per Share,$1.49,$1.62,$1.72,$1.76,,
Payout Ratio,24.63%,27.23%,19.96%,26.19%,NM,NM
EBITDA,17014.0,16655.0,17848.0,16299.0,9126.0,6513.0
EBITA,14694.0,14069.0,15090.0,13455.0,5986.0,3336.0
EBIT,14487.0,13873.0,14837.0,12132.0,3781.0,1169.0
EBITDAR,17861.0,17555.0,18748.0,17399.0,10516.0,
Effective Tax Rate,34.2%,32.1%,11.3%,21.7%,NM,NM
Normalized Net Income,9071.6,8227.1,8382.6,6433.6,1456.3,(140.4)
Interest Capitalized,139.0,87.0,125.0,222.0,157.0,
Interest on Long-Term Debt,,,807.0,,16.0,
Foreign Earnings,3582.0,3813.0,15689.0,14847.0,8108.0,
Foreign Sales,13016.0,13256.0,59434.0,69607.0,65388.0,
