Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,4.26%,10.88%,(3.05%),(0.42%),0.00%
Total Interest And Dividend Income,1.58%,(6.97%),16.74%,(10.77%),0.00%
Gain (Loss) on Sale of Investments,,-11.20%,,,0.00%
Other Revenues,9.27%,117.22%,(5.04%),27.37%,0.00%
Total Revenues,2.60%,9.04%,2.47%,(2.55%),0.00%
Policy Benefits,5.60%,6.13%,2.54%,(2.79%),0.00%
Other Operating Expenses,(0.22%),1.72%,0.77%,(3.08%),0.00%
Total Operating Expenses,4.30%,5.19%,2.17%,(2.85%),0.00%
Operating Income,(14.05%),54.82%,4.89%,(0.23%),0.00%
"Interest Expense, Total",(2.45%),-0.62%,-14.88%,-4.40%,0.00%
Currency Exchange Gains,0.00%,0.00%,0.00%,0.00%,0.00%
"EBT, Excl. Unusual Items",(18.06%),71.65%,8.37%,0.35%,0.00%
Restructuring Charges,(5.56%),(65.79%),(71.43%),,
Other Unusual Items,-35.38%,,,,
"EBT, Incl. Unusual Items",(17.40%),78.37%,7.74%,1.94%,0.00%
Income Tax Expense,,,(24.85%),70.32%,0.00%
Earnings From Continuing Operations,39.52%,2.44%,15.23%,(8.31%),0.00%
Earnings Of Discontinued Operations,-63.94%,,,,
Net Income to Company,370.73%,27.56%,15.23%,(8.31%),0.00%
Minority Interest,(150.00%),-50.00%,(100.00%),(10.00%),0.00%
Net Income,371.76%,27.76%,15.15%,(8.34%),0.00%
Pref. Dividends and Other Adj.,0.00%,36.89%,26.24%,21.35%,0.00%
NI to Common Incl Extra Items,423.03%,27.51%,14.83%,(9.26%),0.00%
NI to Common Excl. Extra Items,40.56%,1.82%,14.83%,(9.26%),0.00%
Revenue Per Share,5.54%,15.95%,9.94%,0.65%,0.00%
Basic EPS,437.12%,35.69%,23.27%,(6.26%),0.00%
Basic EPS - Continuing Ops,44.75%,8.38%,23.27%,(6.26%),0.00%
Basic Weighted Average Shares Outst.,(2.80%),(5.96%),(6.79%),(3.18%),0.00%
Diluted EPS,447.84%,35.64%,23.42%,(6.27%),0.00%
Diluted EPS - Continuing Ops,44.73%,8.39%,23.42%,(6.27%),0.00%
Diluted Weighted Average Shares Outst.,(2.71%),(5.99%),(6.85%),(3.30%),0.00%
Normalized Basic EPS,(16.00%),83.01%,16.22%,3.64%,0.00%
Normalized Diluted EPS,(16.03%),83.26%,16.27%,3.70%,0.00%
Dividend Per Share,1.27%,3.75%,4.82%,4.60%,0.00%
Payout Ratio,(79.02%),(21.77%),(13.07%),11.37%,0.00%
EBITDA,(11.36%),45.68%,4.87%,0.32%,0.00%
EBITA,(14.05%),54.82%,4.89%,(0.23%),0.00%
EBIT,(14.05%),54.82%,4.89%,(0.23%),0.00%
EBITDAR,(11.25%),42.04%,4.36%,0.12%,
Effective Tax Rate,,,(30.24%),67.06%,0.00%
Normalized Net Income,(18.30%),72.18%,8.25%,0.33%,0.00%
Interest on Long-Term Debt,2.13%,2.43%,1.36%,(6.02%),
Foreign Sales,(2.18%),1.83%,0.68%,(3.14%),
