Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,14.75%,9.86%,6.35%,(12.83%),0.00%
Total Revenues,14.75%,9.86%,6.35%,(12.83%),0.00%
Cost Of Revenues,12.88%,11.08%,8.87%,(8.44%),0.00%
Gross Profit,18.03%,7.81%,2.00%,(20.96%),0.00%
Selling General & Admin Expenses,18.45%,(2.45%),7.04%,(11.87%),0.00%
R&D Expenses,(0.56%),(10.91%),(16.80%),1.59%,0.00%
Total Operating Expenses,14.98%,(3.78%),3.56%,(10.29%),0.00%
Operating Income,20.50%,16.76%,1.02%,(27.90%),0.00%
Interest Expense,-1.12%,-16.22%,(0.88%),(38.30%),0.00%
Net Interest Expenses,-1.12%,-16.22%,(0.88%),(38.30%),0.00%
Currency Exchange Gains (Loss),,-5.41%,(160.95%),(5.11%),0.00%
Other Non Operating Income (Expenses),581.88%,(83.24%),617.61%,(57.33%),0.00%
"EBT, Excl. Unusual Items",24.77%,16.87%,5.61%,(29.66%),0.00%
"EBT, Incl. Unusual Items",(7.59%),66.38%,(21.66%),(27.65%),0.00%
Income Tax Expense,348.58%,(66.46%),(39.13%),(38.27%),0.00%
Earnings From Continuing Operations,(79.22%),643.09%,(18.24%),(26.10%),0.00%
Net Income to Company,(85.39%),643.09%,(18.24%),(26.10%),0.00%
Minority Interest,(20.28%),(2.15%),(56.06%),-0.39%,0.00%
Net Income,(91.48%),"1,164.47%",(23.12%),(29.53%),0.00%
NI to Common Incl Extra Items,(91.48%),"1,164.47%",(23.12%),(29.53%),0.00%
NI to Common Excl. Extra Items,(87.58%),"1,164.47%",(23.12%),(29.53%),0.00%
Revenue Per Share,16.28%,12.37%,8.83%,(13.20%),0.00%
Basic EPS,(91.37%),"1,205.42%",(21.36%),(29.79%),0.00%
Basic EPS - Continuing Ops,(87.42%),"1,205.42%",(21.36%),(29.79%),0.00%
Basic Weighted Average Shares Outst.,(1.30%),(2.24%),(2.29%),0.43%,0.00%
Diluted EPS,(91.37%),"1,193.88%",(20.82%),(29.88%),0.00%
Diluted EPS - Continuing Ops,(87.44%),"1,193.88%",(20.82%),(29.88%),0.00%
Diluted Weighted Average Shares Outst.,(0.76%),(2.60%),(2.87%),0.46%,0.00%
Normalized Basic EPS,26.89%,21.18%,2.68%,(34.60%),0.00%
Normalized Diluted EPS,26.18%,21.84%,3.33%,(34.70%),0.00%
Dividend Per Share,4.92%,4.69%,9.70%,4.76%,0.00%
Payout Ratio,"1,118.53%",(91.86%),36.90%,50.89%,0.00%
EBITDA,15.94%,13.29%,2.14%,(19.90%),0.00%
EBITA,20.89%,16.56%,0.87%,(27.22%),0.00%
EBIT,20.50%,16.76%,1.02%,(27.90%),0.00%
EBITDAR,15.25%,13.55%,3.12%,(18.38%),
Effective Tax Rate,385.53%,(79.84%),(22.28%),(14.67%),0.00%
Normalized Net Income,25.32%,18.63%,0.43%,(34.32%),0.00%
Interest Capitalized,8.82%,160.81%,56.48%,0.66%,
Interest on Long-Term Debt,(2.82%),2.51%,15.88%,24.58%,
R&D Expense From Footnotes,4.79%,(16.93%),(16.80%),1.59%,0.00%
Foreign Sales,18.69%,11.48%,9.80%,(12.68%),
