Income Statement,Oct 2016,Oct 2017,Oct 2018,Nov 2019,Nov 2020,TTM
Revenues,23387.3,25885.0,33351.0,34886.0,31272.0,32793.0
Other Revenues,3161.7,3186.0,3967.0,4347.0,4242.0,4202.0
Total Revenues,26549.0,29071.0,37318.0,39233.0,35514.0,36995.0
Cost Of Revenues,20395.1,22293.4,28333.0,30046.0,26559.0,27071.0
Gross Profit,6153.9,6777.6,8985.0,9187.0,8955.0,9924.0
Selling General & Admin Expenses,2275.3,2493.9,2897.0,3008.0,2747.0,2778.0
R&D Expenses,1393.7,1356.7,1658.0,1782.0,1589.0,1546.0
Other Operating Expense/(Income),130.7,1.0,271.0,87.0,71.0,23.0
Total Operating Expenses,3799.7,3851.6,4826.0,4877.0,4407.0,4347.0
Operating Income,2354.2,2926.0,4159.0,4310.0,4548.0,5577.0
Interest Expense,(227.2),(230.0),(268.0),(232.0),(305.0),(327.0)
Interest And Investment Income,16.0,17.0,14.0,25.0,26.0,26.0
Net Interest Expenses,(211.2),(213.0),(254.0),(207.0),(279.0),(301.0)
Currency Exchange Gains (Loss),75.0,(107.0),196.0,97.0,122.0,(3.0)
"EBT, Excl. Unusual Items",2215.6,2582.0,4128.0,4221.0,4343.0,5230.0
"EBT, Incl. Unusual Items",2221.6,3130.0,4098.0,4109.0,3835.0,4799.0
Income Tax Expense,700.1,971.0,1727.0,852.0,1082.0,1340.0
Earnings From Continuing Operations,1521.5,2159.0,2371.0,3257.0,2753.0,3459.0
Net Income to Company,1521.5,2159.0,2371.0,3257.0,2753.0,3459.0
Minority Interest,2.4,,(3.0),(4.0),(2.0),(1.0)
Net Income,1523.9,2159.0,2368.0,3253.0,2751.0,3458.0
Preferred Dividend and Other Adjustments,0.7,,,,,
NI to Common Incl Extra Items,1523.2,2159.0,2368.0,3253.0,2751.0,3458.0
NI to Common Excl. Extra Items,1523.2,2159.0,2368.0,3253.0,2751.0,3458.0
Revenue Per Share,$84.23,$90.99,$115.68,$123.96,$113.28,$118.01
Basic EPS,$4.83,$6.76,$7.34,$10.28,$8.78,$11.03
Basic EPS - Continuing Ops,$4.83,$6.76,$7.34,$10.28,$8.78,$11.03
Basic Weighted Average Shares Outst.,315.2,319.5,322.6,316.5,313.5,313.5
Diluted EPS,$4.81,$6.68,$7.24,$10.15,$8.69,$10.93
Diluted EPS - Continuing Ops,$4.81,$6.68,$7.24,$10.15,$8.69,$10.93
Diluted Weighted Average Shares Outst.,316.6,323.3,327.3,320.6,316.6,316.3
Normalized Basic EPS,$4.40,$5.05,$7.99,$8.32,$8.65,$10.42
Normalized Diluted EPS,$4.38,$4.99,$7.87,$8.22,$8.57,$10.33
Dividend Per Share,$2.40,$2.40,$2.58,$3.04,$3.04,$3.04
Payout Ratio,49.96%,35.39%,34.04%,28.99%,34.75%,27.65%
EBITDA,3812.0,4524.0,5941.0,6179.0,5450.0,6479.0
EBITA,2369.2,2944.0,4259.0,4419.0,4650.0,5688.0
EBIT,2354.2,2926.0,4159.0,4310.0,4548.0,5577.0
EBITDAR,3997.0,4691.0,,,5640.0,
Effective Tax Rate,31.5%,31.0%,42.1%,20.7%,28.2%,27.9%
Normalized Net Income,1387.2,1613.8,2577.0,2634.1,2712.4,3267.8
Interest Capitalized,3.0,3.0,4.0,7.0,6.0,
Interest on Long-Term Debt,,,,,8.0,
R&D Expense From Footnotes,1393.7,1373.0,1658.0,1783.0,1644.0,1585.0
Foreign Earnings,738.0,1305.0,4476.0,4415.0,4305.0,
Foreign Sales,9339.0,11263.0,36603.0,39258.0,35540.0,
