Income Statement,May 2016,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,6933.5,7170.2,8080.1,8510.4,7806.9,6187.0
Total Revenues,6933.5,7170.2,8080.1,8510.4,7806.9,6187.0
Cost Of Revenues,5392.4,5600.8,6334.7,6661.4,6398.5,5222.4
Gross Profit,1541.1,1569.4,1745.4,1849.0,1408.4,964.6
Selling General & Admin Expenses,622.9,627.4,662.1,660.8,759.9,589.9
Depreciation & Amortization,290.2,272.9,313.1,336.7,355.9,356.2
Total Operating Expenses,913.1,900.3,975.2,997.5,1115.8,946.1
Operating Income,628.0,669.1,770.2,851.5,292.6,18.5
Interest Expense,(66.8),(41.5),(59.7),(54.0),(62.2),(71.2)
Interest And Investment Income,1.1,1.3,0.8,3.8,4.9,4.9
Net Interest Expenses,(65.7),(40.2),(58.9),(50.2),(57.3),(66.3)
Other Non Operating Income (Expenses),,,,,(6.1),147.2
"EBT, Excl. Unusual Items",562.3,628.9,711.3,801.3,229.2,99.4
"EBT, Incl. Unusual Items",449.7,637.3,605.7,782.3,(161.0),(339.8)
Income Tax Expense,90.0,154.8,1.9,63.7,(111.8),(123.5)
Earnings From Continuing Operations,359.7,482.5,603.8,718.6,(49.2),(216.3)
Earnings Of Discontinued Operations,15.3,(3.4),(7.8),(5.2),(3.2),(2.9)
Net Income to Company,375.0,479.1,596.0,713.4,(52.4),(219.2)
Net Income,375.0,479.1,596.0,713.4,(52.4),(219.2)
NI to Common Incl Extra Items,375.0,479.1,596.0,713.4,(52.4),(219.2)
NI to Common Excl. Extra Items,359.7,482.5,603.8,718.6,(49.2),(216.3)
Revenue Per Share,$54.42,$57.68,$65.16,$68.91,$63.63,$48.02
Basic EPS,$2.94,$3.85,$4.81,$5.78,($0.43),($1.70)
Basic EPS - Continuing Ops,$2.82,$3.88,$4.87,$5.82,($0.40),($1.68)
Basic Weighted Average Shares Outst.,127.4,124.3,124.0,123.5,122.7,128.9
Diluted EPS,$2.90,$3.80,$4.73,$5.69,($0.43),($1.70)
Diluted EPS - Continuing Ops,$2.78,$3.83,$4.79,$5.73,($0.40),($1.68)
Diluted Weighted Average Shares Outst.,129.3,126.0,126.0,125.4,122.7,128.9
Normalized Basic EPS,$2.76,$3.16,$3.59,$4.06,$1.17,$0.48
Normalized Diluted EPS,$2.72,$3.12,$3.53,$3.99,$1.17,$0.48
Dividend Per Share,$2.10,$2.24,$2.52,$3.00,$2.64,$0.67
Payout Ratio,71.52%,58.26%,52.60%,51.98%,NM,NM
EBITDA,903.7,923.7,1061.2,1162.9,622.8,349.0
EBITA,629.3,670.4,772.4,854.1,296.0,21.9
EBIT,628.0,669.1,770.2,851.5,292.6,18.5
EBITDAR,1169.3,1264.6,1441.0,1556.4,1031.4,
Effective Tax Rate,20.0%,24.3%,0.3%,8.1%,NM,NM
Normalized Net Income,351.4,393.1,444.6,500.8,143.3,62.1
Interest Capitalized,0.7,1.7,1.9,2.2,3.0,
Interest on Long-Term Debt,8.9,8.8,11.4,11.9,15.9,
