Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,2454.6,2759.7,3115.5,2901.8,2821.1,2860.1
Total Revenues,2454.6,2759.7,3115.5,2901.8,2821.1,2860.1
Fuel & Purchased Power,746.2,925.5,1167.8,858.8,658.9,650.2
Operations And Maintenance,538.6,538.7,594.8,630.3,629.6,616.0
Depreciation & Amortization,290.8,319.4,361.1,391.5,429.8,440.1
Other Operating Expenses,221.8,248.9,269.7,272.2,281.9,290.9
Total Operating Expenses,1797.4,2032.6,2393.4,2152.8,2000.2,1997.2
Operating Income,657.2,727.2,722.2,749.1,820.9,862.9
"Interest Expense, Total",(114.8),(120.2),(106.6),(103.2),(84.5),(79.3)
Interest and Investment Income,,1.4,1.5,4.2,2.9,2.9
Net Interest Expenses,(114.8),(118.8),(105.2),(99.0),(81.5),(76.3)
Allow. For Equity Funds Used For Const.,,,,11.2,23.5,23.5
Other Non-Operating Inc. (Exp.),(0.2),(4.3),(5.8),(10.9),(16.1),(10.8)
"EBT, Excl. Unusual Items",542.2,604.1,611.1,650.3,746.8,799.3
"EBT, Incl. Unusual Items",542.2,604.1,611.1,650.3,746.8,799.3
Income Tax Expense,196.6,221.4,8.1,138.9,145.4,158.8
Earnings From Continuing Operations,345.5,382.7,603.1,511.4,601.4,640.4
Earnings Of Discontinued Operations,4.6,13.7,,,,
Net Income to Company,350.1,396.4,603.1,511.4,601.4,640.4
Net Income,350.1,396.4,603.1,511.4,601.4,640.4
Pref. Dividends and Other Adj.,0.5,0.5,0.6,0.4,0.4,0.5
NI to Common Incl Extra Items,349.6,395.9,602.5,511.0,601.0,640.0
NI to Common Excl. Extra Items,345.0,382.2,602.5,511.0,601.0,640.0
Revenue Per Share,$23.71,$26.01,$28.06,$24.76,$22.98,$23.02
Basic EPS,$3.38,$3.73,$5.43,$4.36,$4.89,$5.15
Basic EPS - Continuing Ops,$3.33,$3.60,$5.43,$4.36,$4.89,$5.15
Basic Weighted Average Shares Outst.,103.5,106.1,111.0,117.2,122.8,124.3
Diluted EPS,$3.37,$3.73,$5.43,$4.35,$4.89,$5.15
Diluted EPS - Continuing Ops,$3.33,$3.60,$5.43,$4.35,$4.89,$5.15
Diluted Weighted Average Shares Outst.,103.5,106.1,111.0,117.5,122.9,124.3
Normalized Basic EPS,$3.27,$3.56,$3.44,$3.47,$3.80,$4.02
Normalized Diluted EPS,$3.27,$3.56,$3.44,$3.46,$3.80,$4.02
Dividend Per Share,$1.68,$1.80,$1.94,$2.10,$2.30,$2.35
Payout Ratio,50.02%,48.42%,35.64%,48.05%,46.96%,45.58%
EBITDA,948.0,1046.6,1083.2,1140.5,1250.7,1302.9
EBITA,657.2,727.2,722.2,749.1,820.9,862.9
EBIT,657.2,727.2,722.2,749.1,820.9,862.9
EBITDAR,980.6,1079.3,1117.0,1180.9,,
Effective Tax Rate,36.3%,36.6%,1.3%,21.4%,19.5%,19.9%
Normalized Net Income,338.9,377.6,382.0,406.4,466.7,499.5
Interest Capitalized,2.8,,6.8,7.6,8.4,
