Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,3492.0,3490.0,3547.0,3431.0,976.0,976.0
Other Revenue,1959.0,1927.0,2007.0,2052.0,614.0,614.0
Total Revenues,5451.0,5417.0,5554.0,5483.0,1590.0,1590.0
Property Expenses,3931.0,3876.0,3953.0,3892.0,1754.0,1754.0
Selling General & Admin Exp.,96.0,98.0,104.0,107.0,89.0,89.0
Depreciation & Amortization,724.0,708.0,684.0,662.0,665.0,665.0
Total Operating Expenses,4751.0,4682.0,4741.0,4661.0,2508.0,2508.0
Operating Income,700.0,735.0,813.0,822.0,(918.0),(918.0)
Total Interest Expense,(154.0),(167.0),(176.0),(222.0),(194.0),(194.0)
Interest and Investment Income,3.0,6.0,15.0,32.0,8.0,8.0
Net Interest Expenses,(151.0),(161.0),(161.0),(190.0),(186.0),(186.0)
Other Non Operating Income,,9.0,237.0,(3.0),1.0,1.0
"EBT, Excl. Unusual Items",553.0,581.0,889.0,628.0,"(1,103.0)","(1,103.0)"
Gain (Loss) on Sale of Assets,253.0,99.0,665.0,343.0,207.0,207.0
Asset Writedown,,(43.0),(260.0),(14.0),,
Other Unusual Items,(10.0),,,,,
"EBT, Incl. Unusual Items",811.0,651.0,1301.0,962.0,(961.0),(961.0)
Income Tax Expense,40.0,80.0,150.0,30.0,(220.0),(220.0)
Earnings From Continuing Operations,771.0,571.0,1151.0,932.0,(741.0),(741.0)
Net Income to Company,771.0,571.0,1151.0,932.0,(741.0),(741.0)
Minority Interest,(9.0),(7.0),(64.0),(12.0),9.0,9.0
Net Income,762.0,564.0,1087.0,920.0,(732.0),(732.0)
NI to Common Incl Extra Items,762.0,564.0,1087.0,920.0,(732.0),(732.0)
NI to Common Excl. Extra Items,762.0,564.0,1087.0,920.0,(732.0),(732.0)
Revenue Per Share,$7.34,$7.33,$7.51,$7.51,$2.25,$2.25
Basic EPS,$1.03,$0.76,$1.47,$1.26,($1.04),($1.04)
Basic EPS - Continuing Ops,$1.03,$0.76,$1.47,$1.26,($1.04),($1.04)
Basic Weighted Average Shares Outst.,743.0,738.6,739.8,730.3,705.9,705.9
Diluted EPS,$1.02,$0.76,$1.47,$1.26,($1.04),($1.04)
Diluted EPS - Continuing Ops,$1.02,$0.76,$1.47,$1.26,($1.04),($1.04)
Diluted Weighted Average Shares Outst.,743.7,739.1,740.6,731.1,705.9,705.9
Normalized Basic EPS,$0.45,$0.48,$0.66,$0.52,($0.96),($0.96)
Normalized Diluted EPS,$0.45,$0.48,$0.66,$0.52,($0.96),($0.96)
Dividend Per Share,$0.80,$0.80,$0.80,$0.80,$0.20,$0.20
Payout Ratio,78.22%,111.35%,57.87%,67.72%,NM,NM
FFO,,,,1242.0,(219.0),(219.0)
FFO Payout Ratio %,,,,50.16%,NM,NM
AFFO,,,,1298.0,(119.0),(119.0)
Funds Available for Distribution,,,,1298.0,(119.0),(119.0)
FFO Per Share (Diluted),$1.69,,,$1.70,($0.31),($0.31)
FFO Shares (Diluted),,,,731.1,705.9,705.9
Adjusted FFO Per Share (Diluted),$1.69,,,$1.78,($0.17),($0.17)
EBITDA,1424.0,1443.0,1497.0,1484.0,(253.0),(253.0)
EBITA,700.0,735.0,813.0,822.0,(918.0),(918.0)
EBIT,700.0,735.0,813.0,822.0,(918.0),(918.0)
EBITDAR,1505.0,1526.0,1579.0,1566.0,(209.0),(209.0)
Effective Tax Rate,4.9%,12.3%,11.5%,3.1%,NM,NM
Normalized Net Income,336.6,356.1,491.6,380.5,(680.4),(680.4)
Interest Capitalized,3.0,1.0,3.0,4.0,5.0,5.0
Interest on Long-Term Debt,157.0,168.0,179.0,220.0,198.0,198.0
Foreign Sales,171.0,127.0,107.0,88.0,20.0,20.0
