Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,2.06%,6.68%,1.11%,16.15%,19.91%
Total Revenues,2.06%,6.68%,1.11%,16.15%,19.91%
Cost Of Revenues,0.87%,(0.61%),(0.34%),2.73%,(0.52%)
Gross Profit,2.54%,9.55%,1.63%,20.84%,27.19%
Selling General & Admin Expenses,1.45%,7.68%,(2.62%),8.32%,12.29%
R&D Expenses,2.92%,5.83%,(1.16%),3.92%,4.25%
Total Operating Expenses,1.69%,6.71%,(2.98%),7.34%,9.91%
Operating Income,17.89%,53.75%,51.52%,114.32%,145.53%
Interest Expense,(41.89%),-1.71%,(3.30%),(77.55%),(69.04%)
Interest And Investment Income,(6.90%),,,(7.32%),(12.50%)
Net Interest Expenses,(48.23%),(6.31%),-6.54%,(86.48%),(77.02%)
Currency Exchange Gains (Loss),(201.75%),(22.81%),-54.29%,-46.88%,(16.67%)
Other Non Operating Income (Expenses),-41.87%,,,(8.06%),(3.41%)
"EBT, Excl. Unusual Items",(64.74%),642.11%,126.35%,136.90%,189.39%
"EBT, Incl. Unusual Items",-97.91%,,(29.16%),563.58%,921.17%
Income Tax Expense,-39.93%,(205.18%),,(91.60%),133.01%
Earnings From Continuing Operations,,733.26%,,,
Net Income to Company,,733.26%,,,
Net Income,,733.26%,,,
NI to Common Incl Extra Items,,733.26%,,,
NI to Common Excl. Extra Items,,733.26%,,,
Revenue Per Share,1.27%,5.85%,(0.04%),18.17%,20.92%
Basic EPS,,793.32%,,,
Basic EPS - Continuing Ops,,793.32%,,,
Basic Weighted Average Shares Outst.,0.79%,0.75%,1.15%,(1.75%),(0.83%)
Diluted EPS,,780.00%,,,
Diluted EPS - Continuing Ops,,780.00%,,,
Diluted Weighted Average Shares Outst.,2.39%,0.68%,(0.37%),(1.24%),(0.17%)
Normalized Basic EPS,(65.72%),783.88%,119.78%,138.46%,191.82%
Normalized Diluted EPS,(66.25%),770.66%,132.70%,137.23%,189.88%
EBITDA,5.56%,20.69%,24.47%,83.75%,106.55%
EBITA,8.64%,31.91%,29.79%,98.48%,122.84%
EBIT,17.89%,53.75%,51.52%,114.32%,145.53%
EBITDAR,3.11%,,,,
Effective Tax Rate,,,,(98.73%),(77.18%)
Normalized Net Income,(64.74%),642.11%,126.35%,136.90%,189.39%
Interest on Long-Term Debt,,,3.12%,77.67%,
R&D Expense From Footnotes,2.92%,5.83%,(1.16%),3.92%,4.25%
Foreign Sales,1.64%,9.58%,(1.76%),12.87%,
