Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,9.01%,41.31%,19.82%,(2.56%),0.00%
Total Interest And Dividend Income,2.38%,1.90%,2.71%,5.49%,0.00%
Gain (Loss) on Sale of Investments,-49.85%,-62.35%,-7.81%,(32.20%),0.00%
Other Revenues,6.42%,10.05%,(3.25%),0.82%,0.00%
Total Revenues,6.95%,15.20%,5.08%,1.05%,0.00%
Policy Benefits,6.81%,21.33%,13.37%,8.82%,0.00%
Policy Acquisition / Underwriting Costs,(11.09%),13.33%,8.36%,0.90%,0.00%
Amort. of Goodwill and Intangibles,0.00%,125.00%,188.89%,42.31%,0.00%
Selling General & Admin Expenses,4.70%,9.71%,11.29%,(4.68%),0.00%
Other Operating Expenses,1.22%,19.58%,8.56%,(3.71%),0.00%
Total Operating Expenses,3.41%,18.07%,12.33%,5.23%,0.00%
Operating Income,29.72%,0.51%,(38.50%),(44.83%),0.00%
"Interest Expense, Total",-23.56%,(17.39%),(9.76%),-12.88%,0.00%
"EBT, Excl. Unusual Items",41.75%,(1.54%),(45.50%),(54.17%),0.00%
Restructuring Charges,(437.50%),(76.74%),-13.16%,(3.03%),0.00%
Total Merger & Rel. Restruct. Charges,,,(52.94%),-84.62%,0.00%
"EBT, Incl. Unusual Items",(22.50%),66.81%,(51.25%),(53.97%),0.00%
Income Tax Expense,,,(86.48%),,0.00%
Earnings From Continuing Operations,74.41%,(21.07%),(46.01%),(43.68%),0.00%
Net Income to Company,74.41%,(21.07%),(46.01%),(43.68%),0.00%
Net Income,74.41%,(21.07%),(46.01%),(43.68%),0.00%
NI to Common Incl Extra Items,74.41%,(21.07%),(46.01%),(43.68%),0.00%
NI to Common Excl. Extra Items,74.41%,(21.07%),(46.01%),(43.68%),0.00%
Revenue Per Share,12.76%,18.51%,13.11%,4.70%,0.00%
Basic EPS,83.88%,(18.81%),(41.89%),(41.69%),0.00%
Basic EPS - Continuing Ops,83.88%,(18.81%),(41.89%),(41.69%),0.00%
Basic Weighted Average Shares Outst.,(5.15%),(2.79%),(7.10%),(3.49%),0.00%
Diluted EPS,83.32%,(19.82%),(40.73%),(41.55%),0.00%
Diluted EPS - Continuing Ops,83.32%,(19.82%),(40.73%),(41.55%),0.00%
Diluted Weighted Average Shares Outst.,(4.48%),(2.95%),(7.95%),(3.78%),0.00%
Normalized Basic EPS,49.54%,1.23%,(41.32%),(52.46%),0.00%
Normalized Diluted EPS,48.35%,1.47%,(40.75%),(52.40%),0.00%
Dividend Per Share,15.38%,13.33%,11.03%,7.28%,0.00%
Payout Ratio,(36.89%),39.77%,94.20%,82.24%,0.00%
EBITDA,29.65%,0.51%,(35.58%),(43.65%),0.00%
EBITA,29.65%,0.51%,(38.43%),(44.71%),0.00%
EBIT,29.72%,0.51%,(38.50%),(44.83%),0.00%
EBITDAR,28.89%,0.80%,(34.67%),(42.40%),
Effective Tax Rate,,,(72.25%),,0.00%
Normalized Net Income,41.75%,(1.54%),(45.50%),(54.17%),0.00%
Interest on Long-Term Debt,,,,(53.85%),
