Income Statement,Oct 2016,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,10825.0,14698.0,16705.0,14608.0,17202.0,18202.0
Total Revenues,10825.0,14698.0,16705.0,14608.0,17202.0,18202.0
Cost Of Revenues,6316.0,8086.0,9188.0,8222.0,9487.0,9984.0
Gross Profit,4509.0,6612.0,7517.0,6386.0,7715.0,8218.0
Selling General & Admin Expenses,819.0,895.0,999.0,960.0,1013.0,1057.0
R&D Expenses,1540.0,1781.0,2022.0,2054.0,2234.0,2288.0
Total Operating Expenses,2359.0,2676.0,3021.0,3014.0,3247.0,3345.0
Operating Income,2150.0,3936.0,4496.0,3372.0,4468.0,4873.0
Interest Expense,(155.0),(198.0),(234.0),(237.0),(240.0),(242.0)
Interest And Investment Income,21.0,80.0,113.0,112.0,59.0,47.0
Net Interest Expenses,(134.0),(118.0),(121.0),(125.0),(181.0),(195.0)
Currency Exchange Gains (Loss),,,,,(10.0),(14.0)
Other Non Operating Income (Expenses),,,,,(1.0),(1.0)
"EBT, Excl. Unusual Items",2016.0,3818.0,4375.0,3247.0,4276.0,4663.0
"EBT, Incl. Unusual Items",2013.0,3816.0,4396.0,3269.0,4166.0,4401.0
Income Tax Expense,292.0,297.0,1358.0,563.0,547.0,544.0
Earnings From Continuing Operations,1721.0,3519.0,3038.0,2706.0,3619.0,3857.0
Net Income to Company,1721.0,3519.0,3038.0,2706.0,3619.0,3857.0
Net Income,1721.0,3519.0,3038.0,2706.0,3619.0,3857.0
NI to Common Incl Extra Items,1721.0,3519.0,3038.0,2706.0,3619.0,3857.0
NI to Common Excl. Extra Items,1721.0,3519.0,3038.0,2706.0,3619.0,3857.0
Revenue Per Share,$9.78,$13.70,$16.49,$15.59,$18.78,$19.88
Basic EPS,$1.55,$3.28,$3.00,$2.89,$3.95,$4.21
Basic EPS - Continuing Ops,$1.55,$3.28,$3.00,$2.89,$3.95,$4.21
Basic Weighted Average Shares Outst.,1107.0,1073.0,1013.0,937.0,916.0,915.8
Diluted EPS,$1.54,$3.25,$2.96,$2.86,$3.92,$4.18
Diluted EPS - Continuing Ops,$1.54,$3.25,$2.96,$2.86,$3.92,$4.18
Diluted Weighted Average Shares Outst.,1116.0,1084.0,1026.0,945.0,923.0,922.5
Normalized Basic EPS,$1.14,$2.22,$2.70,$2.17,$2.92,$3.18
Normalized Diluted EPS,$1.13,$2.20,$2.67,$2.15,$2.90,$3.16
Dividend Per Share,$0.40,$0.40,$0.70,$0.83,$0.87,$0.88
Payout Ratio,25.80%,12.22%,19.91%,28.49%,21.75%,20.64%
EBITDA,2539.0,4343.0,4953.0,3735.0,4844.0,5249.0
EBITA,2339.0,4129.0,4695.0,3429.0,4524.0,4928.0
EBIT,2150.0,3936.0,4496.0,3372.0,4468.0,4873.0
EBITDAR,2577.0,4377.0,5003.0,3786.0,4913.0,
Effective Tax Rate,14.5%,7.8%,30.9%,17.2%,13.1%,12.4%
Normalized Net Income,1260.0,2386.3,2734.4,2029.4,2672.5,2914.4
Interest on Long-Term Debt,155.0,198.0,234.0,237.0,240.0,
R&D Expense From Footnotes,1540.0,1781.0,2022.0,2054.0,2234.0,2288.0
Foreign Sales,9682.0,13186.0,15292.0,12737.0,15583.0,
