Income Statement,Dec 2017,Dec 2018,Jan 2020,Jan 2021,TTM
Revenues,3.06%,(1.58%),(2.46%),(14.51%),0.00%
Other Revenues,(11.54%),(4.35%),0.00%,(16.67%),0.00%
Total Revenues,2.97%,(1.59%),(2.45%),(14.52%),0.00%
Cost Of Revenues,4.25%,(1.95%),(1.67%),(11.99%),0.00%
Gross Profit,(3.02%),0.21%,(6.31%),(27.65%),0.00%
Selling General & Admin Expenses,2.11%,(8.12%),(13.34%),(7.41%),0.00%
Total Operating Expenses,2.11%,(8.12%),(13.34%),(7.41%),0.00%
Operating Income,(8.80%),10.70%,1.05%,(45.78%),0.00%
Interest Expense,(5.07%),-6.90%,(8.15%),-0.68%,0.00%
Net Interest Expenses,(5.07%),-6.90%,(8.15%),-0.68%,0.00%
"EBT, Excl. Unusual Items",(10.71%),13.57%,0.10%,(52.27%),0.00%
"EBT, Incl. Unusual Items",(13.01%),81.63%,(31.94%),(70.06%),0.00%
Income Tax Expense,"1,281.82%",(64.47%),(21.60%),,0.00%
Earnings From Continuing Operations,(63.70%),299.35%,(33.31%),(62.09%),0.00%
Earnings Of Discontinued Operations,(99.16%),,,,
Net Income to Company,(68.09%),298.05%,(33.31%),(62.09%),0.00%
Net Income,(68.09%),298.05%,(33.31%),(62.09%),0.00%
NI to Common Incl Extra Items,(68.09%),298.05%,(33.31%),(62.09%),0.00%
NI to Common Excl. Extra Items,(63.70%),299.35%,(33.31%),(62.09%),0.00%
Revenue Per Share,4.67%,4.77%,5.52%,(13.47%),0.00%
Basic EPS,(67.54%),324.71%,(27.80%),(61.59%),0.00%
Basic EPS - Continuing Ops,(63.06%),324.71%,(27.80%),(61.59%),0.00%
Basic Weighted Average Shares Outst.,(1.62%),(6.08%),(7.55%),(1.20%),0.00%
Diluted EPS,(67.60%),323.68%,(27.54%),(61.43%),0.00%
Diluted EPS - Continuing Ops,(63.11%),323.68%,(27.54%),(61.43%),0.00%
Diluted Weighted Average Shares Outst.,(1.33%),(5.77%),(8.11%),(1.60%),0.00%
Normalized Basic EPS,(9.40%),21.08%,8.29%,(51.69%),0.00%
Normalized Diluted EPS,(9.41%),20.78%,8.93%,(51.43%),0.00%
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,198.70%,(76.07%),34.66%,163.58%,0.00%
EBITDA,(6.43%),6.81%,(0.57%),(35.28%),0.00%
EBITA,(8.06%),9.76%,0.41%,(43.97%),0.00%
EBIT,(8.80%),10.70%,1.05%,(45.78%),0.00%
EBITDAR,,,,(34.09%),
Effective Tax Rate,"1,487.33%",(80.44%),15.13%,,0.00%
Normalized Net Income,(10.71%),13.57%,0.10%,(52.27%),0.00%
R&D Expense From Footnotes,(6.35%),1.42%,0.62%,(15.15%),0.00%
Foreign Sales,3.80%,(1.98%),(12.03%),(20.55%),
