Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,45.14%,0.97%,1.65%,(17.95%),0.00%
Other Revenue,(0.40%),21.61%,(9.31%),(34.63%),0.00%
Total Revenues,1.69%,2.13%,0.27%,(18.66%),0.00%
Property Expenses,0.92%,2.85%,1.36%,(13.16%),0.00%
Selling General & Admin Exp.,(16.56%),(1.04%),12.21%,(21.97%),0.00%
Depreciation & Amortization,1.82%,0.55%,4.53%,(1.68%),0.00%
Other Operating Expenses,68.11%,(28.42%),11.46%,31.25%,0.00%
Total Operating Expenses,0.39%,(0.22%),4.54%,(7.27%),0.00%
Operating Income,3.00%,4.42%,(3.70%),(30.15%),0.00%
Total Interest Expense,-5.62%,(0.81%),-3.26%,-0.63%,0.00%
Net Interest Expenses,-5.62%,(0.81%),-3.26%,-0.63%,0.00%
"EBT, Excl. Unusual Items",7.97%,8.04%,(4.35%),(43.31%),0.00%
Impairment of Goodwill,(95.69%),"7,819.58%",(94.85%),,0.00%
Other Unusual Items,-5.97%,-88.17%,(718.22%),-84.23%,0.00%
"EBT, Incl. Unusual Items",4.80%,26.06%,(14.20%),(48.12%),0.00%
Income Tax Expense,(21.35%),58.07%,(18.55%),,0.00%
Earnings From Continuing Operations,5.16%,25.72%,(14.14%),(47.29%),0.00%
Net Income to Company,5.16%,25.72%,(14.14%),(47.29%),0.00%
Minority Interest,(0.38%),(28.74%),-15.87%,-48.77%,0.00%
Net Income,5.93%,25.26%,(13.87%),(47.06%),0.00%
Pref. Dividends and Other Adj.,0.00%,0.00%,0.00%,0.00%,0.00%
NI to Common Incl Extra Items,5.94%,25.31%,(13.89%),(47.14%),0.00%
NI to Common Excl. Extra Items,5.94%,25.31%,(13.89%),(47.14%),0.00%
Revenue Per Share,2.09%,2.78%,0.83%,(18.87%),0.00%
Basic EPS,6.34%,26.12%,(13.42%),(47.24%),0.00%
Basic EPS - Continuing Ops,6.34%,26.12%,(13.42%),(47.24%),0.00%
Basic Weighted Average Shares Outst.,(0.38%),(0.61%),(0.54%),0.26%,0.00%
Diluted EPS,6.30%,26.12%,(13.47%),(47.28%),0.00%
Diluted EPS - Continuing Ops,6.30%,26.12%,(13.47%),(47.28%),0.00%
Diluted Weighted Average Shares Outst.,(0.38%),(0.61%),(0.54%),0.26%,0.00%
Normalized Basic EPS,10.58%,3.50%,(0.13%),(41.95%),0.00%
Normalized Diluted EPS,10.58%,3.50%,(0.13%),(41.95%),0.00%
Dividend Per Share,10.00%,10.49%,5.06%,(27.71%),0.00%
Payout Ratio,3.38%,(12.37%),21.31%,6.53%,
FFO,6.00%,7.56%,(1.21%),(24.23%),0.00%
AFFO,6.00%,7.56%,(1.21%),(24.23%),
Funds Available for Distribution,6.00%,7.56%,(1.21%),(24.23%),
FFO Per Share (Diluted),6.86%,8.21%,(0.74%),(24.34%),0.00%
FFO Shares (Diluted),(0.76%),(0.63%),(0.50%),0.16%,0.00%
Adjusted FFO Per Share (Diluted),6.83%,8.21%,(0.71%),(24.33%),
EBITDA,2.67%,2.78%,(1.52%),(21.25%),0.00%
EBITA,2.89%,4.35%,(3.66%),(30.16%),0.00%
EBIT,3.00%,4.42%,(3.70%),(30.15%),0.00%
EBITDAR,2.70%,2.80%,(1.51%),(21.09%),
Effective Tax Rate,(24.88%),25.28%,(5.04%),,0.00%
Normalized Net Income,10.03%,2.91%,(0.78%),(41.87%),0.00%
Interest Capitalized,(20.79%),(19.73%),67.79%,(31.27%),
Foreign Sales,,,,(33.74%),
