Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,14171.8,14859.7,16285.1,18289.0,17578.8,17556.6
Total Revenues,14171.8,14859.7,16285.1,18289.0,17578.8,17556.6
Cost Of Revenues,11405.1,12141.5,12923.1,14707.5,14382.0,14366.7
Gross Profit,2766.7,2718.2,3362.0,3581.5,3196.8,3189.9
Selling General & Admin Expenses,1379.4,1405.4,1451.3,1641.0,1521.1,1505.0
Total Operating Expenses,1591.2,1635.0,1771.5,2054.2,1921.6,1895.6
Operating Income,1175.5,1083.2,1590.5,1527.3,1275.2,1294.3
Interest Expense,(212.5),(222.5),(352.8),(489.4),(465.5),(451.8)
Interest And Investment Income,,,59.0,57.3,51.5,37.5
Net Interest Expenses,(212.5),(222.5),(293.8),(432.1),(414.0),(414.3)
Other Non Operating Income (Expenses),2.3,11.5,12.7,2.4,9.5,19.3
"EBT, Excl. Unusual Items",975.0,911.2,1342.9,1107.7,886.5,920.3
"EBT, Incl. Unusual Items",244.6,857.6,1034.8,1144.7,(522.6),(505.8)
Income Tax Expense,89.8,159.0,(874.5),276.8,163.5,167.3
Earnings From Continuing Operations,154.8,698.6,1909.3,867.9,(686.1),(673.1)
Earnings Of Discontinued Operations,(544.7),,,,,
Net Income to Company,(389.9),698.6,1909.3,867.9,(686.1),(673.1)
Minority Interest,(6.4),9.6,(3.2),(5.0),(4.8),(4.3)
Net Income,(396.3),708.2,1906.1,862.9,(690.9),(677.4)
Preferred Dividend and Other Adjustments,,0.1,0.2,0.1,0.1,0.1
NI to Common Incl Extra Items,(396.3),708.1,1905.9,862.8,(691.0),(677.5)
NI to Common Excl. Extra Items,148.4,708.1,1905.9,862.8,(691.0),(677.5)
Revenue Per Share,$55.79,$58.92,$63.74,$71.27,$67.82,$67.44
Basic EPS,($1.56),$2.81,$7.46,$3.36,($2.67),($2.60)
Basic EPS - Continuing Ops,$0.58,$2.81,$7.46,$3.36,($2.67),($2.60)
Basic Weighted Average Shares Outst.,254.0,252.2,255.5,256.6,259.2,260.3
Diluted EPS,($1.54),$2.77,$7.34,$3.33,($2.67),($2.61)
Diluted EPS - Continuing Ops,$0.57,$2.77,$7.34,$3.33,($2.67),($2.61)
Diluted Weighted Average Shares Outst.,257.9,255.7,259.8,259.1,259.2,260.3
Normalized Basic EPS,$2.37,$2.30,$3.27,$2.68,$2.12,$2.19
Normalized Diluted EPS,$2.34,$2.26,$3.22,$2.65,$2.12,$2.19
Dividend Per Share,$1.50,$1.60,$1.72,$1.82,$1.33,$1.07
Payout Ratio,NM,56.93%,23.13%,54.22%,NM,NM
EBITDA,2236.8,2173.1,2838.7,2980.8,2718.2,2732.0
EBITA,1387.9,1317.2,1891.3,1935.3,1680.6,1689.8
EBIT,1175.5,1083.2,1590.5,1527.3,1275.2,1294.3
EBITDAR,2436.1,2383.6,3082.4,3327.5,3018.2,
Effective Tax Rate,36.7%,18.5%,NM,24.2%,NM,NM
Normalized Net Income,603.0,579.1,836.1,687.3,549.3,570.9
Interest Capitalized,7.6,7.0,8.2,23.8,24.6,
Interest on Long-Term Debt,,,,,7.9,
Foreign Earnings,,260.1,360.7,392.3,298.2,
Foreign Sales,2426.6,2621.2,3236.7,18289.0,17578.8,
