Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,9.29%,21.61%,10.96%,(1.91%),(1.96%)
Total Revenues,9.29%,21.61%,10.96%,(1.91%),(1.96%)
Cost Of Revenues,15.30%,18.43%,0.11%,(4.58%),(3.37%)
Gross Profit,4.50%,24.40%,20.04%,(0.04%),(1.00%)
Selling General & Admin Expenses,13.94%,14.27%,2.54%,(3.57%),(3.73%)
R&D Expenses,19.29%,23.08%,10.26%,3.92%,3.56%
Other Operating Expense/(Income),,,(46.15%),-36.84%,-22.22%
Total Operating Expenses,22.07%,11.81%,5.07%,(0.28%),(0.67%)
Operating Income,(50.00%),119.70%,77.70%,0.52%,(1.69%)
Interest Expense,(70.21%),(3.75%),-3.61%,-2.50%,0.00%
Interest And Investment Income,133.33%,71.43%,91.67%,(52.17%),(76.00%)
Net Interest Expenses,(65.91%),-2.74%,-19.72%,(17.54%),(35.19%)
Currency Exchange Gains (Loss),,300.00%,,,
Other Non Operating Income (Expenses),"1,216.67%",(98.73%),,0.00%,-66.67%
"EBT, Excl. Unusual Items",(42.74%),80.00%,92.41%,(0.14%),(3.79%)
"EBT, Incl. Unusual Items",(51.09%),,,6.43%,(5.40%)
Income Tax Expense,148.39%,,,42.55%,(7.09%)
Earnings From Continuing Operations,(69.55%),61.76%,276.36%,0.97%,(5.07%)
Net Income to Company,(69.55%),61.76%,276.36%,0.97%,(5.07%)
Net Income,(69.55%),61.76%,276.36%,0.97%,(5.07%)
NI to Common Incl Extra Items,(69.55%),61.76%,276.36%,0.97%,(5.07%)
NI to Common Excl. Extra Items,(69.55%),61.76%,276.36%,0.97%,(5.07%)
Revenue Per Share,3.24%,17.03%,10.36%,(1.39%),(1.04%)
Basic EPS,(71.24%),54.80%,275.36%,1.60%,(4.18%)
Basic EPS - Continuing Ops,(71.24%),54.80%,275.36%,1.60%,(4.18%)
Basic Weighted Average Shares Outst.,5.88%,3.89%,0.53%,(0.53%),(0.93%)
Diluted EPS,(71.28%),53.57%,277.91%,1.85%,(3.97%)
Diluted EPS - Continuing Ops,(71.28%),53.57%,277.91%,1.85%,(3.97%)
Diluted Weighted Average Shares Outst.,5.81%,4.95%,0.00%,(1.05%),(1.57%)
Normalized Basic EPS,(46.08%),73.70%,91.90%,0.41%,(2.89%)
Normalized Diluted EPS,(45.85%),72.49%,92.01%,1.06%,(2.26%)
EBITDA,(20.19%),76.12%,45.10%,2.04%,0.61%
EBITA,(25.62%),93.96%,53.43%,1.42%,(0.48%)
EBIT,(50.00%),119.70%,77.70%,0.52%,(1.69%)
EBITDAR,(17.57%),69.83%,42.98%,1.48%,
Effective Tax Rate,407.87%,225.77%,,33.90%,(1.79%)
Normalized Net Income,(42.74%),80.00%,92.41%,(0.14%),(3.79%)
Interest on Long-Term Debt,,,(3.61%),(2.50%),
R&D Expense From Footnotes,19.29%,23.08%,10.26%,3.92%,3.56%
Foreign Sales,11.84%,16.16%,9.64%,(0.77%),
