Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2897.0,3299.0,3570.0,3665.0,1527.0,1527.0
Other Revenues,73.0,105.0,98.0,101.0,73.0,73.0
Total Revenues,2970.0,3404.0,3668.0,3766.0,1600.0,1600.0
Cost Of Revenues,1279.0,1269.0,1332.0,1254.0,620.0,620.0
Gross Profit,1691.0,2135.0,2336.0,2512.0,980.0,980.0
Selling General & Admin Expenses,401.0,449.0,454.0,452.0,323.0,323.0
Depreciation & Amortization,353.0,336.0,325.0,346.0,331.0,331.0
Other Operating Expense/(Income),78.0,228.0,136.0,149.0,280.0,280.0
Total Operating Expenses,832.0,1013.0,915.0,947.0,934.0,934.0
Operating Income,859.0,1122.0,1421.0,1565.0,46.0,46.0
Interest Expense,(330.0),(351.0),(371.0),(414.0),(429.0),(429.0)
Net Interest Expenses,(330.0),(351.0),(371.0),(414.0),(429.0),(429.0)
Currency Exchange Gains (Loss),(16.0),3.0,(11.0),(2.0),(27.0),(27.0)
Other Non Operating Income (Expenses),19.0,39.0,47.0,24.0,10.0,10.0
"EBT, Excl. Unusual Items",532.0,813.0,1086.0,1173.0,(400.0),(400.0)
"EBT, Incl. Unusual Items",540.0,753.0,1078.0,1244.0,(924.0),(924.0)
Income Tax Expense,557.0,(336.0),309.0,358.0,(204.0),(204.0)
Earnings From Continuing Operations,(17.0),1089.0,769.0,886.0,(720.0),(720.0)
Earnings Of Discontinued Operations,371.0,,,,,
Net Income to Company,354.0,1089.0,769.0,886.0,(720.0),(720.0)
Minority Interest,(16.0),(5.0),(5.0),(5.0),5.0,5.0
Net Income,338.0,1084.0,764.0,881.0,(715.0),(715.0)
NI to Common Incl Extra Items,338.0,1084.0,764.0,881.0,(715.0),(715.0)
NI to Common Excl. Extra Items,(33.0),1084.0,764.0,881.0,(715.0),(715.0)
Revenue Per Share,$9.03,$10.51,$12.15,$13.12,$5.78,$5.78
Basic EPS,$1.03,$3.35,$2.53,$3.07,($2.58),($2.58)
Basic EPS - Continuing Ops,($0.10),$3.35,$2.53,$3.07,($2.58),($2.58)
Basic Weighted Average Shares Outst.,329.0,324.0,302.0,287.0,277.0,277.0
Diluted EPS,$1.03,$3.32,$2.50,$3.04,($2.58),($2.58)
Diluted EPS - Continuing Ops,($0.10),$3.32,$2.50,$3.04,($2.58),($2.58)
Diluted Weighted Average Shares Outst.,329.0,327.0,305.0,290.0,277.0,277.0
Normalized Basic EPS,$0.96,$1.55,$2.23,$2.54,($0.88),($0.88)
Normalized Diluted EPS,$0.96,$1.54,$2.21,$2.51,($0.88),($0.88)
Dividend Per Share,$0.84,$0.60,$0.60,$0.60,$0.15,$0.15
Payout Ratio,81.95%,17.99%,23.69%,19.52%,NM,NM
EBITDA,1125.0,1458.0,1746.0,1911.0,377.0,377.0
EBITA,1073.0,1399.0,1692.0,1851.0,320.0,320.0
EBIT,859.0,1122.0,1421.0,1565.0,46.0,46.0
EBITDAR,1447.0,1742.0,2113.0,2055.0,506.0,506.0
Effective Tax Rate,103.1%,NM,28.7%,28.8%,NM,NM
Normalized Net Income,316.5,503.1,673.8,728.1,(245.0),(245.0)
Interest on Long-Term Debt,334.0,,,14.0,14.0,14.0
Foreign Sales,2052.0,2085.0,2058.0,2029.0,714.0,714.0
