Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,29.60%,(2.89%),(0.63%),(8.53%),0.00%
Total Revenues,2.57%,(3.00%),(0.50%),(8.71%),0.00%
Property Expenses,2.70%,(2.76%),2.55%,1.79%,0.00%
Selling General & Admin Exp.,1.29%,(2.54%),12.32%,(10.41%),0.00%
Depreciation & Amortization,1.55%,(13.98%),(10.47%),3.99%,0.00%
Total Operating Expenses,2.00%,(7.76%),(2.75%),1.02%,0.00%
Operating Income,3.67%,6.16%,3.25%,(24.07%),0.00%
Total Interest Expense,-0.31%,-4.49%,-3.24%,(5.36%),0.00%
Net Interest Expenses,-0.31%,-4.49%,-3.24%,(3.11%),0.00%
Other Non Operating Income,(27.40%),299.69%,(19.97%),(98.55%),0.00%
"EBT, Excl. Unusual Items",(23.07%),4.16%,4.28%,(38.05%),0.00%
Gain (Loss) on Sale of Assets,223.40%,152.45%,(66.45%),(91.81%),0.00%
Asset Writedown,(145.14%),(17.64%),-38.46%,-86.41%,0.00%
Other Unusual Items,-96.16%,(628.01%),,,0.00%
"EBT, Incl. Unusual Items",(5.58%),13.96%,(17.96%),144.70%,0.00%
Income Tax Expense,,,,,0.00%
Earnings From Continuing Operations,13.86%,13.37%,(17.03%),142.50%,0.00%
Net Income to Company,13.86%,13.37%,(17.03%),142.50%,0.00%
Minority Interest,(86.55%),-95.09%,(342.51%),-30.85%,0.00%
Net Income,12.47%,16.83%,(17.52%),143.75%,0.00%
Pref. Dividends and Other Adj.,15.56%,22.14%,7.53%,(59.57%),0.00%
NI to Common Incl Extra Items,12.01%,16.03%,(21.48%),187.87%,0.00%
NI to Common Excl. Extra Items,12.01%,16.03%,(21.48%),187.87%,0.00%
Revenue Per Share,1.24%,(2.15%),(0.48%),(10.85%),0.00%
Basic EPS,10.66%,17.42%,(21.31%),182.37%,0.00%
Basic EPS - Continuing Ops,10.66%,17.42%,(21.31%),182.37%,0.00%
Basic Weighted Average Shares Outst.,1.25%,(0.70%),(0.06%),2.28%,0.00%
Diluted EPS,10.13%,17.24%,(21.57%),181.31%,0.00%
Diluted EPS - Continuing Ops,10.13%,17.24%,(21.57%),181.31%,0.00%
Diluted Weighted Average Shares Outst.,1.03%,(0.62%),0.10%,2.33%,0.00%
Normalized Basic EPS,(26.92%),12.09%,2.98%,(39.94%),0.00%
Normalized Diluted EPS,(26.99%),11.89%,2.63%,(39.09%),0.00%
Dividend Per Share,4.81%,2.75%,0.00%,(51.79%),0.00%
Payout Ratio,(5.06%),(10.42%),21.65%,(70.68%),0.00%
FFO,,,,(17.21%),0.00%
FFO (Diluted),,,,(17.28%),0.00%
AFFO,,,,(17.21%),
Funds Available for Distribution,,,,(17.21%),
FFO Per Share (Basic),,,,(19.31%),0.00%
FFO Shares (Basic),,,,2.28%,0.00%
FFO Per Share (Diluted),,,,(18.75%),0.00%
FFO Shares (Diluted),,,,2.25%,0.00%
Adjusted FFO Per Share (Basic),,,,(19.21%),
Adjusted FFO Per Share (Diluted),,,,(19.05%),
EBITDA,4.06%,(3.36%),(2.74%),(14.33%),0.00%
EBITA,3.75%,2.31%,(1.12%),(25.40%),0.00%
EBIT,3.67%,6.16%,3.25%,(24.07%),0.00%
EBITDAR,4.02%,(3.34%),(2.19%),(14.24%),
Effective Tax Rate,,,,,0.00%
Normalized Net Income,(25.97%),10.76%,3.29%,(38.14%),0.00%
Interest Capitalized,157.74%,21.19%,(10.59%),(12.79%),
