Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,15.76%,25.93%,7.62%,(34.66%),(42.41%)
Total Interest Income,15.76%,25.93%,7.62%,(34.66%),(42.41%)
Interest On Deposits,41.12%,64.07%,38.75%,(72.73%),(85.71%)
Total Interest Expense,41.12%,64.07%,38.75%,(72.73%),(85.71%)
Net Interest Income,10.56%,15.93%,(3.93%),(14.26%),(21.67%)
Trust Income,25.08%,17.51%,(3.95%),3.07%,2.19%
Gain (Loss) on Sale of Invest. & Securities,,,,,100.00%
Total Other Non Interest Income,8.22%,2.30%,(2.49%),3.42%,2.83%
Total Non Interest Income,10.33%,5.56%,(2.85%),3.41%,2.71%
Revenue Before Loan Losses,10.38%,7.68%,(3.09%),(0.45%),(2.53%)
Provision For Loan Losses,(80.00%),650.00%,(33.33%),780.00%,2.38%
Total Revenues,10.46%,7.56%,(3.05%),(1.12%),(2.55%)
Salaries And Other Employee Benefits,1.62%,2.60%,(1.20%),(1.90%),(0.60%)
Amort. of Goodwill & Intang. Assets,3.38%,5.61%,4.42%,(0.85%),0.00%
Occupancy Expense,4.77%,(0.43%),(0.22%),(4.37%),(4.37%)
Total Selling General & Admin Expenses,3.65%,15.17%,6.64%,2.92%,4.45%
Total Other Non Interest Expense,2.35%,20.35%,4.15%,(12.44%),(11.01%)
Total Non Interest Expense,2.37%,8.60%,1.79%,(3.55%),(2.23%)
"EBT, Excl. Unusual Items",37.07%,5.03%,(15.36%),6.31%,(3.49%)
Restructuring Charges,,,-63.33%,(20.91%),(20.91%)
"EBT, Incl. Unusual Items",41.27%,3.54%,(12.54%),6.90%,(3.47%)
Income Tax Expense,,(39.45%),(7.48%),1.91%,(7.45%)
Earnings From Continuing Operations,0.65%,20.27%,(13.54%),7.94%,(2.66%)
Net Income to Company,0.65%,20.27%,(13.54%),7.94%,(2.66%)
Net Income,0.61%,20.27%,(13.54%),7.94%,(2.66%)
Preferred Dividend and Other Adjustments,5.14%,2.72%,23.28%,(30.04%),(39.83%)
Net Income to Common Incl Extra Items,0.20%,21.91%,(16.43%),12.34%,1.36%
Net Income to Common Excl. Extra Items,0.20%,21.91%,(16.43%),12.34%,1.36%
Revenue Per Share,15.37%,8.39%,(2.51%),3.67%,0.70%
Basic EPS,4.60%,22.86%,(15.93%),17.79%,4.74%
Basic EPS - Continuing Ops,4.60%,22.86%,(15.93%),17.79%,4.74%
Basic Weighted Average Shares Outst.,(4.26%),(0.75%),(0.56%),(4.61%),(3.23%)
Diluted EPS,4.43%,23.12%,(15.81%),17.47%,4.32%
Diluted EPS - Continuing Ops,4.43%,23.12%,(15.81%),17.47%,4.32%
Diluted Weighted Average Shares Outst.,(4.01%),(0.98%),(0.75%),(4.43%),(3.05%)
Normalized Basic EPS,43.11%,5.78%,(14.82%),11.41%,(0.26%)
Normalized Diluted EPS,42.57%,6.08%,(14.78%),11.22%,(0.45%)
Dividend Per Share,11.11%,11.25%,11.24%,5.05%,2.46%
Payout Ratio,5.58%,(10.35%),29.91%,(11.44%),(3.70%)
Effective Tax Rate,,(41.51%),5.80%,(4.66%),(4.12%)
Normalized Net Income,36.98%,5.03%,(15.36%),6.31%,(3.49%)
Interest on Long-Term Debt,18.46%,26.30%,9.25%,(24.47%),
Foreign Sales,7.13%,9.63%,0.77%,0.42%,
