Income Statement,Dec 2016,Dec 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,5854.4,7301.5,9030.0,11171.0,12868.0,13682.0
Total Revenues,5854.4,7301.5,9030.0,11171.0,12868.0,13682.0
Cost Of Revenues,819.9,1010.5,1195.0,1673.0,1722.0,1717.0
Gross Profit,5034.5,6291.0,7835.0,9498.0,11146.0,11965.0
Selling General & Admin Expenses,2486.4,2822.3,3366.0,4125.0,4559.0,4770.0
R&D Expenses,976.0,1224.1,1538.0,1930.0,2188.0,2276.0
Total Operating Expenses,3540.9,4122.9,4995.0,6230.0,6909.0,7211.0
Operating Income,1493.6,2168.1,2840.0,3268.0,4237.0,4754.0
Interest Expense,(70.4),(74.4),(89.0),(157.0),(116.0),(113.0)
Interest And Investment Income,47.3,66.1,93.0,68.0,43.0,43.0
Net Interest Expenses,(23.1),(8.3),4.0,(89.0),(73.0),(70.0)
Currency Exchange Gains (Loss),(35.7),(30.7),(42.0),(26.0),(2.0),(2.0)
Other Non Operating Income (Expenses),0.0,0.1,,,,(14.0)
"EBT, Excl. Unusual Items",1434.8,2129.1,2802.0,3153.0,4162.0,4668.0
"EBT, Incl. Unusual Items",1435.1,2137.6,2794.0,3205.0,4176.0,4690.0
Income Tax Expense,266.4,443.7,203.0,254.0,"(1,084.0)",(876.0)
Earnings From Continuing Operations,1168.8,1694.0,2591.0,2951.0,5260.0,5566.0
Net Income to Company,1168.8,1694.0,2591.0,2951.0,5260.0,5566.0
Net Income,1168.8,1694.0,2591.0,2951.0,5260.0,5566.0
NI to Common Incl Extra Items,1168.8,1694.0,2591.0,2951.0,5260.0,5566.0
NI to Common Excl. Extra Items,1168.8,1694.0,2591.0,2951.0,5260.0,5566.0
Revenue Per Share,$11.75,$14.79,$18.39,$22.99,$26.75,$28.50
Basic EPS,$2.35,$3.43,$5.28,$6.07,$10.94,$11.59
Basic EPS - Continuing Ops,$2.35,$3.43,$5.28,$6.07,$10.94,$11.59
Basic Weighted Average Shares Outst.,498.3,493.6,491.0,486.0,481.0,480.1
Diluted EPS,$2.32,$3.38,$5.20,$6.00,$10.83,$11.49
Diluted EPS - Continuing Ops,$2.32,$3.38,$5.20,$6.00,$10.83,$11.49
Diluted Weighted Average Shares Outst.,504.3,501.1,498.0,492.0,485.0,483.8
Normalized Basic EPS,$1.80,$2.70,$3.57,$4.05,$5.41,$6.08
Normalized Diluted EPS,$1.78,$2.66,$3.52,$4.01,$5.36,$6.03
EBITDA,1825.1,2494.1,3186.0,3854.0,4808.0,5333.0
EBITA,1646.0,2321.7,3023.0,3670.0,4604.0,5115.0
EBIT,1493.6,2168.1,2840.0,3268.0,4237.0,4754.0
EBITDAR,1918.0,2609.5,3323.0,4024.0,4927.0,
Effective Tax Rate,18.6%,20.8%,7.3%,7.9%,NM,NM
Normalized Net Income,896.8,1330.7,1751.3,1970.6,2601.3,2917.5
Interest on Long-Term Debt,70.4,74.4,89.0,157.0,116.0,
R&D Expense From Footnotes,976.0,1224.1,1538.0,1930.0,2188.0,2276.0
Foreign Sales,2766.7,3470.7,4397.0,5267.0,6122.0,
