Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,12.25%,20.42%,1.62%,(2.29%),1.18%
Total Revenues,12.25%,20.42%,1.62%,(2.29%),1.18%
Cost Of Revenues,10.54%,17.16%,0.54%,(5.82%),(3.53%)
Gross Profit,16.19%,27.54%,3.78%,4.59%,10.27%
Selling General & Admin Expenses,20.05%,9.27%,8.10%,(13.53%),(13.53%)
Depreciation & Amortization,8.37%,11.95%,10.13%,2.99%,1.47%
Other Operating Expense/(Income),14.59%,9.04%,9.46%,(5.40%),(3.31%)
Total Operating Expenses,12.95%,10.26%,9.33%,(4.20%),(4.49%)
Operating Income,19.03%,41.88%,0.20%,10.77%,20.64%
Interest Expense,-50.28%,-91.23%,(99.47%),(637.93%),(798.31%)
Interest And Investment Income,"1,175.86%",320.68%,117.25%,(72.94%),(86.70%)
Net Interest Expenses,-66.92%,,118.40%,,
Other Non Operating Income (Expenses),,,-74.38%,(299.48%),-79.91%
"EBT, Excl. Unusual Items",20.57%,41.62%,1.03%,9.40%,20.10%
"EBT, Incl. Unusual Items",20.57%,41.62%,1.03%,9.40%,20.10%
Income Tax Expense,(38.37%),87.26%,(0.67%),9.72%,20.21%
Earnings From Continuing Operations,56.80%,30.60%,1.63%,9.29%,20.07%
Net Income to Company,56.80%,30.60%,1.63%,9.29%,20.07%
Net Income,56.80%,30.60%,1.63%,9.29%,20.07%
NI to Common Incl Extra Items,56.80%,30.60%,1.63%,9.29%,20.07%
NI to Common Excl. Extra Items,56.80%,30.60%,1.63%,9.29%,20.07%
Revenue Per Share,13.33%,20.98%,3.69%,(0.05%),3.51%
Basic EPS,58.50%,31.08%,3.69%,11.81%,22.83%
Basic EPS - Continuing Ops,58.50%,31.08%,3.69%,11.81%,22.83%
Basic Weighted Average Shares Outst.,(0.97%),(0.47%),(2.01%),(2.22%),(2.25%)
Diluted EPS,58.37%,31.20%,3.66%,11.37%,22.55%
Diluted EPS - Continuing Ops,58.37%,31.20%,3.66%,11.37%,22.55%
Diluted Weighted Average Shares Outst.,(0.90%),(0.47%),(1.97%),(1.75%),(1.89%)
Normalized Basic EPS,21.97%,42.05%,3.05%,11.80%,22.86%
Normalized Diluted EPS,21.82%,42.37%,3.13%,11.34%,22.42%
Dividend Per Share,,29.63%,28.57%,33.33%,31.77%
Payout Ratio,,(1.02%),26.07%,19.17%,
EBITDA,16.02%,34.00%,2.38%,8.93%,16.21%
EBITA,19.03%,41.88%,0.20%,10.77%,20.64%
EBIT,19.03%,41.88%,0.20%,10.77%,20.64%
EBITDAR,15.74%,33.21%,2.55%,8.93%,
Effective Tax Rate,(48.88%),32.23%,(1.68%),0.28%,0.09%
Normalized Net Income,20.57%,41.62%,1.03%,9.40%,20.10%
Interest Capitalized,46.29%,(2.18%),(3.37%),(20.94%),
Interest on Long-Term Debt,(50.28%),(91.23%),99.47%,637.93%,
