Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,67.98%,82.51%,14.52%,28.31%,38.11%
Total Revenues,67.98%,82.51%,14.52%,28.31%,38.11%
Cost Of Revenues,76.56%,82.67%,17.74%,21.44%,33.09%
Gross Profit,39.00%,81.83%,0.67%,62.94%,60.67%
Selling General & Admin Expenses,75.61%,14.45%,(6.67%),20.48%,40.79%
R&D Expenses,65.15%,5.95%,(8.01%),11.02%,38.13%
Total Operating Expenses,71.72%,11.41%,(7.12%),17.30%,39.89%
Operating Income,(152.77%),-84.50%,,"2,338.75%",156.96%
Interest Expense,(148.68%),(36.90%),(11.03%),(8.14%),-5.56%
Interest And Investment Income,122.74%,26.32%,83.33%,(31.82%),(33.33%)
Net Interest Expenses,(149.88%),(37.34%),(8.27%),(10.72%),-3.80%
Currency Exchange Gains (Loss),,,"2,300.00%",,"(1,040.00%)"
Other Non Operating Income (Expenses),-14.69%,,270.00%,(24.32%),214.29%
"EBT, Excl. Unusual Items",(164.45%),-59.55%,-40.69%,,850.32%
"EBT, Incl. Unusual Items",(195.97%),-54.50%,-33.83%,,"3,134.00%"
Income Tax Expense,19.86%,81.25%,89.66%,165.45%,303.37%
Earnings From Continuing Operations,(189.89%),-52.57%,-27.09%,,
Net Income to Company,(189.89%),-52.57%,-27.09%,,
Minority Interest,184.31%,(68.82%),,(62.07%),(9.52%)
Net Income,(190.70%),-50.25%,-11.68%,,
Preferred Dividend and Other Adjustments,,,,287.50%,
NI to Common Incl Extra Items,(190.70%),-50.25%,-10.86%,,
NI to Common Excl. Extra Items,(190.70%),-50.25%,-10.86%,,
Revenue Per Share,45.91%,77.55%,10.13%,21.98%,31.24%
Basic EPS,(151.47%),-51.52%,-13.96%,,
Basic EPS - Continuing Ops,(151.47%),-51.52%,-13.96%,,
Basic Weighted Average Shares Outst.,15.11%,2.77%,3.99%,5.19%,5.24%
Diluted EPS,(151.70%),-51.72%,-13.96%,,
Diluted EPS - Continuing Ops,(151.70%),-51.72%,-13.96%,,
Diluted Weighted Average Shares Outst.,15.11%,2.77%,3.99%,22.10%,24.54%
Normalized Basic EPS,(125.19%),-58.17%,-14.51%,,
Normalized Diluted EPS,(125.19%),-58.17%,-14.51%,,
EBITDA,(98.67%),"40,775.00%",32.84%,96.73%,50.80%
EBITA,(146.58%),-88.25%,,"1,514.52%",149.94%
EBIT,(152.77%),-84.50%,,"2,338.75%",156.96%
EBITDAR,,,,81.83%,
Effective Tax Rate,,,,,(87.53%)
Normalized Net Income,(159.70%),-57.13%,-10.34%,,
Interest Capitalized,,,,54.84%,
Interest on Long-Term Debt,18.14%,8.13%,105.20%,42.54%,
R&D Expense From Footnotes,65.15%,5.95%,(4.79%),7.27%,33.41%
Foreign Sales,97.83%,18.98%,80.98%,36.93%,
