Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,3.68%,2.53%,1.47%,8.16%,22.68%
Total Revenues,3.68%,2.53%,1.47%,8.16%,22.68%
Cost Of Revenues,4.39%,4.45%,1.07%,4.93%,17.00%
Gross Profit,2.81%,0.15%,1.98%,12.28%,29.86%
Selling General & Admin Expenses,1.15%,(0.14%),5.33%,11.61%,24.42%
R&D Expenses,(4.26%),(2.22%),3.03%,6.62%,12.50%
Other Operating Expense/(Income),38.46%,(38.89%),,,
Total Operating Expenses,0.97%,(0.77%),4.39%,11.68%,24.25%
Operating Income,5.52%,1.44%,(1.33%),13.15%,37.92%
Interest Expense,0.00%,-3.41%,(14.12%),(2.06%),-1.01%
Interest And Investment Income,(20.00%),50.00%,(50.00%),(33.33%),(33.33%)
Net Interest Expenses,(1.20%),-5.95%,(18.99%),(3.19%),0.00%
Currency Exchange Gains (Loss),,,(133.33%),0.00%,0.00%
"EBT, Excl. Unusual Items",6.42%,0.96%,(2.94%),14.45%,41.66%
"EBT, Incl. Unusual Items",5.09%,2.03%,(2.85%),15.72%,51.22%
Income Tax Expense,(1.49%),(30.00%),(11.69%),20.59%,53.59%
Earnings From Continuing Operations,8.49%,17.07%,(0.36%),14.51%,50.61%
Net Income to Company,8.18%,17.40%,(0.36%),14.51%,50.61%
Net Income,8.18%,17.40%,(0.36%),14.51%,50.12%
NI to Common Incl Extra Items,8.18%,17.40%,(0.36%),14.51%,50.12%
NI to Common Excl. Extra Items,8.49%,17.07%,(0.36%),14.51%,50.12%
Revenue Per Share,4.09%,2.26%,2.70%,9.79%,23.09%
Basic EPS,8.72%,17.01%,0.78%,16.24%,50.62%
Basic EPS - Continuing Ops,9.03%,16.80%,0.78%,16.24%,50.62%
Basic Weighted Average Shares Outst.,(0.40%),0.26%,(1.21%),(1.49%),(0.33%)
Diluted EPS,8.43%,17.45%,0.96%,16.46%,50.43%
Diluted EPS - Continuing Ops,8.74%,17.01%,0.96%,16.46%,50.43%
Diluted Weighted Average Shares Outst.,(0.11%),0.01%,(1.36%),(1.63%),(0.03%)
Normalized Basic EPS,6.85%,0.79%,(1.76%),16.20%,41.50%
Normalized Diluted EPS,6.53%,1.03%,(1.58%),16.38%,41.07%
Dividend Per Share,4.18%,11.11%,9.44%,8.88%,6.04%
Payout Ratio,(4.31%),(6.96%),9.28%,(5.02%),(28.69%)
EBITDA,4.75%,1.83%,0.16%,11.62%,34.32%
EBITA,5.67%,1.43%,(0.88%),12.89%,37.32%
EBIT,5.52%,1.44%,(1.33%),13.15%,37.92%
EBITDAR,5.01%,1.86%,(0.88%),14.03%,
Effective Tax Rate,(6.26%),(31.40%),(9.12%),4.21%,1.57%
Normalized Net Income,6.42%,0.96%,(2.94%),14.45%,41.03%
R&D Expense From Footnotes,(4.26%),(2.22%),3.03%,6.62%,12.50%
Foreign Sales,1.67%,1.75%,(5.66%),6.75%,
