Income Statement,Jan 2017,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,2149.9,2603.8,2901.8,3163.6,3086.2,3086.2
Total Revenues,2149.9,2603.8,2901.8,3163.6,3086.2,3086.2
Cost Of Revenues,1322.7,1615.5,1786.1,1919.5,1895.0,1895.0
Gross Profit,827.2,988.3,1115.7,1244.1,1191.2,1191.2
Selling General & Admin Expenses,554.2,629.8,677.8,741.2,678.2,678.2
Total Operating Expenses,554.2,629.8,677.8,741.2,678.2,678.2
Operating Income,273.0,358.5,437.9,502.9,513.0,513.0
Interest Expense,(23.0),(33.2),(29.2),(22.0),(15.3),(15.3)
Interest And Investment Income,0.3,2.4,3.7,1.0,,
Net Interest Expenses,(22.7),(30.8),(25.5),(21.0),(15.3),(15.3)
Currency Exchange Gains (Loss),,,,10.9,(19.3),(19.3)
Other Non Operating Income (Expenses),(1.7),(9.5),(10.7),(15.9),12.1,12.1
"EBT, Excl. Unusual Items",248.6,318.2,401.7,476.9,490.5,490.5
"EBT, Incl. Unusual Items",241.3,287.0,393.9,473.7,469.7,469.7
Income Tax Expense,50.4,59.8,60.1,71.4,67.8,67.8
Earnings From Continuing Operations,190.9,227.2,333.8,402.3,401.9,401.9
Net Income to Company,190.9,227.2,333.8,402.3,401.9,401.9
Net Income,190.9,227.2,333.8,402.3,401.9,401.9
NI to Common Incl Extra Items,190.9,227.2,333.8,402.3,401.9,401.9
NI to Common Excl. Extra Items,190.9,227.2,333.8,402.3,401.9,401.9
Revenue Per Share,$62.14,$73.97,$81.06,$87.15,$84.09,$84.09
Basic EPS,$5.52,$6.45,$9.32,$11.08,$10.95,$10.95
Basic EPS - Continuing Ops,$5.52,$6.45,$9.32,$11.08,$10.95,$10.95
Basic Weighted Average Shares Outst.,34.6,35.2,35.8,36.3,36.7,36.7
Diluted EPS,$5.37,$6.26,$9.01,$10.73,$10.62,$10.62
Diluted EPS - Continuing Ops,$5.37,$6.26,$9.01,$10.73,$10.62,$10.62
Diluted Weighted Average Shares Outst.,35.5,36.3,37.0,37.5,37.9,37.9
Normalized Basic EPS,$4.49,$5.65,$7.01,$8.21,$8.35,$8.35
Normalized Diluted EPS,$4.38,$5.48,$6.79,$7.95,$8.09,$8.09
EBITDA,360.3,471.5,550.9,614.8,629.2,629.2
EBITA,301.3,405.6,477.4,540.3,552.6,552.6
EBIT,273.0,358.5,437.9,502.9,513.0,513.0
EBITDAR,388.4,498.4,581.6,641.3,658.6,658.6
Effective Tax Rate,20.9%,20.8%,15.3%,15.1%,14.4%,14.4%
Normalized Net Income,155.4,198.9,251.1,298.1,306.6,306.6
Interest on Long-Term Debt,23.6,35.5,29.2,22.0,15.8,15.8
R&D Expense From Footnotes,167.7,177.7,185.6,209.6,196.0,196.0
Foreign Sales,380.0,754.4,856.9,984.0,1007.5,1007.5
