Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,35.78%,13.65%,(12.55%),17.76%,21.21%
Total Revenues,35.78%,13.65%,(12.55%),17.76%,21.21%
Cost Of Revenues,28.02%,13.63%,(10.51%),15.39%,18.32%
Gross Profit,46.64%,13.69%,(15.05%),20.81%,24.91%
Selling General & Admin Expenses,9.28%,11.62%,(3.90%),5.52%,7.53%
R&D Expenses,15.65%,13.53%,1.58%,8.76%,9.47%
Total Operating Expenses,13.44%,12.89%,(0.23%),7.73%,8.85%
Operating Income,83.07%,14.23%,(25.00%),32.50%,38.99%
Interest Expense,(27.74%),(18.18%),(1.28%),(1.27%),(2.54%)
Interest And Investment Income,280.95%,41.25%,(0.88%),(47.32%),(55.66%)
Net Interest Expenses,-11.94%,(2.54%),(3.31%),(44.80%),(50.00%)
Other Non Operating Income (Expenses),,,,,0.00%
"EBT, Excl. Unusual Items",89.38%,14.59%,(25.78%),31.69%,37.96%
"EBT, Incl. Unusual Items",89.57%,15.20%,(25.64%),27.44%,29.98%
Income Tax Expense,1.71%,357.24%,(58.54%),(2.84%),(2.68%)
Earnings From Continuing Operations,104.47%,(13.67%),(10.93%),33.74%,36.43%
Net Income to Company,104.47%,(13.67%),(10.93%),33.74%,36.43%
Net Income,104.47%,(13.67%),(10.93%),33.74%,36.43%
NI to Common Incl Extra Items,104.47%,(13.67%),(10.93%),33.74%,36.43%
NI to Common Excl. Extra Items,104.47%,(13.67%),(10.93%),33.74%,36.43%
Revenue Per Share,40.06%,20.37%,(5.46%),20.46%,22.67%
Basic EPS,111.59%,(8.57%),(3.74%),36.71%,38.07%
Basic EPS - Continuing Ops,111.59%,(8.57%),(3.74%),36.71%,38.07%
Basic Weighted Average Shares Outst.,(3.07%),(5.59%),(7.50%),(2.24%),(1.19%)
Diluted EPS,111.04%,(8.92%),(3.38%),37.06%,38.66%
Diluted EPS - Continuing Ops,111.04%,(8.92%),(3.38%),37.06%,38.66%
Diluted Weighted Average Shares Outst.,(2.87%),(5.35%),(7.89%),(2.33%),(1.39%)
Normalized Basic EPS,95.08%,21.59%,(19.78%),34.45%,39.62%
Normalized Diluted EPS,94.81%,21.14%,(19.57%),34.67%,39.90%
Dividend Per Share,0.00%,75.00%,18.57%,4.82%,4.76%
Payout Ratio,(52.64%),62.97%,43.10%,(23.67%),(24.33%)
EBITDA,71.05%,14.05%,(24.59%),29.69%,35.46%
EBITA,76.53%,13.71%,(26.96%),31.93%,38.31%
EBIT,83.07%,14.23%,(25.00%),32.50%,38.99%
EBITDAR,69.85%,14.30%,(24.33%),29.77%,
Effective Tax Rate,(46.36%),297.07%,(44.25%),(23.75%),(25.13%)
Normalized Net Income,89.38%,14.59%,(25.78%),31.69%,37.96%
Interest on Long-Term Debt,27.74%,18.18%,1.28%,1.27%,
R&D Expense From Footnotes,15.65%,13.53%,1.58%,8.76%,9.47%
Foreign Sales,36.19%,15.97%,(16.71%),22.34%,
