Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9.81%,8.88%,4.08%,(0.78%),0.00%
Total Revenues,9.81%,8.88%,4.08%,(0.78%),0.00%
Cost Of Revenues,12.88%,7.50%,7.84%,(0.16%),0.00%
Gross Profit,5.19%,11.12%,(1.80%),(1.85%),0.00%
Selling General & Admin Expenses,(1.24%),11.49%,(4.92%),9.23%,0.00%
Depreciation & Amortization,13.65%,12.75%,10.22%,8.88%,0.00%
Total Operating Expenses,0.49%,11.66%,(2.91%),9.18%,0.00%
Operating Income,11.53%,10.46%,(0.43%),(15.06%),0.00%
Interest Expense,(21.05%),(17.39%),-3.70%,-7.69%,0.00%
Interest And Investment Income,15.65%,33.08%,(0.56%),(32.39%),0.00%
Net Interest Expenses,14.58%,36.36%,0.00%,(36.67%),0.00%
Currency Exchange Gains (Loss),,,-57.24%,(78.46%),0.00%
Other Non Operating Income (Expenses),-50.00%,,100.00%,(25.00%),0.00%
"EBT, Excl. Unusual Items",16.02%,3.33%,0.60%,(16.63%),0.00%
"EBT, Incl. Unusual Items",12.68%,5.34%,(11.22%),(15.65%),0.00%
Income Tax Expense,43.23%,(39.46%),(7.88%),9.49%,0.00%
Earnings From Continuing Operations,(3.16%),39.69%,(12.33%),(24.43%),0.00%
Net Income to Company,(3.16%),39.69%,(12.33%),(24.43%),0.00%
Net Income,(3.16%),39.69%,(12.33%),(24.43%),0.00%
NI to Common Incl Extra Items,(3.16%),39.69%,(12.33%),(24.43%),0.00%
NI to Common Excl. Extra Items,(3.16%),39.69%,(12.33%),(24.43%),0.00%
Revenue Per Share,12.40%,10.96%,8.35%,2.72%,0.00%
Basic EPS,(0.93%),42.12%,(8.72%),(21.89%),0.00%
Basic EPS - Continuing Ops,(0.93%),42.12%,(8.72%),(21.89%),0.00%
Basic Weighted Average Shares Outst.,(2.31%),(1.85%),(3.95%),(3.40%),0.00%
Diluted EPS,(0.78%),42.29%,(8.61%),(21.88%),0.00%
Diluted EPS - Continuing Ops,(0.78%),42.29%,(8.61%),(21.88%),0.00%
Diluted Weighted Average Shares Outst.,(2.46%),(1.85%),(4.11%),(3.39%),0.00%
Normalized Basic EPS,18.94%,5.23%,4.76%,(13.58%),0.00%
Normalized Diluted EPS,19.03%,5.23%,4.92%,(13.74%),0.00%
Dividend Per Share,,77.78%,0.00%,10.00%,0.00%
Payout Ratio,,26.42%,10.38%,40.23%,0.00%
EBITDA,12.29%,10.28%,0.24%,(12.02%),0.00%
EBITA,11.70%,10.73%,(0.03%),(14.58%),0.00%
EBIT,11.53%,10.46%,(0.43%),(15.06%),0.00%
EBITDAR,,,,(9.91%),
Effective Tax Rate,27.11%,(42.53%),3.75%,29.78%,0.00%
Normalized Net Income,16.02%,3.33%,0.60%,(16.63%),0.00%
Foreign Sales,,,4.08%,(0.78%),
