Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6608.0,7017.0,7500.0,6489.0,8086.0,8086.0
Total Revenues,6608.0,7017.0,7500.0,6489.0,8086.0,8086.0
Cost Of Revenues,2394.0,2501.0,2517.0,2089.0,2260.0,2260.0
Gross Profit,4214.0,4516.0,4983.0,4400.0,5826.0,5826.0
Selling General & Admin Expenses,1797.0,2123.0,1884.0,1658.0,1848.0,1848.0
R&D Expenses,958.0,1069.0,1101.0,998.0,1150.0,1150.0
Total Operating Expenses,2755.0,3192.0,2985.0,2656.0,2998.0,2998.0
Operating Income,1459.0,1324.0,1998.0,1744.0,2828.0,2828.0
Interest Expense,(217.0),(162.0),(140.0),(90.0),(99.0),(99.0)
Interest And Investment Income,10.0,24.0,65.0,79.0,21.0,21.0
Net Interest Expenses,(207.0),(138.0),(75.0),(11.0),(78.0),(78.0)
Other Non Operating Income (Expenses),(7.0),(8.0),4.0,(1.0),(12.0),(12.0)
"EBT, Excl. Unusual Items",1245.0,1178.0,1927.0,1732.0,2738.0,2738.0
"EBT, Incl. Unusual Items",1106.0,1151.0,1877.0,1633.0,2616.0,2616.0
Income Tax Expense,140.0,878.0,29.0,130.0,419.0,419.0
Earnings From Continuing Operations,966.0,273.0,1848.0,1503.0,2197.0,2197.0
Net Income to Company,966.0,273.0,1848.0,1503.0,2197.0,2197.0
Net Income,966.0,273.0,1848.0,1503.0,2197.0,2197.0
Preferred Dividend and Other Adjustments,4.0,,,,,
NI to Common Incl Extra Items,962.0,273.0,1848.0,1503.0,2197.0,2197.0
NI to Common Excl. Extra Items,962.0,273.0,1848.0,1503.0,2197.0,2197.0
Revenue Per Share,$8.93,$9.31,$9.84,$8.46,$10.49,$10.49
Basic EPS,$1.30,$0.36,$2.43,$1.96,$2.85,$2.85
Basic EPS - Continuing Ops,$1.30,$0.36,$2.43,$1.96,$2.85,$2.85
Basic Weighted Average Shares Outst.,740.0,754.0,762.0,767.0,771.0,771.0
Diluted EPS,$1.28,$0.36,$2.40,$1.95,$2.82,$2.82
Diluted EPS - Continuing Ops,$1.28,$0.36,$2.40,$1.95,$2.82,$2.82
Diluted Weighted Average Shares Outst.,754.0,766.0,771.0,771.0,778.0,778.0
Normalized Basic EPS,$1.05,$0.98,$1.58,$1.41,$2.22,$2.22
Normalized Diluted EPS,$1.03,$0.96,$1.56,$1.40,$2.20,$2.20
Dividend Per Share,$0.30,$0.34,$0.37,$0.41,$0.47,$0.47
Payout Ratio,19.88%,82.78%,14.02%,18.83%,14.38%,14.38%
EBITDA,2288.0,2212.0,2507.0,2072.0,3025.0,3025.0
EBITA,2167.0,2083.0,2369.0,1948.0,2908.0,2908.0
EBIT,1459.0,1324.0,1998.0,1744.0,2828.0,2828.0
EBITDAR,2353.0,2283.0,2582.0,2167.0,3120.0,3120.0
Effective Tax Rate,12.7%,76.3%,1.5%,8.0%,16.0%,16.0%
Normalized Net Income,778.1,736.3,1204.4,1082.5,1711.3,1711.3
Interest on Long-Term Debt,246.0,162.0,,,,
R&D Expense From Footnotes,958.0,1069.0,1101.0,998.0,1150.0,1150.0
Foreign Sales,3185.0,3859.0,4050.0,3504.1,4204.7,4204.7
