Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2167.4,2309.1,2419.9,2406.6,2365.4,2365.4
Total Revenues,2167.4,2309.1,2419.9,2406.6,2365.4,2365.4
Cost Of Revenues,891.5,947.1,992.6,1010.7,1006.7,1006.7
Gross Profit,1276.0,1362.0,1427.4,1395.9,1358.7,1358.7
Selling General & Admin Expenses,512.3,544.7,585.0,526.5,527.7,527.7
R&D Expenses,125.2,132.6,143.4,143.0,140.8,140.8
Total Operating Expenses,647.4,684.0,736.1,679.1,679.1,679.1
Operating Income,628.6,678.0,691.2,716.8,679.6,679.6
Interest Expense,(44.9),(56.8),(48.6),(48.7),(49.1),(49.1)
Interest And Investment Income,20.7,36.1,38.8,22.1,16.3,16.3
Net Interest Expenses,(24.2),(20.8),(9.8),(26.6),(32.8),(32.8)
Other Non Operating Income (Expenses),(0.7),,0.3,(1.9),(0.8),(0.8)
"EBT, Excl. Unusual Items",603.6,657.2,681.7,688.2,646.0,646.0
"EBT, Incl. Unusual Items",600.1,641.1,682.1,678.2,610.9,610.9
Income Tax Expense,78.6,620.8,88.4,86.0,89.3,89.3
Earnings From Continuing Operations,521.5,20.3,593.8,592.2,521.6,521.6
Net Income to Company,521.5,20.3,593.8,592.2,521.6,521.6
Net Income,521.5,20.3,593.8,592.2,521.6,521.6
NI to Common Incl Extra Items,521.5,20.3,593.8,592.2,521.6,521.6
NI to Common Excl. Extra Items,521.5,20.3,593.8,592.2,521.6,521.6
Revenue Per Share,$26.83,$28.94,$31.43,$35.59,$38.09,$38.09
Basic EPS,$6.46,$0.25,$7.71,$8.76,$8.40,$8.40
Basic EPS - Continuing Ops,$6.46,$0.25,$7.71,$8.76,$8.40,$8.40
Basic Weighted Average Shares Outst.,80.8,79.8,77.0,67.6,62.1,62.1
Diluted EPS,$6.41,$0.25,$7.65,$8.69,$8.36,$8.36
Diluted EPS - Continuing Ops,$6.41,$0.25,$7.65,$8.69,$8.36,$8.36
Diluted Weighted Average Shares Outst.,81.4,80.6,77.6,68.2,62.4,62.4
Normalized Basic EPS,$4.67,$5.15,$5.53,$6.36,$6.50,$6.50
Normalized Diluted EPS,$4.63,$5.10,$5.49,$6.31,$6.47,$6.47
EBITDA,725.0,784.0,799.6,822.1,805.0,805.0
EBITA,673.3,722.5,741.7,768.3,736.3,736.3
EBIT,628.6,678.0,691.2,716.8,679.6,679.6
EBITDAR,753.0,,,858.1,843.0,843.0
Effective Tax Rate,13.1%,96.8%,13.0%,12.7%,14.6%,14.6%
Normalized Net Income,377.3,410.8,426.1,430.1,403.8,403.8
R&D Expense From Footnotes,125.2,137.6,143.4,143.0,140.8,140.8
Foreign Sales,1502.1,1639.8,1736.3,1714.3,1687.1,1687.1
