Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1509.1,1599.1,1717.4,1839.9,2146.9,2146.9
Total Revenues,1509.1,1599.1,1717.4,1839.9,2146.9,2146.9
Cost Of Revenues,1007.7,1086.2,1172.0,1234.2,1379.1,1379.1
Gross Profit,501.4,512.9,545.4,605.7,767.8,767.8
Selling General & Admin Expenses,238.0,242.9,256.2,272.8,300.8,300.8
R&D Expenses,36.8,39.1,40.3,38.9,46.9,46.9
Other Operating Expense/(Income),(2.3),(8.3),(2.0),(2.0),,
Total Operating Expenses,272.5,273.7,294.5,309.7,347.7,347.7
Operating Income,228.9,239.2,250.9,296.0,420.1,420.1
Interest Expense,(8.1),(7.8),(8.4),(8.5),(8.2),(8.2)
Interest And Investment Income,1.1,1.3,2.1,3.8,1.4,1.4
Net Interest Expenses,(7.0),(6.5),(6.3),(4.7),(6.8),(6.8)
Currency Exchange Gains (Loss),,,5.5,4.6,1.5,1.5
"EBT, Excl. Unusual Items",230.1,241.9,257.7,304.8,432.2,432.2
"EBT, Incl. Unusual Items",198.0,231.6,248.3,300.7,418.7,418.7
Income Tax Expense,54.4,80.9,41.4,59.0,72.5,72.5
Earnings From Continuing Operations,143.6,150.7,206.9,241.7,346.2,346.2
Net Income to Company,143.6,150.7,206.9,241.7,346.2,346.2
Net Income,143.6,150.7,206.9,241.7,346.2,346.2
NI to Common Incl Extra Items,143.6,150.7,206.9,241.7,346.2,346.2
NI to Common Excl. Extra Items,143.6,150.7,206.9,241.7,346.2,346.2
Revenue Per Share,$20.59,$21.64,$23.24,$24.86,$29.05,$29.05
Basic EPS,$1.96,$2.04,$2.80,$3.27,$4.68,$4.68
Basic EPS - Continuing Ops,$1.96,$2.04,$2.80,$3.27,$4.68,$4.68
Basic Weighted Average Shares Outst.,73.3,73.9,73.9,74.0,73.9,73.9
Diluted EPS,$1.91,$1.99,$2.74,$3.21,$4.57,$4.57
Diluted EPS - Continuing Ops,$1.91,$1.99,$2.74,$3.21,$4.57,$4.57
Diluted Weighted Average Shares Outst.,75.0,75.8,75.4,75.4,75.8,75.8
Normalized Basic EPS,$1.96,$2.05,$2.18,$2.57,$3.66,$3.66
Normalized Diluted EPS,$1.92,$1.99,$2.14,$2.53,$3.56,$3.56
Dividend Per Share,$0.49,$0.53,$0.57,$0.61,$0.65,$0.65
Payout Ratio,24.93%,25.95%,20.35%,18.66%,13.89%,13.89%
EBITDA,319.6,335.9,355.3,399.4,529.2,529.2
EBITA,231.5,241.6,253.6,299.4,424.5,424.5
EBIT,228.9,239.2,250.9,296.0,420.1,420.1
EBITDAR,331.3,349.2,369.8,416.4,546.6,546.6
Effective Tax Rate,27.5%,34.9%,16.7%,19.6%,17.3%,17.3%
Normalized Net Income,143.8,151.2,161.1,190.5,270.1,270.1
Interest Capitalized,3.6,2.7,0.9,1.0,1.4,1.4
Interest on Long-Term Debt,11.7,10.5,9.3,9.4,9.6,9.6
R&D Expense From Footnotes,36.8,39.1,40.3,38.9,46.9,46.9
Foreign Sales,770.8,864.5,951.3,1025.2,1171.3,1171.3
