Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,0.73%,15.73%,0.31%,(28.18%),(35.22%)
Total Revenues,0.73%,15.73%,0.31%,(28.18%),(35.22%)
Cost Of Revenues,(12.79%),9.31%,8.92%,(25.91%),(33.11%)
Gross Profit,,61.88%,(41.48%),(48.64%),(54.98%)
Selling General & Admin Expenses,(12.63%),5.47%,5.68%,(25.71%),(27.54%)
Total Operating Expenses,(12.63%),5.47%,5.68%,(25.71%),(27.54%)
Operating Income,-80.75%,,,(16.59%),(20.04%)
Interest Expense,-2.86%,-8.82%,(7.53%),-16.00%,-15.46%
Interest And Investment Income,66.67%,0.00%,(20.00%),(65.00%),(64.71%)
Net Interest Expenses,-14.44%,-11.69%,(17.65%),-3.75%,-5.00%
Currency Exchange Gains (Loss),-70.00%,"(1,633.33%)",-30.77%,-94.44%,-92.59%
Other Non Operating Income (Expenses),-67.03%,(56.67%),(14.89%),-72.22%,-54.17%
"EBT, Excl. Unusual Items",-76.26%,,,(38.53%),-20.23%
"EBT, Incl. Unusual Items",-85.06%,,,-56.99%,-91.91%
Income Tax Expense,-24.64%,,,-34.42%,-82.14%
Earnings From Continuing Operations,-90.23%,-90.68%,"(27,595.45%)",-58.36%,-92.54%
Net Income to Company,-90.23%,-90.68%,"(27,595.45%)",-58.36%,-92.54%
Minority Interest,,(800.00%),-77.78%,(150.00%),
Net Income,-90.17%,-86.92%,"(19,561.29%)",-58.29%,-92.44%
NI to Common Incl Extra Items,-90.17%,-86.92%,"(19,561.29%)",-58.29%,-92.44%
NI to Common Excl. Extra Items,-90.17%,-86.92%,"(19,561.29%)",-58.29%,-92.44%
Revenue Per Share,0.49%,15.45%,(0.73%),(28.56%),(35.51%)
Basic EPS,-90.19%,-86.98%,"(19,844.37%)",-58.52%,-92.47%
Basic EPS - Continuing Ops,-90.19%,-86.98%,"(19,844.37%)",-58.52%,-92.47%
Basic Weighted Average Shares Outst.,0.27%,0.27%,1.06%,0.52%,0.46%
Diluted EPS,-90.17%,-86.98%,"(19,850.00%)",-58.52%,-92.44%
Diluted EPS - Continuing Ops,-90.17%,-86.98%,"(19,850.00%)",-58.52%,-92.44%
Diluted Weighted Average Shares Outst.,0.27%,0.27%,1.06%,0.52%,0.46%
Normalized Basic EPS,-76.10%,,,(38.89%),-18.83%
Normalized Diluted EPS,-76.10%,,,(38.89%),-18.83%
Dividend Per Share,(67.21%),0.00%,0.00%,(75.00%),(100.00%)
EBITDA,,114.01%,(88.12%),,"(2,475.00%)"
EBITA,-80.75%,,,(73.21%),(87.59%)
EBIT,-80.75%,,,(16.59%),(20.04%)
Effective Tax Rate,,,(96.28%),,120.91%
Normalized Net Income,-76.07%,,,(39.09%),-18.46%
Interest on Long-Term Debt,(2.86%),(8.82%),7.53%,(16.00%),
Foreign Sales,(14.10%),9.44%,7.92%,(16.97%),
