Income Statement,Oct 2016,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,1966.8,2139.0,2532.8,2653.4,2430.9,2465.2
Total Revenues,1966.8,2139.0,2532.8,2653.4,2430.9,2465.2
Cost Of Revenues,789.3,773.2,900.5,868.4,806.0,816.1
Gross Profit,1177.5,1365.8,1632.3,1785.0,1624.9,1649.1
Selling General & Admin Expenses,710.9,799.1,973.3,969.5,992.5,999.7
R&D Expenses,65.4,69.2,84.8,86.7,93.3,92.5
Total Operating Expenses,837.1,936.7,1204.8,1202.0,1223.0,1229.2
Operating Income,340.4,429.1,427.5,583.0,401.9,419.9
Interest Expense,(26.2),(33.4),(82.7),(68.0),(36.8),(31.6)
Net Interest Expenses,(26.2),(33.4),(82.7),(68.0),(36.8),(31.6)
Currency Exchange Gains (Loss),(1.0),(1.4),(3.4),(2.2),(1.2),0.3
Other Non Operating Income (Expenses),(0.3),(0.3),14.9,0.9,(7.3),(5.7)
"EBT, Excl. Unusual Items",312.9,394.0,356.3,513.7,356.6,382.9
"EBT, Incl. Unusual Items",295.6,394.0,331.9,477.4,266.5,308.6
Income Tax Expense,20.7,21.1,192.0,10.7,28.1,"(1,940.4)"
Earnings From Continuing Operations,274.9,372.9,139.9,466.7,238.4,2249.0
Net Income to Company,274.9,372.9,139.9,466.7,238.4,2249.0
Minority Interest,(1.0),,,,,
Net Income,273.9,372.9,139.9,466.7,238.4,2249.0
NI to Common Incl Extra Items,273.9,372.9,139.9,466.7,238.4,2249.0
NI to Common Excl. Extra Items,273.9,372.9,139.9,466.7,238.4,2249.0
Revenue Per Share,$40.55,$43.74,$51.58,$53.71,$49.51,$50.21
Basic EPS,$5.65,$7.63,$2.85,$9.45,$4.86,$45.80
Basic EPS - Continuing Ops,$5.65,$7.63,$2.85,$9.45,$4.86,$45.80
Basic Weighted Average Shares Outst.,48.5,48.9,49.1,49.4,49.1,49.1
Diluted EPS,$5.59,$7.52,$2.81,$9.33,$4.81,$45.38
Diluted EPS - Continuing Ops,$5.59,$7.52,$2.81,$9.33,$4.81,$45.38
Diluted Weighted Average Shares Outst.,49.0,49.6,49.7,50.0,49.6,49.6
Normalized Basic EPS,$4.01,$5.04,$4.54,$6.50,$4.54,$4.87
Normalized Diluted EPS,$3.97,$4.96,$4.48,$6.42,$4.49,$4.82
Dividend Per Share,$0.06,$0.06,$0.06,$0.06,$0.06,$0.06
Payout Ratio,1.06%,0.78%,2.07%,0.64%,1.26%,0.13%
EBITDA,538.7,617.5,702.6,863.8,689.0,711.9
EBITA,401.2,497.5,574.2,728.8,539.1,556.9
EBIT,340.4,429.1,427.5,583.0,401.9,419.9
EBITDAR,568.6,649.7,741.4,909.1,736.4,
Effective Tax Rate,7.0%,5.4%,57.8%,2.2%,10.5%,NM
Normalized Net Income,194.6,246.3,222.7,321.1,222.9,239.3
Interest Capitalized,,,,6.1,5.3,
R&D Expense From Footnotes,65.4,69.2,84.8,86.7,93.3,92.5
Foreign Earnings,246.4,391.3,(16.8),29.3,21.9,
Foreign Sales,1080.3,952.2,1253.6,1155.6,1116.9,
