Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.13%,17.43%,7.48%,9.32%,10.94%
Other Revenues,37.51%,40.27%,(1.38%),(27.40%),(27.94%)
Total Revenues,9.67%,19.82%,6.39%,5.14%,6.60%
Cost Of Revenues,11.58%,21.51%,5.22%,6.47%,7.69%
Gross Profit,1.79%,12.22%,12.11%,(0.96%),1.52%
Selling General & Admin Expenses,50.76%,17.33%,11.31%,(3.44%),(2.83%)
Depreciation & Amortization,6.09%,13.66%,14.51%,5.66%,5.01%
Other Operating Expense/(Income),(2.46%),13.95%,8.33%,(1.82%),(1.18%)
Total Operating Expenses,18.30%,15.03%,12.91%,1.82%,1.74%
Operating Income,(11.62%),9.17%,11.19%,(4.20%),1.26%
Interest Expense,(13.80%),(40.44%),(35.27%),-12.99%,-11.40%
Interest And Investment Income,230.99%,(4.68%),683.04%,(72.29%),(72.29%)
Net Interest Expenses,(13.19%),(40.82%),(31.66%),-11.03%,-9.34%
"EBT, Excl. Unusual Items",(12.54%),7.66%,9.91%,(3.69%),2.05%
"EBT, Incl. Unusual Items",(14.45%),7.66%,6.25%,(2.18%),7.49%
Income Tax Expense,,,8.82%,(2.79%),2.31%
Earnings From Continuing Operations,58.82%,(28.66%),5.46%,(1.99%),9.22%
Net Income to Company,58.82%,(28.66%),5.46%,(1.99%),9.22%
Net Income,58.82%,(28.66%),5.46%,(1.99%),9.22%
NI to Common Incl Extra Items,58.82%,(28.66%),5.46%,(1.99%),9.22%
NI to Common Excl. Extra Items,58.82%,(28.66%),5.46%,(1.99%),9.22%
Revenue Per Share,12.16%,20.49%,8.42%,6.77%,7.58%
Basic EPS,62.49%,(28.27%),7.38%,(0.47%),10.23%
Basic EPS - Continuing Ops,62.49%,(28.27%),7.38%,(0.47%),10.23%
Basic Weighted Average Shares Outst.,(2.21%),(0.56%),(1.87%),(1.52%),(0.92%)
Diluted EPS,62.20%,(28.32%),7.67%,(0.63%),10.02%
Diluted EPS - Continuing Ops,62.20%,(28.32%),7.67%,(0.63%),10.02%
Diluted Weighted Average Shares Outst.,(2.04%),(0.56%),(1.92%),(1.42%),(0.83%)
Normalized Basic EPS,(10.52%),8.34%,12.06%,(2.17%),2.99%
Normalized Diluted EPS,(10.66%),8.27%,11.96%,(2.20%),2.90%
Dividend Per Share,4.55%,4.35%,8.33%,3.85%,3.81%
Payout Ratio,(35.53%),45.20%,0.96%,4.22%,
EBITDA,(5.62%),10.88%,12.49%,(0.28%),2.32%
EBITA,(11.15%),9.81%,11.60%,(3.95%),(0.37%)
EBIT,(11.62%),9.17%,11.19%,(4.20%),1.26%
EBITDAR,319.11%,19.18%,4.99%,7.35%,
Effective Tax Rate,,,2.42%,(0.61%),(4.83%)
Normalized Net Income,(12.54%),7.66%,9.91%,(3.69%),2.05%
Interest on Long-Term Debt,13.80%,40.44%,35.27%,(12.99%),
